,singletrial_fname,EmpathicCare
0,sub-0002_ses-01_run-01_runtype-pain_event-stimulus_trial-000_cuetype-low_stimintensity-med.nii.gz,-0.4540637
1,sub-0002_ses-01_run-01_runtype-pain_event-stimulus_trial-001_cuetype-low_stimintensity-low.nii.gz,-0.80530566
2,sub-0002_ses-01_run-01_runtype-pain_event-stimulus_trial-002_cuetype-low_stimintensity-high.nii.gz,-1.238203
3,sub-0002_ses-01_run-01_runtype-pain_event-stimulus_trial-003_cuetype-high_stimintensity-low.nii.gz,-0.9086361
4,sub-0002_ses-01_run-01_runtype-pain_event-stimulus_trial-004_cuetype-high_stimintensity-med.nii.gz,-0.5612362
5,sub-0002_ses-01_run-01_runtype-pain_event-stimulus_trial-005_cuetype-high_stimintensity-high.nii.gz,-0.42307246
6,sub-0002_ses-01_run-01_runtype-pain_event-stimulus_trial-006_cuetype-high_stimintensity-low.nii.gz,-1.3256719
7,sub-0002_ses-01_run-01_runtype-pain_event-stimulus_trial-007_cuetype-low_stimintensity-high.nii.gz,-0.5925917
8,sub-0002_ses-01_run-01_runtype-pain_event-stimulus_trial-008_cuetype-high_stimintensity-high.nii.gz,1.0019733
9,sub-0002_ses-01_run-01_runtype-pain_event-stimulus_trial-009_cuetype-low_stimintensity-med.nii.gz,-0.8921178
10,sub-0002_ses-01_run-01_runtype-pain_event-stimulus_trial-010_cuetype-high_stimintensity-med.nii.gz,-3.7822711
11,sub-0002_ses-01_run-01_runtype-pain_event-stimulus_trial-011_cuetype-low_stimintensity-low.nii.gz,0.5848628
12,sub-0002_ses-01_run-02_runtype-cognitive_event-stimulus_trial-000_cuetype-low_stimintensity-low.nii.gz,-1.9717736
13,sub-0002_ses-01_run-02_runtype-cognitive_event-stimulus_trial-001_cuetype-low_stimintensity-med.nii.gz,-2.4778812
14,sub-0002_ses-01_run-02_runtype-cognitive_event-stimulus_trial-002_cuetype-high_stimintensity-med.nii.gz,-1.2466345
15,sub-0002_ses-01_run-02_runtype-cognitive_event-stimulus_trial-003_cuetype-low_stimintensity-high.nii.gz,-2.4847887
16,sub-0002_ses-01_run-02_runtype-cognitive_event-stimulus_trial-004_cuetype-high_stimintensity-med.nii.gz,-1.7010695
17,sub-0002_ses-01_run-02_runtype-cognitive_event-stimulus_trial-005_cuetype-low_stimintensity-high.nii.gz,-1.7696716
18,sub-0002_ses-01_run-02_runtype-cognitive_event-stimulus_trial-006_cuetype-low_stimintensity-low.nii.gz,-1.9000696
19,sub-0002_ses-01_run-02_runtype-cognitive_event-stimulus_trial-007_cuetype-high_stimintensity-high.nii.gz,-1.644941
20,sub-0002_ses-01_run-02_runtype-cognitive_event-stimulus_trial-008_cuetype-high_stimintensity-high.nii.gz,-1.6342925
21,sub-0002_ses-01_run-02_runtype-cognitive_event-stimulus_trial-009_cuetype-high_stimintensity-low.nii.gz,-2.3621256
22,sub-0002_ses-01_run-02_runtype-cognitive_event-stimulus_trial-010_cuetype-high_stimintensity-low.nii.gz,-3.032416
23,sub-0002_ses-01_run-02_runtype-cognitive_event-stimulus_trial-011_cuetype-low_stimintensity-med.nii.gz,-2.5880616
24,sub-0002_ses-01_run-03_runtype-vicarious_event-stimulus_trial-000_cuetype-low_stimintensity-med.nii.gz,-2.0408878
25,sub-0002_ses-01_run-03_runtype-vicarious_event-stimulus_trial-001_cuetype-low_stimintensity-low.nii.gz,-0.90752053
26,sub-0002_ses-01_run-03_runtype-vicarious_event-stimulus_trial-002_cuetype-low_stimintensity-high.nii.gz,-0.021261727
27,sub-0002_ses-01_run-03_runtype-vicarious_event-stimulus_trial-003_cuetype-high_stimintensity-low.nii.gz,-1.5905292
28,sub-0002_ses-01_run-03_runtype-vicarious_event-stimulus_trial-004_cuetype-high_stimintensity-med.nii.gz,0.061601285
29,sub-0002_ses-01_run-03_runtype-vicarious_event-stimulus_trial-005_cuetype-high_stimintensity-high.nii.gz,-0.7949396
30,sub-0002_ses-01_run-03_runtype-vicarious_event-stimulus_trial-006_cuetype-high_stimintensity-low.nii.gz,-0.98038334
31,sub-0002_ses-01_run-03_runtype-vicarious_event-stimulus_trial-007_cuetype-low_stimintensity-high.nii.gz,-1.4640511
32,sub-0002_ses-01_run-03_runtype-vicarious_event-stimulus_trial-008_cuetype-high_stimintensity-high.nii.gz,-0.8886156
33,sub-0002_ses-01_run-03_runtype-vicarious_event-stimulus_trial-009_cuetype-low_stimintensity-med.nii.gz,-0.676865
34,sub-0002_ses-01_run-03_runtype-vicarious_event-stimulus_trial-010_cuetype-high_stimintensity-med.nii.gz,-0.48003575
35,sub-0002_ses-01_run-03_runtype-vicarious_event-stimulus_trial-011_cuetype-low_stimintensity-low.nii.gz,-0.6792678
36,sub-0002_ses-01_run-04_runtype-cognitive_event-stimulus_trial-000_cuetype-high_stimintensity-low.nii.gz,-1.2651416
37,sub-0002_ses-01_run-04_runtype-cognitive_event-stimulus_trial-001_cuetype-low_stimintensity-med.nii.gz,-1.5014915
