sub	ses	runtype	roi	tr_0	tr_1	tr_2	tr_3	tr_4	tr_5	tr_6	tr_7	tr_8	tr_9	tr_10	tr_11	tr_12	tr_13	tr_14	tr_15	tr_16	tr_17	tr_18	tr_19
sub-0090	ses-01	pain	1 L_V1_ROI	-0.6207716676759282	0.10851830649196319	0.28629103076285234	-0.12423512811149617	0.09852706373065477	-0.10484976917272504	0.12306431668649746	-0.21318517429331818	0.24698150803199473	-0.356414209119049	-0.11206511393203179	-0.28025766586616907	-0.09481374765632779	0.489429373805634	-0.16101459862289447	-0.3685194204189303	-0.049138424195298035	0.300150832582579	-0.2715016809775436	0.05554120293608583
sub-0090	ses-01	pain	2 L_MST_ROI	-0.45128599729602964	0.06874545635269483	0.3136007690735782	-0.2936935516664896	-0.03923943109987013	0.03194712327387915	0.2876016657122002	-0.059317686515270675	0.3100316546891854	-0.20472284519712183	-0.43629620183791096	-0.4205741262502252	0.42372888537590125	0.03451010083425812	-0.2996520345353361	0.019880006420035786	0.10144603211393488	-0.3660156402206475	0.5081462562493466	-0.22948626110765513
sub-0090	ses-01	pain	3 L_V6_ROI	-0.10457147320734803	0.05483862465239063	0.38480776618620177	-0.5568578566225532	0.5029475513678325	-0.26630427362799675	0.42227219587717696	-0.36317145519236693	0.39653629846943583	-0.5637164575807316	0.035928359450009405	-0.27961800812154775	0.20053905637533703	0.3044103243616005	-0.3546539696565099	0.11756357786777441	0.16630251030787066	0.13760644329808572	-0.2780619972253702	0.1262773281205062
sub-0090	ses-01	pain	4 L_V2_ROI	-0.45694399232561483	0.010485682011132045	0.26190557151035987	-0.15433622972510888	0.17867416920167548	-0.16105586575208644	0.22746417252451467	-0.27997160377410685	0.30082637593994566	-0.23611761928630962	-0.1358304596605412	-0.18871724431901976	-0.2604352104584498	0.5915820553533578	-0.17616661990441068	-0.21739287604842855	-0.21875204273133533	0.29211854331327164	-0.1856028558811119	0.13776964041634837
sub-0090	ses-01	pain	5 L_V3_ROI	-0.511683160965577	0.005181121216097134	0.3463218918239608	-0.27999882522796826	0.1307545462978583	-0.10602534776378798	0.18865295766755927	-0.1736635396591769	0.2588829934202953	-0.16443408804986193	-0.02341007460856426	-0.3124996073007887	-0.05843043053874965	0.3742769498919762	-0.10751599804801655	-0.19713437834845085	-0.07778612310494518	0.19300325119779746	-0.19792157420987253	0.21578976665052813
sub-0090	ses-01	pain	6 L_V4_ROI	-0.578116422515192	-0.08268017602739053	0.3023532278041185	-0.1483146881634011	-0.14113090763368683	0.0771684598070594	0.11272576519492031	-0.0914136454150839	0.1538264569001083	-0.16938579531060607	-0.06241032656067469	-0.2739639980685672	-0.10091003511590424	0.3996624833511154	-0.25306415341714933	-0.23687144515915667	-0.0026152417121786554	0.1505804776744153	0.05403310610081512	0.06931914976859364
sub-0090	ses-01	pain	7 L_V8_ROI	-1.2144574898280676	-0.26984741559905473	0.6866069087417556	-0.33208005677226854	-0.031487202516695637	-0.14788938339852445	0.3220475683163749	-0.4092738126254836	0.4092227492836445	-0.13589959862416032	-0.10549792376499252	-0.6995714471235143	-0.22610097099793008	0.6938480160420816	-0.22558011635823322	-0.4568458325898704	-0.2656342301974212	0.421796957121323	-0.3989397820356126	0.6048338033086148
sub-0090	ses-01	pain	8 L_4_ROI	-0.3781755315549059	-0.003186433117665725	0.15165316424221878	-0.196168433961736	0.05290828491329831	-0.16000366266250757	0.24134472767222642	-0.09694766362780795	0.10868938704605775	-0.3256380117620779	-0.07523751117595448	-0.38725476717605833	0.015312297223831896	0.16368849586932668	-0.08485817063449189	-0.22080948065960865	-0.08750781359776207	0.2930015888514478	-0.061804193070975094	-0.32164025852478595
sub-0090	ses-01	pain	9 L_3b_ROI	-0.534416706695331	0.006424731451205264	0.1852167908543407	-0.20790636559711811	0.11076981669294347	-0.17234127358670595	0.2746097524060858	-0.19791698770313773	0.10215873389716407	-0.32907117037088596	-0.19641837224680175	-0.4805507614155266	0.0694732938373424	0.2271371572465059	-0.06984570384856433	-0.25114475427468025	-0.10462075076325066	0.2677548194797354	-0.12044247974541324	-0.3572936424705346
sub-0090	ses-01	pain	10 L_FEF_ROI	-0.4179724314645546	-0.17964514701622455	0.34134072112016434	-0.2658934757172153	0.14761410144321438	-0.023207390313070005	0.14383333235490195	-0.28443899121173716	0.35178824556464366	-0.2484906044230013	-0.23082902865449118	-0.2908653918872516	-0.17779735739395838	0.2532056038552638	-0.09133539366450144	-0.038129447159278386	0.06783445350014305	-0.07744223121660826	-0.05535421732486846	0.12083035255639946
