,singletrial_fname,Kragel18NegEmotion
0,sub-0002_ses-03_run-01_runtype-vicarious_event-stimulus_trial-000_cuetype-low_stimintensity-low.nii.gz,-0.011322704
1,sub-0002_ses-03_run-01_runtype-vicarious_event-stimulus_trial-001_cuetype-high_stimintensity-med.nii.gz,0.38888574
2,sub-0002_ses-03_run-01_runtype-vicarious_event-stimulus_trial-002_cuetype-high_stimintensity-low.nii.gz,0.11570125
3,sub-0002_ses-03_run-01_runtype-vicarious_event-stimulus_trial-003_cuetype-high_stimintensity-high.nii.gz,0.15098728
4,sub-0002_ses-03_run-01_runtype-vicarious_event-stimulus_trial-004_cuetype-low_stimintensity-med.nii.gz,0.30073422
5,sub-0002_ses-03_run-01_runtype-vicarious_event-stimulus_trial-005_cuetype-low_stimintensity-high.nii.gz,0.02743731
6,sub-0002_ses-03_run-01_runtype-vicarious_event-stimulus_trial-006_cuetype-low_stimintensity-med.nii.gz,-0.0028955152
7,sub-0002_ses-03_run-01_runtype-vicarious_event-stimulus_trial-007_cuetype-low_stimintensity-high.nii.gz,0.41208452
8,sub-0002_ses-03_run-01_runtype-vicarious_event-stimulus_trial-008_cuetype-high_stimintensity-low.nii.gz,-0.03057429
9,sub-0002_ses-03_run-01_runtype-vicarious_event-stimulus_trial-009_cuetype-high_stimintensity-high.nii.gz,-0.15038602
10,sub-0002_ses-03_run-01_runtype-vicarious_event-stimulus_trial-010_cuetype-high_stimintensity-med.nii.gz,-0.021642655
11,sub-0002_ses-03_run-01_runtype-vicarious_event-stimulus_trial-011_cuetype-low_stimintensity-low.nii.gz,0.0763471
12,sub-0002_ses-03_run-02_runtype-pain_event-stimulus_trial-000_cuetype-low_stimintensity-low.nii.gz,-0.1867663
13,sub-0002_ses-03_run-02_runtype-pain_event-stimulus_trial-001_cuetype-low_stimintensity-med.nii.gz,-0.011819728
14,sub-0002_ses-03_run-02_runtype-pain_event-stimulus_trial-002_cuetype-low_stimintensity-low.nii.gz,0.09728937
15,sub-0002_ses-03_run-02_runtype-pain_event-stimulus_trial-003_cuetype-low_stimintensity-high.nii.gz,-0.6722828
16,sub-0002_ses-03_run-02_runtype-pain_event-stimulus_trial-004_cuetype-high_stimintensity-med.nii.gz,-0.26287156
17,sub-0002_ses-03_run-02_runtype-pain_event-stimulus_trial-005_cuetype-high_stimintensity-high.nii.gz,-0.20483948
18,sub-0002_ses-03_run-02_runtype-pain_event-stimulus_trial-006_cuetype-high_stimintensity-med.nii.gz,0.16986063
19,sub-0002_ses-03_run-02_runtype-pain_event-stimulus_trial-007_cuetype-high_stimintensity-low.nii.gz,0.027407534
20,sub-0002_ses-03_run-02_runtype-pain_event-stimulus_trial-008_cuetype-high_stimintensity-low.nii.gz,-0.26354742
21,sub-0002_ses-03_run-02_runtype-pain_event-stimulus_trial-009_cuetype-high_stimintensity-high.nii.gz,0.09966936
22,sub-0002_ses-03_run-02_runtype-pain_event-stimulus_trial-010_cuetype-low_stimintensity-med.nii.gz,-0.37163654
23,sub-0002_ses-03_run-02_runtype-pain_event-stimulus_trial-011_cuetype-low_stimintensity-high.nii.gz,-0.202133
24,sub-0002_ses-03_run-03_runtype-cognitive_event-stimulus_trial-000_cuetype-high_stimintensity-low.nii.gz,0.11374525
25,sub-0002_ses-03_run-03_runtype-cognitive_event-stimulus_trial-001_cuetype-low_stimintensity-low.nii.gz,0.15953359
26,sub-0002_ses-03_run-03_runtype-cognitive_event-stimulus_trial-002_cuetype-low_stimintensity-med.nii.gz,0.21344471
27,sub-0002_ses-03_run-03_runtype-cognitive_event-stimulus_trial-003_cuetype-low_stimintensity-high.nii.gz,0.12656444
28,sub-0002_ses-03_run-03_runtype-cognitive_event-stimulus_trial-004_cuetype-high_stimintensity-med.nii.gz,0.33254695
29,sub-0002_ses-03_run-03_runtype-cognitive_event-stimulus_trial-005_cuetype-high_stimintensity-high.nii.gz,-0.0062802806
30,sub-0002_ses-03_run-03_runtype-cognitive_event-stimulus_trial-006_cuetype-high_stimintensity-low.nii.gz,0.24599846
31,sub-0002_ses-03_run-03_runtype-cognitive_event-stimulus_trial-007_cuetype-high_stimintensity-high.nii.gz,0.40514946
32,sub-0002_ses-03_run-03_runtype-cognitive_event-stimulus_trial-008_cuetype-low_stimintensity-low.nii.gz,-0.07230664
33,sub-0002_ses-03_run-03_runtype-cognitive_event-stimulus_trial-009_cuetype-low_stimintensity-med.nii.gz,0.03299308
34,sub-0002_ses-03_run-03_runtype-cognitive_event-stimulus_trial-010_cuetype-low_stimintensity-high.nii.gz,0.22757809
35,sub-0002_ses-03_run-03_runtype-cognitive_event-stimulus_trial-011_cuetype-high_stimintensity-med.nii.gz,-0.02353049
36,sub-0002_ses-03_run-05_runtype-vicarious_event-stimulus_trial-000_cuetype-high_stimintensity-low.nii.gz,0.26831427
37,sub-0002_ses-03_run-05_runtype-vicarious_event-stimulus_trial-001_cuetype-high_stimintensity-high.nii.gz,0.15217356
38,sub-0002_ses-03_run-05_runtype-vicarious_event-stimulus_trial-002_cuetype-high_stimintensity-med.nii.gz,0.2853853
39,sub-0002_ses-03_run-05_runtype-vicarious_event-stimulus_trial-003_cuetype-low_stimintensity-low.nii.gz,0.21217972
40,sub-0002_ses-03_run-05_runtype-vicarious_event-stimulus_trial-004_cuetype-high_stimintensity-high.nii.gz,0.34421653
41,sub-0002_ses-03_run-05_runtype-vicarious_event-stimulus_trial-005_cuetype-high_stimintensity-low.nii.gz,0.08773702
42,sub-0002_ses-03_run-05_runtype-vicarious_event-stimulus_trial-006_cuetype-low_stimintensity-med.nii.gz,0.36344784
43,sub-0002_ses-03_run-05_runtype-vicarious_event-stimulus_trial-007_cuetype-low_stimintensity-high.nii.gz,-0.010876651
44,sub-0002_ses-03_run-05_runtype-vicarious_event-stimulus_trial-008_cuetype-low_stimintensity-med.nii.gz,0.63833565
45,sub-0002_ses-03_run-05_runtype-vicarious_event-stimulus_trial-009_cuetype-low_stimintensity-low.nii.gz,-0.018085772
46,sub-0002_ses-03_run-05_runtype-vicarious_event-stimulus_trial-010_cuetype-high_stimintensity-med.nii.gz,0.06624932
47,sub-0002_ses-03_run-05_runtype-vicarious_event-stimulus_trial-011_cuetype-low_stimintensity-high.nii.gz,-0.42843002
48,sub-0002_ses-03_run-06_runtype-cognitive_event-stimulus_trial-000_cuetype-low_stimintensity-low.nii.gz,0.41037518
49,sub-0002_ses-03_run-06_runtype-cognitive_event-stimulus_trial-001_cuetype-high_stimintensity-med.nii.gz,0.33783722
50,sub-0002_ses-03_run-06_runtype-cognitive_event-stimulus_trial-002_cuetype-high_stimintensity-low.nii.gz,0.019216562
51,sub-0002_ses-03_run-06_runtype-cognitive_event-stimulus_trial-003_cuetype-high_stimintensity-high.nii.gz,-0.4895777
52,sub-0002_ses-03_run-06_runtype-cognitive_event-stimulus_trial-004_cuetype-low_stimintensity-med.nii.gz,-0.09790498
53,sub-0002_ses-03_run-06_runtype-cognitive_event-stimulus_trial-005_cuetype-low_stimintensity-high.nii.gz,0.37060255
54,sub-0002_ses-03_run-06_runtype-cognitive_event-stimulus_trial-006_cuetype-low_stimintensity-med.nii.gz,0.21012875
55,sub-0002_ses-03_run-06_runtype-cognitive_event-stimulus_trial-007_cuetype-low_stimintensity-high.nii.gz,-0.076284714
56,sub-0002_ses-03_run-06_runtype-cognitive_event-stimulus_trial-008_cuetype-high_stimintensity-low.nii.gz,0.19510478
57,sub-0002_ses-03_run-06_runtype-cognitive_event-stimulus_trial-009_cuetype-high_stimintensity-high.nii.gz,0.17611556
58,sub-0002_ses-03_run-06_runtype-cognitive_event-stimulus_trial-010_cuetype-high_stimintensity-med.nii.gz,-0.41817698
59,sub-0002_ses-03_run-06_runtype-cognitive_event-stimulus_trial-011_cuetype-low_stimintensity-low.nii.gz,0.03598981
60,sub-0002_ses-04_run-01_runtype-vicarious_event-stimulus_trial-000_cuetype-low_stimintensity-med.nii.gz,-0.105037384
61,sub-0002_ses-04_run-01_runtype-vicarious_event-stimulus_trial-001_cuetype-high_stimintensity-low.nii.gz,-0.2784438
