Subject	Total Pain Stimulus Files	Removed Pain Stimulus Files	Remaining Pain Stimulus Files	Total Vicarious Stimulus Files	Removed Vicarious Stimulus Files	Remaining Vicarious Stimulus Files	Total Cognitive Stimulus Files	Removed Cognitive Stimulus Files	Remaining Cognitive Stimulus Files	Total Pain Cue Files	Removed Pain Cue Files	Remaining Pain Cue Files	Total Vicarious Cue Files	Removed Vicarious Cue Files	Remaining Vicarious Cue Files	Total Cognitive Cue Files	Removed Cognitive Cue Files	Remaining Cognitive Cue Files
sub-0015	24	3	21	24	3	21	24	1	23	24	1	23	24	4	20	24	3	21
sub-0016	24	0	24	24	0	24	24	1	23	24	1	23	24	0	24	24	0	24
sub-0017	0	0	0	24	0	24	24	1	23	0	0	0	24	1	23	24	0	24
sub-0019	24	2	22	24	0	24	24	0	24	24	1	23	24	1	23	24	0	24
sub-0021	24	7	17	12	0	12	24	2	22	24	1	23	12	1	11	24	0	24
sub-0023	24	5	19	24	0	24	24	1	23	24	1	23	24	1	23	24	1	23
sub-0024	12	5	7	24	0	24	24	0	24	12	0	12	24	0	24	24	0	24
sub-0025	24	1	23	24	1	23	24	1	23	24	0	24	24	1	23	24	1	23
sub-0026	12	1	11	24	0	24	24	0	24	12	0	12	24	0	24	24	0	24
sub-0028	24	2	22	24	0	24	24	1	23	24	0	24	24	0	24	24	0	24
sub-0029	24	3	21	24	0	24	24	2	22	24	2	22	24	0	24	24	2	22
sub-0031	24	1	23	24	0	24	24	2	22	24	0	24	24	0	24	24	1	23
sub-0032	18	1	17	24	0	24	24	0	24	24	1	23	24	0	24	24	1	23
sub-0033	24	2	22	24	0	24	24	0	24	24	0	24	24	0	24	24	0	24
sub-0035	24	4	20	24	0	24	24	3	21	24	0	24	24	2	22	24	3	21
sub-0036	24	2	22	24	1	23	24	1	23	24	0	24	24	0	24	24	1	23
sub-0037	24	0	24	24	0	24	24	0	24	24	0	24	24	0	24	24	2	22
sub-0038	24	2	22	24	0	24	24	0	24	24	1	23	24	0	24	24	0	24
sub-0039	24	1	23	24	0	24	24	0	24	24	0	24	24	0	24	24	0	24
sub-0040	24	2	22	24	0	24	24	0	24	24	0	24	24	0	24	24	3	21
sub-0041	24	6	18	24	0	24	24	1	23	24	0	24	24	0	24	24	0	24
sub-0043	24	5	19	24	0	24	24	0	24	24	1	23	24	0	24	24	0	24
sub-0044	24	3	21	24	0	24	24	1	23	24	0	24	24	0	24	24	0	24
sub-0050	24	3	21	24	0	24	24	1	23	24	0	24	24	0	24	24	0	24
sub-0051	24	2	22	24	1	23	24	1	23	24	1	23	24	0	24	24	1	23
sub-0052	24	2	22	24	1	23	24	0	24	24	1	23	24	0	24	24	0	24
