sub,ses,run,runtype,ROI,ROIindex,condition,tr1,tr2,tr3,tr4,tr5,tr6,tr7,tr8,tr9,tr10,tr11,tr12,tr13,tr14,tr15,tr16,tr17,tr18,tr19,tr20,tr21,tr22,tr23,tr24,tr25,tr26,tr27,tr28,tr29,tr30,tr31,tr32,tr33,tr34,tr35,tr36,tr37,tr38,tr39,tr40,tr41,tr42
sub-0030,ses-01,run-01,cognitive,rINS,216,cueH_stimH,-14.2107610702515,-12.016622543335,-20.2845687866211,-25.6183681488037,0.532977342605591,-32.4625968933105,-6.27553462982178,-18.5503368377686,-20.4456348419189,2.31559228897095,-1.36260032653809,3.69641590118408,-2.92008590698242,4.36154222488403,7.14696502685547,-12.0343618392944,4.00734090805054,0.854092240333557,-20.8411235809326,-4.31485748291016,-10.4733867645264,-26.295129776001,-18.6019039154053,-2.87549257278442,-13.3069505691528,-16.0724277496338,-12.3093452453613,-13.4536247253418,-20.1676559448242,-18.8686256408691,-10.234619140625,1.37086963653564,-20.7600212097168,-21.0168571472168,-18.9514312744141,-16.3825836181641,-7.03493785858154,4.90553760528564,-27.9680824279785,5.38942432403564,5.06374073028564,-0.731913566589355
sub-0030,ses-01,run-01,cognitive,rINS,216,cueL_stimH,-5.31799364089966,5.15167236328125,-13.5391159057617,15.7534971237183,-7.87017917633057,8.77676296234131,0.881303787231445,3.9621217250824,-10.807300567627,-2.17932558059692,5.47936964035034,-6.41531085968018,8.01542663574219,3.41143465042114,-7.87726879119873,-7.67362499237061,14.2043695449829,1.77591180801392,10.6769638061523,10.3508005142212,-7.05536222457886,12.0477838516235,-4.38891744613647,1.96782064437866,3.80329895019531,-10.4230556488037,1.41282653808594,-6.09095811843872,8.06545734405518,-7.89335060119629,-13.9881248474121,-18.1644172668457,-7.82912063598633,-24.355110168457,2.88094329833984,-6.18227958679199,-4.55449867248535,-27.5096187591553,-8.30301189422607,-8.60958957672119,-3.00867366790771,-7.31138038635254
sub-0030,ses-01,run-01,cognitive,rINS,216,cueH_stimM,6.68727731704712,-11.8063201904297,-15.3363399505615,-8.92763710021973,-4.77224254608154,-6.30924510955811,-0.428046882152557,11.2301063537598,-6.55047750473022,1.23710346221924,14.6490259170532,-19.2155303955078,17.0363025665283,-9.23784637451172,20.3966484069824,20.5387210845947,16.1046714782715,0.41324520111084,19.5124549865723,12.362268447876,-3.60307741165161,1.0135235786438,2.74161863327026,13.2907886505127,7.16481494903564,-12.2275094985962,4.69893884658813,-3.85044479370117,-0.411781311035156,-1.15859031677246,6.75628089904785,-15.4433822631836,-20.5822219848633,-4.09552001953125,-21.5041828155518,0.548665046691895,-14.51123046875,-3.04599285125732,15.0751342773438,5.27417182922363,2.18862533569336,10.8551120758057
sub-0030,ses-01,run-01,cognitive,rINS,216,cueL_stimM,8.61089992523193,7.82157421112061,10.4294872283936,12.7721729278564,-3.50102162361145,-2.69253492355347,-9.17911148071289,-14.7997913360596,-7.05368614196777,1.88442611694336,-6.37994384765625,15.382607460022,4.34107398986816,-6.52476501464844,12.1599426269531,12.8962240219116,3.67592930793762,6.35787010192871,5.47226476669312,8.51779174804688,-1.57833337783813,-2.15378379821777,-15.5539674758911,-16.416467666626,-13.3717651367188,-32.1920547485352,7.41419982910156,-2.6233229637146,-14.2200202941895,-23.7335224151611,10.3029537200928,-16.6299533843994,-11.7555923461914,-15.1844844818115,2.16551303863525,9.60534477233887,-1.21869897842407,14.2146949768066,13.815281867981,20.2887535095215,-2.35823917388916,7.22941112518311
sub-0030,ses-01,run-01,cognitive,rINS,216,cueH_stimL,12.7116479873657,-2.84476375579834,-2.91543245315552,16.853120803833,-2.11374950408936,21.1193981170654,-3.66524076461792,19.3185043334961,11.9156036376953,8.99508476257324,18.6935138702393,11.6814975738525,-13.1228246688843,2.05356502532959,-2.79892730712891,1.40151691436768,9.41917896270752,-12.3119840621948,4.22823238372803,-10.1783390045166,-4.78282403945923,-2.02358913421631,3.05231189727783,-3.7831699848175,-3.74723243713379,-13.179349899292,-12.6816291809082,-9.68196678161621,-0.378738403320312,-0.768237829208374,-1.5715503692627,-5.73495292663574,-17.7649192810059,-22.9224815368652,-16.7957878112793,2.37607479095459,-13.471471786499,-2.15174341201782,-2.73781418800354,-0.34906280040741,-1.98208093643188,7.51114130020142
sub-0030,ses-01,run-01,cognitive,rINS,216,cueL_stimL,-1.61283111572266,2.81808614730835,5.49330902099609,-5.37840890884399,2.78126049041748,5.57919216156006,-9.45384883880615,2.00576305389404,1.93350267410278,18.5467319488525,0.261560440063477,19.906759262085,4.40337896347046,22.1771373748779,2.40782499313354,-15.222599029541,2.07083797454834,-7.4907922744751,-20.2520484924316,-8.43094539642334,-6.59761142730713,-27.547758102417,-20.8784446716309,-12.3697052001953,-14.9640226364136,-13.0128784179688,-26.335729598999,-31.338623046875,-15.7436122894287,-5.12281799316406,-3.54680991172791,-19.0516777038574,-13.2825317382812,-38.9191627502441,-31.8293380737305,-22.4252166748047,-21.1018009185791,-12.4354934692383,-20.6671161651611,-8.35792541503906,-34.9062118530273,-23.7727184295654
sub-0030,ses-01,run-01,cognitive,rINS,216,rating,3.64581394195557,3.26601791381836,4.41437816619873,7.42836380004883,13.4108047485352,7.23398113250732,15.2328624725342,10.7641906738281,9.17263889312744,3.8111629486084,11.4407234191895,8.83933067321777,8.00724411010742,10.8364410400391,6.72826194763184,3.47606658935547,2.59505462646484,-3.0678653717041,-2.68852043151855,-10.6185483932495,-2.36239242553711,-7.95372772216797,-17.163143157959,-11.3204669952393,-9.01588153839111,-13.8273887634277,-6.38249397277832,-10.7693252563477,-15.8481855392456,-2.72307300567627,-16.9395713806152,-11.1604127883911,-11.1543884277344,-12.783540725708,-15.2480850219727,-3.90045547485352,-5.04837512969971,-4.74635124206543,0.467880249023438,-3.84866237640381,0.529003143310547,1.73476409912109
sub-0030,ses-01,run-01,cognitive,rINS,216,cue,8.28948593139648,7.03658485412598,8.47567844390869,-0.270496368408203,3.1931095123291,-3.14185237884521,-2.28192949295044,-0.363259315490723,-4.8887939453125,1.00280094146729,2.35715103149414,-0.845441818237305,-1.52634048461914,-3.6668267250061,-10.7019863128662,-3.13087177276611,-12.8746700286865,-9.86836624145508,-8.17569351196289,-9.42035675048828,-5.49308395385742,-8.05101013183594,2.08721542358398,6.94103622436523,1.24034881591797,2.10755634307861,3.12251281738281,3.23049664497375,-3.96867847442627,5.59596252441406,0.357092440128326,-1.63026237487793,0.16662073135376,5.47210597991943,-1.4561882019043,3.67919540405273,3.69752597808838,4.71235084533691,2.21019625663757,3.07481861114502,4.22607135772705,0.850136518478394
sub-0030,ses-01,run-01,cognitive,rINS,218,cueH_stimH,-43.0989074707031,-10.54368019104,10.0041408538818,-31.2136974334717,-20.1757297515869,-49.0251007080078,-22.4652938842773,1.30546712875366,-3.19205856323242,-9.54978847503662,3.82217884063721,-7.63068675994873,4.4991455078125,-6.71158313751221,28.7799072265625,-4.23178577423096,6.16985511779785,-8.23299694061279,-15.5368432998657,13.8273086547852,-19.8376522064209,-20.0152854919434,-17.9918727874756,-6.997474193573,-36.846809387207,-35.0002365112305,-3.36873769760132,-26.3199558258057,-9.68269062042236,-16.7168884277344,-33.77978515625,-28.7093067169189,-10.5058689117432,-32.9419403076172,-35.7722625732422,-6.54081153869629,-37.4505081176758,-10.1411228179932,-48.6822052001953,-4.91581153869629,-10.8401279449463,-27.0198535919189
sub-0030,ses-01,run-01,cognitive,rINS,218,cueL_stimH,-5.54550886154175,-3.75672054290771,-32.3859252929688,1.68808841705322,-14.5708246231079,12.9499607086182,-15.4628210067749,-4.73583126068115,-4.09586906433105,17.7536392211914,-21.3921127319336,-0.132502555847168,9.37744522094727,-1.112548828125,23.7814636230469,32.5524368286133,-16.5261631011963,36.3297805786133,-18.5890254974365,23.6287612915039,26.764554977417,-8.97832202911377,4.76608037948608,-6.67414379119873,5.98988771438599,-6.1559910774231,12.5709638595581,-21.3956031799316,-15.1488285064697,-13.9113121032715,0.227752685546875,-20.7157421112061,2.27657508850098,-13.612473487854,-5.83435487747192,-19.1457843780518,-24.1004390716553,-7.81932973861694,-26.731273651123,-16.9103698730469,-25.4826698303223,9.70591735839844
