sub,ses,run,runtype,ROI,ROIindex,condition,tr1,tr2,tr3,tr4,tr5,tr6,tr7,tr8,tr9,tr10,tr11,tr12,tr13,tr14,tr15,tr16,tr17,tr18,tr19,tr20,tr21,tr22,tr23,tr24,tr25,tr26,tr27,tr28,tr29,tr30,tr31,tr32,tr33,tr34,tr35,tr36,tr37,tr38,tr39,tr40,tr41,tr42
sub-0064,ses-01,run-01,vicarious,dACC,82,cueH_stimH,-27.857540130615202,-31.9186515808105,-9.368452072143551,-24.248926162719698,-35.0843925476074,-16.7180805206299,-20.158466339111303,-18.684833526611303,-33.023956298828104,10.217601776123,-14.0930624008179,3.20615029335022,-38.3931427001953,-34.6958389282227,-20.836460113525398,-32.1375007629395,-38.2443389892578,-13.0671215057373,-20.8719310760498,-40.7416954040527,-7.4852409362792995,-21.3288497924805,-36.4239730834961,-26.7785835266113,-13.6509857177734,-25.6596984863281,-19.691806793212898,-27.598936080932603,-3.2279434204101602,-10.115821838378901,-17.1259765625,37.0896148681641,27.5631790161133,5.28446388244629,28.997407913207997,11.213584899902301,-13.7688255310059,-3.67613792419434,23.2882995605469,1.75390195846558,9.76993274688721,28.3113746643066
sub-0064,ses-01,run-01,vicarious,dACC,82,cueL_stimH,-9.094709396362301,0.934392333030701,-8.24074745178223,-9.96684646606445,-15.528356552124,-20.7581729888916,-26.2922172546387,-13.4370756149292,-30.0069980621338,-10.7482805252075,-31.6750087738037,-27.5718975067139,-47.0104789733887,-21.3963680267334,-39.5544319152832,-37.8919219970703,-33.201171875,-18.308883666992198,-32.566436767578104,-41.4036445617676,-8.295605659484862,-39.1868133544922,-20.7164916992188,-30.5441703796387,-23.484193801879897,-33.5232315063477,-34.8569984436035,-20.5299453735352,-17.4957256317139,-17.6417465209961,-12.0318260192871,-29.2453308105469,-13.490135192871099,-24.4220809936523,-8.025792121887209,1.91947364807129,-10.473062515258801,-17.6057205200195,-7.77007293701172,-10.4721832275391,-9.84236907958984,-19.818187713623
sub-0064,ses-01,run-01,vicarious,dACC,82,cueH_stimM,7.08730220794678,-1.24679756164551,-2.9333548545837402,-15.331535339355499,-0.849130034446716,-20.812208175659197,-18.4038143157959,-19.7529335021973,1.36445689201355,-4.37969875335693,4.22253894805908,-21.0742225646973,-17.3095664978027,-15.071661949157699,-16.8260612487793,-23.8067092895508,-25.995506286621104,-23.9987106323242,-41.33982467651371,-25.436302185058604,-29.602317810058604,-33.5632820129395,-32.6841011047363,-19.1553649902344,-22.5143737792969,-24.5340423583984,-23.2207908630371,-42.0958099365234,-27.1046409606934,-15.6305294036865,-35.717399597168004,-28.9413528442383,-8.63183212280273,-27.3286781311035,-18.2479038238525,-30.7207183837891,-32.523193359375,-19.924945831298803,-20.7164516448975,-12.093602180481,-16.695491790771502,-26.586763381957997
sub-0064,ses-01,run-01,vicarious,dACC,82,cueL_stimM,5.85797882080078,1.22810697555542,15.0202884674072,-6.614925384521481,21.1933364868164,3.5144071578979506,-2.25851535797119,15.158897399902301,-10.833606719970698,9.113283157348631,-30.094305038452102,-14.3763980865479,-45.781867980957,-34.2844772338867,-46.532566070556605,-56.3040084838867,-19.178243637085,-33.7677040100098,-3.76382923126221,-32.136569976806605,-28.333265304565398,-40.1865005493164,-28.41064453125,-34.1086616516113,-15.7020874023438,-12.6230945587158,-47.857017517089794,-23.9667282104492,-33.1667861938477,-25.493766784668,-30.5261383056641,-17.8804531097412,-32.8031730651855,-19.6124114990234,-25.730928421020497,-18.3079776763916,-5.9468822479248,-21.2507705688477,4.34928512573242,-17.3615036010742,-21.0878009796143,-19.0052375793457
sub-0064,ses-01,run-01,vicarious,dACC,82,cueH_stimL,13.0070953369141,-3.00543475151062,-2.48414421081543,27.701673507690398,-7.383099555969241,22.6240062713623,-2.34115552902222,11.3916797637939,4.28845405578613,2.3899130821227996,12.7427425384521,-13.8484945297241,3.0419254302978502,-3.2011775970458998,-8.96221828460693,2.8258810043335,-10.970332145690902,-13.5609550476074,-7.50539112091064,-28.686763763427702,-10.1185827255249,-25.7564430236816,-41.409152984619105,-22.9779624938965,-17.4047050476074,-23.792797088623,-31.8732967376709,-42.1038780212402,-8.81840133666992,-11.4667415618896,-10.8601741790771,-11.0293922424316,-24.3323440551758,19.6750717163086,-12.202510833740199,-16.0911846160889,-1.8939743041992199,-11.2654514312744,-17.308343887329098,2.78806066513062,4.5972795486450195,22.697608947753896
sub-0064,ses-01,run-01,vicarious,dACC,82,cueL_stimL,-0.138244152069092,-4.90134048461914,-15.6260185241699,-6.88804054260254,-16.0079212188721,-11.3210506439209,-13.316089630127001,-11.2026081085205,-22.710264205932603,-12.5520305633545,-16.2510719299316,-14.8670291900635,3.7423048019409197,-7.0054235458374,-30.3631324768066,-30.6825904846191,-13.267391204834,-31.6810245513916,-5.2557258605957005,-6.811870574951169,-15.9865989685059,-12.127254486084,-15.4392356872559,-16.5317649841309,-3.3795051574707,10.065975189209,5.63901853561401,-23.482479095459,-1.07848024368286,-5.7554817199707005,21.948495864868196,2.4383716583252,-10.936992645263699,4.9968433380127,0.608474731445312,-7.90932655334473,-6.95943832397461,4.140525817871089,-19.4671783447266,5.60728454589844,-14.483856201171902,-12.710264205932601
sub-0064,ses-01,run-01,vicarious,dACC,82,rating,-5.47044467926025,-6.3348503112792995,1.63982677459717,-9.5932674407959,-2.65157699584961,6.82452392578125,-4.2780036926269505,3.33066177368164,-0.9927825927734379,-2.1867923736572297,-5.395450592041019,4.54751110076904,2.50350618362427,2.2581024169921897,6.3113288879394505,-9.12821006774902,-13.930193901062,-14.454408645629899,-14.302443504333501,-19.1312789916992,-13.802371025085401,-9.98756313323975,-11.428304672241199,-14.8191652297974,-12.939021110534698,-14.603666305542,-17.5249347686768,-10.2508153915405,-13.3196659088135,-14.445045471191401,-8.36302280426025,-3.7047100067138703,-3.50690746307373,-5.72532176971436,-2.8268420696258505,-11.6628313064575,-10.8188142776489,-8.73781776428223,-3.28845834732056,-7.88332366943359,-7.3756275177002,-2.9566409587860094
sub-0064,ses-01,run-01,vicarious,dACC,82,cue,-7.071598052978519,-6.42760467529297,-6.9412126541137695,-5.1379537582397505,-4.02812099456787,-8.14746761322021,-5.299594402313231,-5.9758625030517605,-9.28025817871094,-2.3878402709960898,-3.4414005279541002,1.83673477172852,-2.36230087280273,0.17837905883789104,-5.21113967895508,-1.18025970458984,-12.335296630859402,-3.59062004089355,-8.93874359130859,-17.649000167846697,-10.6374931335449,2.87828826904297,-2.2994394302368195,-1.8245749473571797,-0.434260845184326,3.14822769165039,-6.76253223419189,-18.2366046905518,-6.37679004669189,-15.457088470459,-6.24923324584961,-15.5589504241943,-12.8195037841797,-4.200321674346919,4.676220893859861,3.04524064064026,-4.71331596374512,2.92458724975586,-14.582916259765598,-11.653327941894501,2.20884776115417,2.14990186691284
sub-0064,ses-01,run-01,vicarious,dACC,115,cueH_stimH,16.7731056213379,8.83784484863281,-65.98147583007811,-92.0268096923828,-106.02384948730499,-119.44955444335899,-52.7580757141113,-96.2703170776367,-50.104953765869105,-19.3232803344727,27.1388053894043,18.7567119598389,66.2284469604492,47.150363922119105,25.8574867248535,82.11277770996091,58.8897361755371,64.51651000976561,29.957994461059602,76.0844955444336,62.8017501831055,4.698302268981929,57.157054901123,27.636415481567397,24.8495826721191,14.399436950683599,-17.801233291626,-29.503719329834,-82.6269226074219,-26.484821319580103,-27.7008056640625,116.93804931640601,68.160888671875,150.598968505859,168.933197021484,116.91145324706999,144.23486328125,141.765487670898,101.040313720703,118.55792236328101,99.7263717651367,85.3986740112305
sub-0064,ses-01,run-01,vicarious,dACC,115,cueL_stimH,-80.9257888793945,-131.731750488281,-88.19235229492192,-150.633834838867,-131.658828735352,-80.0900192260742,-100.478080749512,-153.10168457031202,-105.075492858887,-107.883247375488,-44.4014205932617,-118.54860687255899,1.1106710433959999,-85.0856094360352,-89.1170272827148,-45.2433471679688,-111.58001708984399,-29.0277423858643,-80.1385116577148,13.1036195755005,-38.591468811035206,25.8625373840332,25.798660278320302,35.8154640197754,51.4288177490234,0.33286094665527305,47.34049987792971,37.5164031982422,30.6176261901855,53.792884826660206,43.876949310302706,41.569671630859396,22.8059272766113,45.1019477844238,88.08837127685551,23.7159118652344,69.3157958984375,36.1646957397461,50.0423774719238,18.7703170776367,16.9399738311768,42.0971527099609
sub-0064,ses-01,run-01,vicarious,dACC,115,cueH_stimM,44.204216003418,68.098762512207,34.7432708740234,-0.274574279785156,-30.1258430480957,32.8933258056641,-21.0619792938232,-14.2135448455811,-28.723699569702102,-1.39569425582886,2.68029356002808,-2.2732772827148398,-34.6117477416992,-48.9665184020996,-73.6657333374023,-45.9527702331543,-51.907073974609396,-115.192558288574,-71.9461441040039,-56.6178970336914,41.60386276245121,2.5322656631469704,34.488376617431605,49.9127197265625,-0.988668918609619,80.4701919555664,40.8991851806641,53.481353759765604,44.234649658203104,30.9082221984863,27.4875335693359,8.75718688964844,-12.632406234741199,-53.9475784301758,-47.6661911010742,-57.312141418457,-32.8257637023926,-36.0974922180176,-64.09222412109379,-44.0773429870605,-43.1925849914551,-14.542160987853999
sub-0064,ses-01,run-01,vicarious,dACC,115,cueL_stimM,-0.0879278182983398,10.400821685791,21.6666145324707,55.43681335449221,67.5542755126953,0.8273391723632809,49.180904388427706,18.5350246429443,47.5523872375488,15.923597335815401,44.64579772949221,-29.7160263061523,13.340579032897901,-29.761045455932603,-37.5244369506836,-82.6234588623047,-119.13259124755899,-113.394027709961,-84.3197555541992,-79.6988754272461,-35.9828987121582,-41.815036773681605,-28.2900238037109,-25.6752052307129,-19.0566787719727,-3.16238307952881,19.7396850585938,19.499885559082,22.606626510620103,-8.27154159545898,-17.568489074707,19.6236667633057,5.22472381591797,14.404595375061,16.6216697692871,-25.138940811157198,24.790767669677702,29.0626106262207,7.24083137512207,16.111404418945302,12.0935583114624,15.1231536865234
sub-0064,ses-01,run-01,vicarious,dACC,115,cueH_stimL,8.20748233795166,2.97965407371521,85.2342987060547,3.2023491859436,29.591350555419897,-17.2423133850098,-38.0584373474121,-12.016319274902301,-5.84076595306396,50.9404296875,24.4716300964355,84.993408203125,66.6562652587891,44.400074005127,82.0574722290039,93.172607421875,72.6388626098633,60.59977722167971,13.818819999694801,6.777889251708981,16.604417800903303,27.7498970031738,30.1496734619141,-7.72831153869629,35.8601875305176,31.016803741455103,46.10832214355471,11.4177598953247,14.829331398010302,-2.5894556045532204,38.4549980163574,8.06147193908691,76.99485778808591,44.33171081542971,20.3381195068359,21.0059795379639,2.2805633544921897,-8.529726028442381,22.234088897705103,-21.3762531280518,0.327821254730225,19.3389453887939
