"","X","Unnamed..0","index","nifti_name","sub","ses","run","run_type","ev","num","onset","dur","mod","regressor","cue_type","stim_type","expect_rating","actual_rating","cue_con","stim_lin","stim_quad","subject","subject","fname_noext","vps","vps_corr","vps_cosine","con"
"73",116,116,12,"sub-0006_ses-06_run-03-cognitive_task-social-ev-stim-0001",6,1,3,"cognitive","stim",1,22.5988800525665,5,1,"True","low_cue","low_stim",57.1650298702869,32.0053832080835,-1,-1,1,"6","sub-0006","cognitive_ev-stim_l2norm",6.87059384498444,0.0141671694806624,0.0183857045977442,"cognitive"
"74",117,117,13,"sub-0006_ses-06_run-03-cognitive_task-social-ev-stim-0002",6,1,3,"cognitive","stim",2,50.1925098896027,5,1,"True","low_cue","med_stim",45.1623105559367,101.604762356379,-1,0,-2,"6","sub-0006","cognitive_ev-stim_l2norm",20.8195489712437,0.0563055180440133,0.0575086093644931,"cognitive"
"75",118,118,14,"sub-0006_ses-06_run-03-cognitive_task-social-ev-stim-0003",6,1,3,"cognitive","stim",3,86.0892198085785,5,1,"True","high_cue","med_stim",103.201087175706,92.591866705235,1,0,-2,"6","sub-0006","cognitive_ev-stim_l2norm",-4.92557567516603,-0.0140609586515979,-0.0133936660473299,"cognitive"
"76",119,119,15,"sub-0006_ses-06_run-03-cognitive_task-social-ev-stim-0004",6,1,3,"cognitive","stim",4,120.301979780197,5,1,"True","low_cue","high_stim",65.5560452195835,85.8653286262636,-1,1,1,"6","sub-0006","cognitive_ev-stim_l2norm",9.23103111448223,0.0271331181373087,0.0247910127237703,"cognitive"
"77",120,120,16,"sub-0006_ses-06_run-03-cognitive_task-social-ev-stim-0005",6,1,3,"cognitive","stim",5,155.298369884491,5,1,"True","high_cue","med_stim",110.420015609278,69.8205413354891,1,0,-2,"6","sub-0006","cognitive_ev-stim_l2norm",6.81347325045247,0.0152191432420288,0.0189154539804456,"cognitive"
"78",121,121,17,"sub-0006_ses-06_run-03-cognitive_task-social-ev-stim-0006",6,1,3,"cognitive","stim",6,182.691919803619,5,1,"True","low_cue","high_stim",111.501434324048,61.6836450567278,-1,1,1,"6","sub-0006","cognitive_ev-stim_l2norm",2.72406592525737,0.00404253845501818,0.00736667034251454,"cognitive"
"79",122,122,18,"sub-0006_ses-06_run-03-cognitive_task-social-ev-stim-0007",6,1,3,"cognitive","stim",7,218.205159902573,5,1,"True","low_cue","low_stim",91.8476102659946,22.6552327086798,-1,-1,1,"6","sub-0006","cognitive_ev-stim_l2norm",5.79002919078578,0.0112000826018378,0.0155717680225761,"cognitive"
"80",123,123,19,"sub-0006_ses-06_run-03-cognitive_task-social-ev-stim-0008",6,1,3,"cognitive","stim",8,245.29859995842,5,1,"True","high_cue","high_stim",122.203039274405,10.4494281577692,1,1,1,"6","sub-0006","cognitive_ev-stim_l2norm",9.37274999920677,0.0231354662189229,0.0253703106857801,"cognitive"
"81",124,124,20,"sub-0006_ses-06_run-03-cognitive_task-social-ev-stim-0009",6,1,3,"cognitive","stim",9,279.494679927826,5,1,"True","high_cue","high_stim",100.222168633636,66.4641990542205,1,1,1,"6","sub-0006","cognitive_ev-stim_l2norm",4.500295319087,0.0105348395049923,0.0124871728514302,"cognitive"
"82",125,125,21,"sub-0006_ses-06_run-03-cognitive_task-social-ev-stim-0010",6,1,3,"cognitive","stim",10,321.893830060959,5,1,"True","high_cue","low_stim",100.449428157769,17.7097245238628,1,-1,1,"6","sub-0006","cognitive_ev-stim_l2norm",-0.982616790206122,-0.006402991383478,-0.00271598249313595,"cognitive"
"83",126,126,22,"sub-0006_ses-06_run-03-cognitive_task-social-ev-stim-0011",6,1,3,"cognitive","stim",11,345.702709913254,5,1,"True","high_cue","low_stim",67.1329437002273,7.38181842191988,1,-1,1,"6","sub-0006","cognitive_ev-stim_l2norm",9.58691909033853,0.0256741781366193,0.0259369033261344,"cognitive"
"84",127,127,23,"sub-0006_ses-06_run-03-cognitive_task-social-ev-stim-0012",6,1,3,"cognitive","stim",12,382.499759912491,5,1,"True","low_cue","med_stim",39.3055692822446,21.2028186438097,-1,0,-2,"6","sub-0006","cognitive_ev-stim_l2norm",2.68129851269136,0.00413460719361469,0.00734019097576382,"cognitive"
"85",272,272,12,"sub-0006_ses-06_run-06-cognitive_task-social-ev-stim-0001",6,1,6,"cognitive","stim",1,21.8966898918152,5,1,"True","high_cue","low_stim",66.3179122754616,16.7652025082104,1,-1,1,"6","sub-0006","cognitive_ev-stim_l2norm",16.4577438680651,0.0521775071427595,0.0446211990372703,"cognitive"
"86",273,273,13,"sub-0006_ses-06_run-06-cognitive_task-social-ev-stim-0002",6,1,6,"cognitive","stim",2,46.0890500545502,5,1,"True","low_cue","low_stim",50.5484662937181,0,-1,-1,1,"6","sub-0006","cognitive_ev-stim_l2norm",6.63148218658318,0.0231810963945997,0.018188326390584,"cognitive"
"87",274,274,14,"sub-0006_ses-06_run-06-cognitive_task-social-ev-stim-0003",6,1,6,"cognitive","stim",3,77.0839400291443,5,1,"True","low_cue","med_stim",63.0234960789303,27.1811110854772,-1,0,-2,"6","sub-0006","cognitive_ev-stim_l2norm",11.0641671741561,0.0280237335538559,0.0301767116084962,"cognitive"
