	filename	sub	ses	run	runtype	cuetype	stimtype	singletrial_name	singletrial_index	intercept	beta	modelfit
0	sub-0015_ses-01_run-01_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0015	ses-01	run-01	pain	high	med	epoch-stim_trial-000_cue-high_stim-med	trial-001	-0.83905970070165	3.917032252286194	0.6133388115590263
1	sub-0015_ses-01_run-01_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0015	ses-01	run-01	pain	high	low	epoch-stim_trial-001_cue-high_stim-low	trial-002	-0.83905970070165	2.483187349648697	0.6133388115590263
2	sub-0015_ses-01_run-01_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0015	ses-01	run-01	pain	low	med	epoch-stim_trial-002_cue-low_stim-med	trial-003	-0.83905970070165	1.6039497383813326	0.6133388115590263
3	sub-0015_ses-01_run-01_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0015	ses-01	run-01	pain	high	high	epoch-stim_trial-003_cue-high_stim-high	trial-004	-0.83905970070165	3.136829161518047	0.6133388115590263
4	sub-0015_ses-01_run-01_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0015	ses-01	run-01	pain	high	high	epoch-stim_trial-004_cue-high_stim-high	trial-005	-0.83905970070165	2.5562537440792474	0.6133388115590263
5	sub-0015_ses-01_run-01_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0015	ses-01	run-01	pain	low	high	epoch-stim_trial-005_cue-low_stim-high	trial-006	-0.83905970070165	1.2202590307789554	0.6133388115590263
6	sub-0015_ses-01_run-01_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0015	ses-01	run-01	pain	high	med	epoch-stim_trial-006_cue-high_stim-med	trial-007	-0.83905970070165	2.300981134741172	0.6133388115590263
7	sub-0015_ses-01_run-01_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0015	ses-01	run-01	pain	high	low	epoch-stim_trial-007_cue-high_stim-low	trial-008	-0.83905970070165	1.8903449187407277	0.6133388115590263
8	sub-0015_ses-01_run-01_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0015	ses-01	run-01	pain	low	high	epoch-stim_trial-008_cue-low_stim-high	trial-009	-0.83905970070165	2.2552161750363364	0.6133388115590263
9	sub-0015_ses-01_run-01_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0015	ses-01	run-01	pain	low	low	epoch-stim_trial-009_cue-low_stim-low	trial-010	-0.83905970070165	2.4398089794730144	0.6133388115590263
10	sub-0015_ses-01_run-01_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0015	ses-01	run-01	pain	low	low	epoch-stim_trial-010_cue-low_stim-low	trial-011	-0.83905970070165	1.820669378440921	0.6133388115590263
11	sub-0015_ses-01_run-01_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0015	ses-01	run-01	pain	low	med	epoch-stim_trial-011_cue-low_stim-med	trial-012	-0.83905970070165	2.2755999472188435	0.6133388115590263
12	sub-0015_ses-01_run-05_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0015	ses-01	run-05	pain	high	med	epoch-stim_trial-000_cue-high_stim-med	trial-001	-0.5522764842244038	4.353151539068334	0.6838083027844186
13	sub-0015_ses-01_run-05_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0015	ses-01	run-05	pain	low	med	epoch-stim_trial-001_cue-low_stim-med	trial-002	-0.5522764842244038	1.6215971775570752	0.6838083027844186
14	sub-0015_ses-01_run-05_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0015	ses-01	run-05	pain	high	low	epoch-stim_trial-002_cue-high_stim-low	trial-003	-0.5522764842244038	1.6657900081701595	0.6838083027844186
15	sub-0015_ses-01_run-05_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0015	ses-01	run-05	pain	low	med	epoch-stim_trial-003_cue-low_stim-med	trial-004	-0.5522764842244038	2.786049773780818	0.6838083027844186
16	sub-0015_ses-01_run-05_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0015	ses-01	run-05	pain	high	high	epoch-stim_trial-004_cue-high_stim-high	trial-005	-0.5522764842244038	2.6317523444465074	0.6838083027844186
17	sub-0015_ses-01_run-05_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0015	ses-01	run-05	pain	low	low	epoch-stim_trial-005_cue-low_stim-low	trial-006	-0.5522764842244038	3.5629015810003883	0.6838083027844186
18	sub-0015_ses-01_run-05_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0015	ses-01	run-05	pain	low	high	epoch-stim_trial-006_cue-low_stim-high	trial-007	-0.5522764842244038	1.1875692266012874	0.6838083027844186
19	sub-0015_ses-01_run-05_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0015	ses-01	run-05	pain	high	med	epoch-stim_trial-007_cue-high_stim-med	trial-008	-0.5522764842244038	2.3191346828292505	0.6838083027844186
20	sub-0015_ses-01_run-05_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0015	ses-01	run-05	pain	high	low	epoch-stim_trial-008_cue-high_stim-low	trial-009	-0.5522764842244038	1.8480818108156163	0.6838083027844186
21	sub-0015_ses-01_run-05_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0015	ses-01	run-05	pain	low	high	epoch-stim_trial-009_cue-low_stim-high	trial-010	-0.5522764842244038	2.765064701946593	0.6838083027844186
22	sub-0015_ses-01_run-05_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0015	ses-01	run-05	pain	high	high	epoch-stim_trial-010_cue-high_stim-high	trial-011	-0.5522764842244038	1.7987386499596907	0.6838083027844186
23	sub-0015_ses-01_run-05_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0015	ses-01	run-05	pain	low	low	epoch-stim_trial-011_cue-low_stim-low	trial-012	-0.5522764842244038	0.3740449083118387	0.6838083027844186
24	sub-0016_ses-01_run-02_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0016	ses-01	run-02	pain	high	low	epoch-stim_trial-000_cue-high_stim-low	trial-001	-0.8929988256698641	5.016433096744874	0.682631729648584
25	sub-0016_ses-01_run-02_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0016	ses-01	run-02	pain	low	low	epoch-stim_trial-001_cue-low_stim-low	trial-002	-0.8929988256698641	0.9241143420358267	0.682631729648584
26	sub-0016_ses-01_run-02_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0016	ses-01	run-02	pain	low	med	epoch-stim_trial-002_cue-low_stim-med	trial-003	-0.8929988256698641	1.7577153219146573	0.682631729648584
27	sub-0016_ses-01_run-02_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0016	ses-01	run-02	pain	low	high	epoch-stim_trial-003_cue-low_stim-high	trial-004	-0.8929988256698641	1.514771329330058	0.682631729648584
28	sub-0016_ses-01_run-02_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0016	ses-01	run-02	pain	high	med	epoch-stim_trial-004_cue-high_stim-med	trial-005	-0.8929988256698641	2.2694137838682216	0.682631729648584
29	sub-0016_ses-01_run-02_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0016	ses-01	run-02	pain	high	high	epoch-stim_trial-005_cue-high_stim-high	trial-006	-0.8929988256698641	1.222822506396983	0.682631729648584
30	sub-0016_ses-01_run-02_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0016	ses-01	run-02	pain	high	low	epoch-stim_trial-006_cue-high_stim-low	trial-007	-0.8929988256698641	2.70619966814224	0.682631729648584
31	sub-0016_ses-01_run-02_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0016	ses-01	run-02	pain	high	high	epoch-stim_trial-007_cue-high_stim-high	trial-008	-0.8929988256698641	2.3703270335290805	0.682631729648584
32	sub-0016_ses-01_run-02_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0016	ses-01	run-02	pain	low	low	epoch-stim_trial-008_cue-low_stim-low	trial-009	-0.8929988256698641	1.9758390146526301	0.682631729648584
33	sub-0016_ses-01_run-02_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0016	ses-01	run-02	pain	low	med	epoch-stim_trial-009_cue-low_stim-med	trial-010	-0.8929988256698641	2.209414810900499	0.682631729648584
34	sub-0016_ses-01_run-02_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0016	ses-01	run-02	pain	low	high	epoch-stim_trial-010_cue-low_stim-high	trial-011	-0.8929988256698641	2.080184762810038	0.682631729648584
35	sub-0016_ses-01_run-02_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0016	ses-01	run-02	pain	high	med	epoch-stim_trial-011_cue-high_stim-med	trial-012	-0.8929988256698641	2.5664901481890414	0.682631729648584
36	sub-0016_ses-01_run-04_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0016	ses-01	run-04	pain	low	low	epoch-stim_trial-000_cue-low_stim-low	trial-001	-1.3381788680658098	4.7166542774884315	0.7873820629347598
37	sub-0016_ses-01_run-04_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0016	ses-01	run-04	pain	low	med	epoch-stim_trial-001_cue-low_stim-med	trial-002	-1.3381788680658098	2.183931756889108	0.7873820629347598
38	sub-0016_ses-01_run-04_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0016	ses-01	run-04	pain	high	med	epoch-stim_trial-002_cue-high_stim-med	trial-003	-1.3381788680658098	1.7548769378362854	0.7873820629347598
39	sub-0016_ses-01_run-04_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0016	ses-01	run-04	pain	low	high	epoch-stim_trial-003_cue-low_stim-high	trial-004	-1.3381788680658098	2.422667613392768	0.7873820629347598
40	sub-0016_ses-01_run-04_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0016	ses-01	run-04	pain	high	med	epoch-stim_trial-004_cue-high_stim-med	trial-005	-1.3381788680658098	3.713892995537372	0.7873820629347598
41	sub-0016_ses-01_run-04_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0016	ses-01	run-04	pain	low	high	epoch-stim_trial-005_cue-low_stim-high	trial-006	-1.3381788680658098	1.423920783672314	0.7873820629347598
42	sub-0016_ses-01_run-04_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0016	ses-01	run-04	pain	low	low	epoch-stim_trial-006_cue-low_stim-low	trial-007	-1.3381788680658098	1.6949592234680952	0.7873820629347598
43	sub-0016_ses-01_run-04_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0016	ses-01	run-04	pain	high	high	epoch-stim_trial-007_cue-high_stim-high	trial-008	-1.3381788680658098	2.933354508661089	0.7873820629347598
44	sub-0016_ses-01_run-04_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0016	ses-01	run-04	pain	high	high	epoch-stim_trial-008_cue-high_stim-high	trial-009	-1.3381788680658098	1.7176278941465015	0.7873820629347598
45	sub-0016_ses-01_run-04_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0016	ses-01	run-04	pain	high	low	epoch-stim_trial-009_cue-high_stim-low	trial-010	-1.3381788680658098	2.7504138241067344	0.7873820629347598
46	sub-0016_ses-01_run-04_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0016	ses-01	run-04	pain	high	low	epoch-stim_trial-010_cue-high_stim-low	trial-011	-1.3381788680658098	2.2253558478184665	0.7873820629347598
47	sub-0016_ses-01_run-04_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0016	ses-01	run-04	pain	low	med	epoch-stim_trial-011_cue-low_stim-med	trial-012	-1.3381788680658098	2.4163829393398637	0.7873820629347598
48	sub-0016_ses-03_run-03_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0016	ses-03	run-03	pain	high	med	epoch-stim_trial-000_cue-high_stim-med	trial-001	-1.1443174067100979	3.4210112281400304	0.4932584131684834
49	sub-0016_ses-03_run-03_runtype-pain_epochstart--3_epochend-20_baselinecorrect-False_samplingrate-25_physio-eda.txt	sub-0016	ses-03	run-03	pain	high	high	epoch-stim_trial-001_cue-high_stim-high	trial-002	-1.1443174067100979	1.6772949999247264	0.4932584131684834
