param_fmriSession,param_counterbalanceVer,param_counterbalanceBlockNum,param_triggerOnset,param_videoSubject,param_videoFilename,param_cue_type,param_administer_type,param_cond_type,p1_fixation_onset,p1_fixation_duration,p2_cue_onset,p2_cue_type,p2_cue_filename,p3_expect_onset,p3_expect_responseonset,p3_expect_RT,p4_fixation_onset,p4_fixation_duration,p5_administer_type,p5_administer_filename,p5_administer_onset,p6_actual_onset,p6_actual_responseonset,p6_actual_RT,param_end_instruct_onset,param_experimentDuration,param_runNum
1,4,1,16069.4643632452,066-mg066,mg066t2aaunaff_M.mp4,high,med,4,16072.2553113867,3.3051270965716,16075.5934419244,high,h026.png,16076.676715556,NaN,NaN,16080.6946271653,0.315308486417052,mg066t2aaunaff_M.mp4,mg066t2aaunaff_M.mp4,16081.1461536987,16087.6326665909,NaN,16087.7099457937,0,0,3
1,4,1,16069.4643632452,048-aa048,aa048t2aaunaff_L.mp4,high,low,2,0,0,0,high,h047.png,0,0,0,0,0,low,aa048t2aaunaff_L.mp4,0,0,0,0,0,0,3
1,4,1,16069.4643632452,120-kz120,kz120t2aaunaff_L.mp4,high,low,2,0,0,0,high,h051.png,0,0,0,0,0,low,kz120t2aaunaff_L.mp4,0,0,0,0,0,0,3
1,4,1,16069.4643632452,066-mg066,mg066t1aaaff_H.mp4,high,high,6,0,0,0,high,h048.png,0,0,0,0,0,high,mg066t1aaaff_H.mp4,0,0,0,0,0,0,3
1,4,1,16069.4643632452,109-ib109,ib109t1afaff_M.mp4,low,med,3,0,0,0,low,l024.png,0,0,0,0,0,med,ib109t1afaff_M.mp4,0,0,0,0,0,0,3
1,4,1,16069.4643632452,052-dr052,dr052t1aiaff_H.mp4,low,high,5,0,0,0,low,l003.png,0,0,0,0,0,high,dr052t1aiaff_H.mp4,0,0,0,0,0,0,3
1,4,1,16069.4643632452,123-jh123,jh123t2aaaff_M.mp4,high,med,4,0,0,0,high,h018.png,0,0,0,0,0,med,jh123t2aaaff_M.mp4,0,0,0,0,0,0,3
1,4,1,16069.4643632452,106-nm106,nm106t1aaunaff_L.mp4,low,low,1,0,0,0,low,l001.png,0,0,0,0,0,low,nm106t1aaunaff_L.mp4,0,0,0,0,0,0,3
1,4,1,16069.4643632452,097-gf097,gf097t2aiunaff_L.mp4,low,low,1,0,0,0,low,l050.png,0,0,0,0,0,low,gf097t2aiunaff_L.mp4,0,0,0,0,0,0,3
1,4,1,16069.4643632452,123-jh123,jh123t1aeaff_H.mp4,low,high,5,0,0,0,low,l029.png,0,0,0,0,0,high,jh123t1aeaff_H.mp4,0,0,0,0,0,0,3
1,4,1,16069.4643632452,066-mg066,mg066t2aeunaff_L.mp4,low,low,1,0,0,0,low,l056.png,0,0,0,0,0,low,mg066t2aeunaff_L.mp4,0,0,0,0,0,0,3
1,4,1,16069.4643632452,109-ib109,ib109t1aiunaff_L.mp4,high,low,2,0,0,0,high,h013.png,0,0,0,0,0,low,ib109t1aiunaff_L.mp4,0,0,0,0,0,0,3
1,4,1,16069.4643632452,047-jl047,jl047t1aiunaff_M.mp4,low,med,3,0,0,0,low,l009.png,0,0,0,0,0,med,jl047t1aiunaff_M.mp4,0,0,0,0,0,0,3
1,4,1,16069.4643632452,097-gf097,gf097t2aaunaff_H.mp4,low,high,5,0,0,0,low,l045.png,0,0,0,0,0,high,gf097t2aaunaff_H.mp4,0,0,0,0,0,0,3
1,4,1,16069.4643632452,096-bg096,bg096t1aeaff_H.mp4,high,high,6,0,0,0,high,h035.png,0,0,0,0,0,high,bg096t1aeaff_H.mp4,0,0,0,0,0,0,3
1,4,1,16069.4643632452,107-hs107,hs107t2aeunaff_L.mp4,low,low,1,0,0,0,low,l041.png,0,0,0,0,0,low,hs107t2aeunaff_L.mp4,0,0,0,0,0,0,3
1,4,1,16069.4643632452,048-aa048,aa048t2afunaff_M.mp4,low,med,3,0,0,0,low,l008.png,0,0,0,0,0,med,aa048t2afunaff_M.mp4,0,0,0,0,0,0,3
1,4,1,16069.4643632452,097-gf097,gf097t1aiaff_M.mp4,high,med,4,0,0,0,high,h020.png,0,0,0,0,0,med,gf097t1aiaff_M.mp4,0,0,0,0,0,0,3
1,4,1,16069.4643632452,107-hs107,hs107t2aaaff_M.mp4,high,med,4,0,0,0,high,h007.png,0,0,0,0,0,med,hs107t2aaaff_M.mp4,0,0,0,0,0,0,3
1,4,1,16069.4643632452,106-nm106,nm106t2aaunaff_M.mp4,low,med,3,0,0,0,low,l013.png,0,0,0,0,0,med,nm106t2aaunaff_M.mp4,0,0,0,0,0,0,3
1,4,1,16069.4643632452,052-dr052,dr052t1aeunaff_L.mp4,high,low,2,0,0,0,high,h053.png,0,0,0,0,0,low,dr052t1aeunaff_L.mp4,0,0,0,0,0,0,3
1,4,1,16069.4643632452,049-bm049,bm049t1afaff_L.mp4,high,low,2,0,0,0,high,h049.png,0,0,0,0,0,low,bm049t1afaff_L.mp4,0,0,0,0,0,0,3
1,4,1,16069.4643632452,109-ib109,ib109t1aiaff_H.mp4,high,high,6,0,0,0,high,h045.png,0,0,0,0,0,high,ib109t1aiaff_H.mp4,0,0,0,0,0,0,3
1,4,1,16069.4643632452,096-bg096,bg096t2aaaff_M.mp4,low,med,3,0,0,0,low,l012.png,0,0,0,0,0,med,bg096t2aaaff_M.mp4,0,0,0,0,0,0,3
1,4,1,16069.4643632452,047-jl047,jl047t1aaunaff_L.mp4,high,low,2,0,0,0,high,h008.png,0,0,0,0,0,low,jl047t1aaunaff_L.mp4,0,0,0,0,0,0,3
1,4,1,16069.4643632452,049-bm049,bm049t2aeaff_M.mp4,high,med,4,0,0,0,high,h005.png,0,0,0,0,0,med,bm049t2aeaff_M.mp4,0,0,0,0,0,0,3
1,4,1,16069.4643632452,049-bm049,bm049t2aeunaff_H.mp4,high,high,6,0,0,0,high,h006.png,0,0,0,0,0,high,bm049t2aeunaff_H.mp4,0,0,0,0,0,0,3
1,4,1,16069.4643632452,120-kz120,kz120t2aaaff_H.mp4,low,high,5,0,0,0,low,l038.png,0,0,0,0,0,high,kz120t2aaaff_H.mp4,0,0,0,0,0,0,3
1,4,1,16069.4643632452,048-aa048,aa048t2aeaff_H.mp4,low,high,5,0,0,0,low,l036.png,0,0,0,0,0,high,aa048t2aeaff_H.mp4,0,0,0,0,0,0,3
1,4,1,16069.4643632452,106-nm106,nm106t1afaff_H.mp4,high,high,6,0,0,0,high,h055.png,0,0,0,0,0,high,nm106t1afaff_H.mp4,0,0,0,0,0,0,3
1,4,1,16069.4643632452,047-jl047,jl047t1aiaff_H.mp4,low,high,5,0,0,0,low,l033.png,0,0,0,0,0,high,jl047t1aiaff_H.mp4,0,0,0,0,0,0,3
1,4,1,16069.4643632452,120-kz120,kz120t2aeaff_M.mp4,high,med,4,0,0,0,high,h010.png,0,0,0,0,0,med,kz120t2aeaff_M.mp4,0,0,0,0,0,0,3
