p1_fixationPresent,p1_jitter,p2_cue,p3_ratingPresent,p3_ratingDecideOnset,p3_decisionRT,p4_fixationPresent,p4_jitter,p5_responseOnset,p5_responseKey,p5_RT,p6_ratingPresent,p6_ratingDecideOnset,p6_decisionRT
40659.992574422,4.00837672399939,0,0,0,0,0,0,0,0,0,40677.444708937,40679.482926709,1.90101770299952
40681.583455967,4.01736051100306,0,0,0,0,0,0,0,0,0,40698.723152692,40700.516103483,1.76718374800112
40702.749839412,4.01743585400254,0,0,0,0,0,0,0,0,0,40719.936952427,40721.765374549,1.79879896999773
40723.981744809,4.018361137998,0,0,0,0,0,0,0,0,0,40741.154323596,40743.148707772,1.96660805099964
40745.202229896,4.01445307199901,0,0,0,0,0,0,0,0,0,40762.398883216,40764.964214016,2.53165935000288
40766.449317387,4.01570966700092,0,0,0,0,0,0,0,0,0,40783.566640238,40785.981413046,2.3658621709983
40787.616140739,4.01655630699679,0,0,0,0,0,0,0,0,0,40804.729031434,40806.648181708,1.88145593000081
40808.781326695,4.0170430339931,0,0,0,0,0,0,0,0,0,40825.920351748,40828.08107057,2.13347129899921
40829.964283448,4.01781420900079,0,0,0,0,0,0,0,0,0,40847.084741355,40849.879919063,2.76365488100419
40851.130973526,4.01650438900106,0,0,0,0,0,0,0,0,0,40868.238485569,40870.24700814,1.98259066400351
40872.280511697,4.01734514200507,0,0,0,0,0,0,0,0,0,40889.428418339,40891.363201462,1.89670399299939
40893.479088741,4.01815260400326,0,0,0,0,0,0,0,0,0,40910.597402317,40912.395671117,1.76513759099907
40914.646592142,4.01753796299454,0,0,0,0,0,0,0,0,0,40931.743452824,40933.496185806,1.71681625700148
40935.779683111,4.01751785099623,0,0,0,0,0,0,0,0,0,40952.898167428,40954.595779139,1.66582218499389
40956.946167051,4.01733780799987,0,0,0,0,0,0,0,0,0,40974.069057496,40975.862245377,1.76551060099882
40978.112383418,4.01749950099475,0,0,0,0,0,0,0,0,0,40995.232279112,40997.195214093,1.93191826099792
40999.278773853,4.01753226299479,0,0,0,0,0,0,0,0,0,41016.406141036,41018.011536613,1.57886276000499
41020.444418395,4.01807327299321,0,0,0,0,0,0,0,0,0,41037.623732714,41039.594835121,1.93018173600285
41041.677941845,4.01789581900084,0,0,0,0,0,0,0,0,0,41058.941148446,41062.161168593,3.18280579199927
41062.994190739,4.01717959399684,0,0,0,0,0,0,0,0,0,41080.117630223,41082.060983032,1.91407410999818
41084.161031902,4.01666435400693,0,0,0,0,0,0,0,0,0,41101.30048327,41103.111430008,1.76851523500227
41105.344034549,4.01754079700186,0,0,0,0,0,0,0,0,0,41122.479140134,41123.943398884,1.43261977899965
41126.527280105,4.01728618500056,0,0,0,0,0,0,0,0,0,41143.691154273,41145.293219504,1.56474193000031
41147.744526442,4.01641048199963,0,0,0,0,0,0,0,0,0,41164.9185249,41166.992231796,2.04538063899963
41168.961005008,4.0156451599978,0,0,0,0,0,0,0,0,0,41186.066950952,41187.692283286,1.59980553499918
41190.109257206,4.01747890900151,0,0,0,0,0,0,0,0,0,41207.285782889,41209.276041471,1.9488473129968
41211.342637362,4.01752810699691,0,0,0,0,0,0,0,0,0,41228.450357436,41230.075204038,1.58224706900364
41232.508924265,4.0173908450015,0,0,0,0,0,0,0,0,0,41249.624161732,41251.592004751,1.93204426300508
41253.674463861,4.01789982499758,0,0,0,0,0,0,0,0,0,41270.773754925,41272.441783275,1.63350550999894
41274.824277436,4.0181872730027,0,0,0,0,0,0,0,0,0,41291.958916801,41293.657992477,1.6666665820012
41296.008456202,4.01716851699894,0,0,0,0,0,0,0,0,0,41313.124786848,41314.823830389,1.66572929299582
41317.17443823,4.0175956729945,0,0,0,0,0,0,0,0,0,41334.277595257,41335.990857049,1.68096654600231
41338.32420169,4.01728447900678,0,0,0,0,0,0,0,0,0,41355.455924226,41357.374796481,1.88176212699909
41359.507441443,4.01842031400156,0,0,0,0,0,0,0,0,0,41376.648659257,41378.20804983,1.53250122699683
41380.69048994,4.0169336580002,0,0,0,0,0,0,0,0,0,41397.809267348,41399.707604405,1.86596875400573
41401.856604549,4.01764962900052,0,0,0,0,0,0,0,0,0,41418.978126766,41420.773147763,1.76384532499651
