ptb_coord_x,ptb_coord_y
464.734375,615
457.515625,615
473.4609375,533.296875
471.6484375,615
464.921875,561.87890625
471.60546875,615
465.796875,590.546875
454.890625,615
461.4609375,615
456.93359375,554.26953125
461.95703125,615
477.359375,615
459.45703125,615
515.78515625,458.02734375
473.86328125,603.2578125
471.41796875,615
451.9921875,615
502.3359375,516.00390625
546.625,463.7890625
460.67578125,611.0390625
452.3359375,615
453.73828125,610.72265625
455.31640625,602.51953125
540.7734375,428.91015625
467.92578125,602.36328125
534.703125,432.43359375
478.21484375,509.42578125
453.91015625,615
465.71875,599.4453125
474.65625,615
499.55859375,522.9609375
453.91796875,614.453125
450.65234375,615
466.3125,600.61328125
544.0703125,467.51953125
457.4296875,612.7890625
