,Unnamed: 0,video_subject,administer,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,image_glob,video_filename,cB_version,ptb_coord_x,ptb_coord_y,p1_fixationPresent,p1_jitter,p2_cue,p3_ratingPresent,p3_ratingDecideOnset,p3_decisionRT,p4_fixationPresent,p4_jitter,p5_responseOnset,p5_responseKey,p5_RT,p6_ratingPresent,p6_ratingDecideOnset,p6_decisionRT
0,0,109-ib109,low,high,h007_M100_STD036.png,4,2,vicarious,99,ib109*L.mp4,ib109t1aiunaff_L.mp4,1,464.734375,615.0,39754.485668402995,4.018296898000701,0,0,0,0,0,0,0,0,0,39762.549341707,39763.939644362,1.28342565299681
1,1,052-dr052,low,low,h020_M086_STD033.png,9,1,vicarious,99,dr052*L.mp4,dr052t1aeunaff_L.mp4,1,457.515625,615.0,39766.674583652,4.0184496920046495,0,0,0,0,0,0,0,0,0,39774.732183076,39776.173705324,1.4172060199998702
2,2,124-dn124,high,high,h015_M113_STD037.png,34,6,vicarious,99,dn124*H.mp4,dn124t1aiaff_H.mp4,1,473.4609375,533.296875,39778.757377981005,4.01763894600299,0,0,0,0,0,0,0,0,0,39786.809564928,39788.306147096,1.4844913909983
3,3,107-hs107,low,low,h034_M088_STD038.png,7,1,vicarious,99,hs107*L.mp4,hs107t2aeunaff_L.mp4,1,471.6484375,615.0,39790.823733345,4.0176479299989305,0,0,0,0,0,0,0,0,0,39798.882027414,39800.272369157996,1.36668028600252
4,4,066-mg066,high,low,h054_M080_STD041.png,31,5,vicarious,99,mg066*H.mp4,mg066t1aaaff_H.mp4,1,464.921875,561.87890625,39802.910015935,4.0150053030010895,0,0,0,0,0,0,0,0,0,39810.964985271,39812.507364551,1.51823299300304
5,5,066-mg066,low,high,h016_M099_STD043.png,10,2,vicarious,99,mg066*L.mp4,mg066t2aeunaff_L.mp4,1,471.60546875,615.0,39814.991294112995,4.0163172370012,0,0,0,0,0,0,0,0,0,39823.048383132,39825.056272334,1.98417809099919
6,6,043-jh043,med,high,h044_M077_STD044.png,20,4,vicarious,99,jh043*M.mp4,jh043t2aeunaff_M.mp4,1,465.796875,590.546875,39827.072842359,4.01812891000009,0,0,0,0,0,0,0,0,0,39835.131556044,39836.505524665,1.3499490850008402
7,7,108-th108,med,high,h009_M103_STD035.png,12,4,vicarious,99,th108*M.mp4,th108t2aaunaff_M.mp4,1,454.890625,615.0,39839.155940774,4.01893006900355,0,0,0,0,0,0,0,0,0,39847.214912792995,39848.405082537,1.16660554600094
8,8,108-th108,low,low,h002_M104_STD057.png,3,1,vicarious,99,th108*L.mp4,th108t1aaunaff_L.mp4,1,461.4609375,615.0,39851.239458685,4.01746102899779,0,0,0,0,0,0,0,0,0,39859.297915111,39860.489045914,1.1672124180040602
9,9,109-ib109,high,low,h019_M102_STD031.png,33,5,vicarious,99,ib109*H.mp4,ib109t1aiaff_H.mp4,1,456.93359375,554.26953125,39863.322776023,4.01718465299928,0,0,0,0,0,0,0,0,0,39871.378383084,39873.389750131,1.9847822219962798
