p1_fixationPresent,p1_jitter,p2_cue,p3_ratingPresent,p3_ratingDecideOnset,p3_decisionRT,p4_fixationPresent,p4_jitter,p5_responseOnset,p5_responseKey,p5_RT,p6_ratingPresent,p6_ratingDecideOnset,p6_decisionRT
59272.907035536,2.00379831199825,0,0,0,0,0,0,59279.537341475,1,4.46557335399848,59280.573349916,NaN,NaN
59284.722259107,2.00133078599902,0,0,0,0,0,0,59291.769571382,2,4.99965109299956,59292.271590386,59294.171109622,1.8669264390046
59296.320820729,2.00133773100242,0,0,0,0,0,0,59303.369349181,1,4.99940150999464,59303.870554838,59305.621305488,1.71771649400034
59307.920512837,2.00186948000191,0,0,0,0,0,0,59314.968988441,1,4.99943177700334,59315.47138368,59317.853572934,2.35051724300138
59319.520531755,2.00067055699765,0,0,0,0,0,0,59326.56897903,1,4.9995525550039,59327.07075604,59329.370562266,2.26787590599997
59331.119865956,2.00113487799536,0,0,0,0,0,0,59338.153016294,2,4.99964600200474,59338.654742931,59340.336946937,1.65046438499849
59342.703430812,2.0011375239992,0,0,0,0,0,0,59349.736133617,2,4.99991620799847,59350.236995604,59351.769786467,1.50074345199391
59354.286564776,2.00113420699927,0,0,0,0,0,0,59361.319423131,2,4.99998530499579,59361.820342749,59363.770080638,1.91766801899939
59365.869985421,2.00059119800426,0,0,0,0,0,0,59372.902629899,1,4.99994905399944,59373.404438527,59375.285596375,1.84973637599614
59377.453126124,2.00113961400348,0,0,0,0,0,0,59384.485633162,2,4.99961992200406,59384.987434663,59386.818968203,1.79962623200117
59389.052907811,2.00091120500292,0,0,0,0,0,0,59396.085639605,2,4.99997637900378,59396.586692099,59398.419470965,1.80096698799753
59400.635990362,2.00112302899652,0,0,0,0,0,0,59407.66843771,2,5.00001267300104,59408.170219923,59410.068874115,1.8672908640001
59412.219320232,2.00124916700588,0,0,0,0,0,0,59419.251467209,1,4.99938331699377,59419.753142637,59421.635976653,1.85117201599496
59423.803367956,2.00117505399976,0,0,0,0,0,0,59430.834777229,1,4.99965300299664,59431.335681943,59433.35222289,1.98378039700037
59435.385464587,2.00079819899838,0,0,0,0,0,0,59442.418295705,2,4.99986383000214,59442.91944366,59444.502369401,1.55044418800389
59446.985386022,2.00113752199832,0,0,0,0,0,0,59454.018013671,1,4.99964261999412,59454.519776116,59456.335368128,1.78233107999404
59458.584956533,2.00116927800264,0,0,0,0,0,0,59465.617965421,1,4.99957117899612,59466.118922136,59467.785708,1.63445215100364
59470.169485938,2.00112601400178,0,0,0,0,0,0,59477.200680061,1,4.99950710100529,59477.702474149,59479.853015813,2.11896314499609
59481.751403651,2.00114520100033,0,0,0,0,0,0,59488.783723426,2,4.99940586499724,59489.285329367,59491.418030536,2.10038120600075
59493.334634649,2.0011233969999,0,0,0,0,0,0,59500.367878197,1,4.99990719500056,59500.86960218,59502.98403761,2.08320933500363
59504.917930517,2.00043840700528,0,0,0,0,0,0,59511.950275364,1,5.00001375399734,59512.452064364,59514.451112365,1.96658752799704
59516.501132597,2.00049624600069,0,0,0,0,0,0,59523.533635284,1,4.99942570600251,59524.035409075,59526.001471715,1.93419463500322
59528.084145858,2.00114770999789,0,0,0,0,0,0,59535.117116756,2,4.99976166100532,59535.618928397,59537.184276178,1.53437775399652
59539.66851008,2.00112101099512,0,0,0,0,0,0,59546.69940498,1,4.99942412599921,59547.201170476,59549.100056443,1.86690702600026
59551.25058155,2.00118349300465,0,0,0,0,0,0,59558.28341456,2,4.99982689999888,59558.785177822,59561.617236861,2.80062448399985
59562.83400761,2.00112358899787,0,0,0,0,0,0,59569.866343894,1,4.99998804999632,59570.368115386,59572.96726732,2.56690304599761
59574.433678053,2.00112289500248,0,0,0,0,0,0,59581.465971249,2,4.99935290199937,59581.967767871,59584.016667952,2.01691628900153
59586.017920826,2.00028009599919,0,0,0,0,0,0,59593.04987082,1,5.00001103700197,59593.551592368,59594.866661492,1.28399049499421
59597.600017111,2.00113912799861,0,0,0,0,0,0,59604.631804028,2,4.99940100100503,59605.132630407,59607.483446905,2.33511606699903
59609.166416563,2.0005734189981,0,0,0,0,0,0,59616.198607647,2,4.99966174199653,59616.70041424,59619.983164736,3.24858507300087
59620.766344594,2.00112305000221,0,0,0,0,0,0,59627.799100258,1,4.99934868800483,59628.300866494,59630.865808903,2.53336831500201
59632.349348069,2.00115549299517,0,0,0,0,0,0,59639.382354857,2,4.99947004600108,59639.884072627,59641.216201511,1.30075169699558
59643.949334166,2.00117941400094,0,0,0,0,0,0,59650.982582039,2,4.99979434499983,59651.484293031,59653.432262256,1.91638979900017
59655.532216807,2.00018600800104,0,0,0,0,0,0,59662.565283094,1,4.99959472800401,59663.067043622,NaN,NaN
59667.116186597,2.00115636699775,0,0,0,0,0,0,59674.14758485,1,4.99944763299573,59674.649087864,59676.631987758,1.94968571800564
59678.715946021,2.0005971809951,0,0,0,0,0,0,59685.748487002,1,4.99954915700073,59686.250244286,59687.965090194,1.68340665400319
