p1_fixationPresent,p1_jitter,p2_cue,p3_ratingPresent,p3_ratingDecideOnset,p3_decisionRT,p4_fixationPresent,p4_jitter,p5_responseOnset,p5_responseKey,p5_RT,p6_ratingPresent,p6_ratingDecideOnset,p6_decisionRT
60874.314608361,4.02049181600159,0,0,0,0,0,0,0,0,0,60882.37580281,60883.76734651,1.26645307499712
60886.51849645,4.01693062500271,0,0,0,0,0,0,0,0,0,60894.577139817,60895.967445755,1.36692485099775
60898.601248262,4.01766092899925,0,0,0,0,0,0,0,0,0,60906.659866512,60908.051537486,1.36750268899777
60910.684959083,4.01614579499437,0,0,0,0,0,0,0,0,0,60918.74413122,60920.483925164,1.71756251899933
60922.772474186,4.01335970000218,0,0,0,0,0,0,0,0,0,60930.826226705,60932.333628164,1.48392909700488
60934.851911518,4.01632171499659,0,0,0,0,0,0,0,0,0,60942.909188592,60945.05029364,2.11683481100044
60946.933775449,4.0174541850065,0,0,0,0,0,0,0,0,0,60954.994192939,60957.366210703,2.3503850920024
60959.017247327,4.01731371400092,0,0,0,0,0,0,0,0,0,60967.076951493,60968.715186879,1.61492871700466
60971.11682552,4.01702593499795,0,0,0,0,0,0,0,0,0,60979.176096316,60980.43270306,1.23389288500039
60983.200114119,4.01707815100235,0,0,0,0,0,0,0,0,0,60991.259827374,60993.166438089,1.88433848699788
60995.283144636,4.01858543200069,0,0,0,0,0,0,0,0,0,61003.341543659,61005.683058983,2.31751385499956
61007.366170161,4.01763038999343,0,0,0,0,0,0,0,0,0,61015.4254021,61016.865947868,1.41747464799846
61019.449428367,4.01676627000415,0,0,0,0,0,0,0,0,0,61027.509043636,61028.999144494,1.46662777799793
61031.533807934,4.01542712700029,0,0,0,0,0,0,0,0,0,61039.58995748,61040.665703176,1.04995947700081
61043.632480918,4.01704433200211,0,0,0,0,0,0,0,0,0,61051.692204966,61053.598845223,1.88329843400425
61055.716691357,4.01625594199868,0,0,0,0,0,0,0,0,0,61063.773848968,61067.681819493,3.88383555000473
61067.798771904,4.01723029899586,0,0,0,0,0,0,0,0,0,61075.858141083,61077.581896656,1.70030339399818
61079.899755736,4.01645793900389,0,0,0,0,0,0,0,0,0,61087.958669538,61089.747424829,1.76606254599756
61091.981627156,4.01741301600123,0,0,0,0,0,0,0,0,0,61100.041339301,NaN,NaN
61104.065177484,4.01740750599856,0,0,0,0,0,0,0,0,0,61112.125295344,61113.814434555,1.66693033999763
61116.148395023,4.01641490399925,0,0,0,0,0,0,0,0,0,61124.206956487,61127.764582735,3.53382189299737
61128.231603422,4.01836118099891,0,0,0,0,0,0,0,0,0,61136.289970558,61138.264310334,1.9505326139988
61140.314544845,4.0169293910003,0,0,0,0,0,0,0,0,0,61148.373151365,61151.014331026,2.61755532099778
61152.397909316,4.01701219099778,0,0,0,0,0,0,0,0,0,61160.45621246,61162.448532789,1.9675675690014
61164.497964867,4.01733726200473,0,0,0,0,0,0,0,0,0,61172.556189064,61174.163831022,1.58314696900197
61176.59756159,4.01684861499962,0,0,0,0,0,0,0,0,0,61184.639851834,61187.363306626,2.6998776679975
61188.66389373,4.0185565110005,0,0,0,0,0,0,0,0,0,61196.722542061,61198.730330869,1.98428791000333
61200.747017206,4.01733904499997,0,0,0,0,0,0,0,0,0,61208.80674952,61210.498144784,1.6691439990027
61212.830266965,4.01762017599685,0,0,0,0,0,0,0,0,0,61220.889861918,61223.030109162,2.11676131100103
61224.93117851,4.01564966399746,0,0,0,0,0,0,0,0,0,61232.989642275,61234.646452654,1.63420939099888
61237.013450123,4.01696403000096,0,0,0,0,0,0,0,0,0,61245.073216806,61248.113055779,3.01736450399767
61249.096620812,4.01726050800062,0,0,0,0,0,0,0,0,0,61257.155276784,61259.095322713,1.91586011600157
61261.196082415,4.01835701699747,0,0,0,0,0,0,0,0,0,61269.254687392,61271.945705108,2.66729016200406
61273.279622912,4.01632227699884,0,0,0,0,0,0,0,0,0,61281.340547869,61283.845111499,2.48363021700061
61285.362479097,4.01859360199887,0,0,0,0,0,0,0,0,0,61293.422164663,61294.862026768,1.41762137899786
61297.445227889,4.01756618299987,0,0,0,0,0,0,0,0,0,61305.506330184,61307.995318515,2.46742089399777
