param_fmriSession,param_counterbalanceVer,param_counterbalanceBlockNum,param_cue_type,param_administer_type,param_cond_type,param_triggerOnset,p1_fixation_onset,p1_fixation_duration,p2_cue_onset,p2_cue_type,p2_cue_filename,p3_expect_onset,p3_expect_responseonset,p3_expect_RT,p4_fixation_onset,p4_fixation_duration,p5_administer_type,p5_administer_filename,p5_administer_onset,p6_actual_onset,p6_actual_responseonset,p6_actual_RT,param_end_instruct_onset,param_experimentDuration,param_runNum,param_cogStimNum,param_cogStimMatch,param_cogStimFilename
4,5,1,low,50,1,22041.8072498748,22044.5761632199,2.80127654311582,22047.3926366535,low,l038.png,22048.4006204488,NaN,22048.4259703829,22052.459001395,0.500260050564975,50,43_50_R.jpg,22053.0256540015,22059.5508500116,3.54983276291387,22059.5752529079,0,0,5,43,different,43_50_R.jpg
4,5,1,high,150,6,22041.8072498748,22063.675028881,1.30046074586789,22064.9916195128,high,h039.png,22065.9991404559,3.66651445292518,22066.0082133311,22070.2246618128,0.300234450569405,150,45_150.jpg,22070.5579583303,22077.0792427803,2.1665757524861,22077.1075999034,0,0,5,45,same,45_150.jpg
4,5,1,high,50,2,22041.8072498748,22081.1573751474,2.50044097878344,22083.6738785016,high,h007.png,22084.6813335544,2.26642868754425,22084.7073126866,22088.7569294158,0.100294723972183,50,19_50_R.jpg,22088.8903010592,22095.4219821308,2.21657135079658,22095.4398799825,0,0,5,19,different,19_50_R.jpg
4,5,1,low,150,5,22041.8072498748,22099.4896106695,0.70058809773036,22100.2062522312,low,l023.png,22101.2136049381,NaN,22101.2228533407,22105.255975357,0.100257188118121,150,26_150.jpg,22105.3892983928,22111.9192028573,2.91652944026282,22111.9389261937,0,0,5,26,same,26_150.jpg
4,5,1,low,150,5,22041.8072498748,22115.9886765938,1.30095708328736,22117.3219474574,low,l029.png,22118.3305763833,1.79995090634475,22118.3551936931,22122.4049729877,0.300684070702118,150,14_150_R.jpg,22122.7382959694,22129.2728867449,2.58318242479436,22129.2879310615,0,0,5,14,different,14_150_R.jpg
4,5,1,low,50,1,22041.8072498748,22133.3377090058,4.00035780581311,22137.3541696934,low,l031.png,22138.3618415901,3.74982568780979,22138.3707162543,22142.6704840721,0.700178443832556,50,30_50.jpg,22143.4037753509,22149.9383993415,3.23319676403116,22149.9533818185,0,0,5,30,same,30_50.jpg
4,5,1,low,150,5,22041.8072498748,22154.0031986489,2.80035272901659,22156.8196623609,low,l006.png,22157.8267979539,2.9664939837312,22157.8363147784,22161.886024132,4.50019767083359,150,43_150.jpg,22166.4191188742,22172.9191339965,NaN,22172.9353843212,0,0,5,43,same,43_150.jpg
4,5,1,high,150,6,22041.8072498748,22176.9685295612,4.00033728261042,22180.984952983,high,h037.png,22181.9923008291,3.19990003040584,22182.0015349194,22186.051320965,0.200187085181824,150,7_150_R.jpg,22186.268008434,22192.7950933887,3.24983540932953,22192.8175808763,0,0,5,7,different,7_150_R.jpg
4,5,1,high,150,6,22041.8072498748,22196.8673898755,2.20034424969708,22199.0839096482,high,h048.png,22200.0913017813,3.34986063126053,22200.1004886142,22204.1502892421,0.100188867458201,150,19_150.jpg,22204.2836076871,22210.8081993429,2.51655601240782,22210.8332279269,0,0,5,19,same,19_150.jpg
4,5,1,high,150,6,22041.8072498748,22214.8830128924,3.8003640707866,22218.6994261065,high,h032.png,22219.7068673872,2.89977791735873,22219.7161390134,22223.7658073206,0.200204637920251,150,47_150_R.jpg,22223.9991526078,22230.5312676371,3.09985563547889,22230.5487674467,0,0,5,47,different,47_150_R.jpg
4,5,1,low,50,1,22041.8072498748,22234.5985591633,4.00034187332494,22238.6149788044,low,l053.png,22239.622445199,2.88313117080179,22239.6483128038,22243.6980164866,5.5001998311709,50,47_50.jpg,22249.2310078026,22255.7553512897,2.36653519215906,22255.7806469453,0,0,5,47,same,47_50.jpg
4,5,1,high,100,4,22041.8072498748,22259.8304338011,0.200463608314749,22260.0470742826,high,h050.png,22261.0543165423,2.84987953421296,22261.0636659406,22265.1134271424,0.100217491923104,100,25_100.jpg,22265.2467650304,22271.7702503236,2.78318426108308,22271.7797193506,0,0,5,25,same,25_100.jpg
4,5,1,low,150,5,22041.8072498748,22275.8294540882,0.700296182199963,22276.5461388567,low,l027.png,22277.5531145848,3.31653878372163,22277.5627043206,22281.6125068388,0.100186167037464,150,38_150_R.jpg,22281.7458163724,22288.2800560932,3.54984113421961,22288.2954309413,0,0,5,38,different,38_150_R.jpg
4,5,1,high,50,2,22041.8072498748,22292.3952039439,2.80035596952439,22295.2117011411,high,h013.png,22296.2191791476,2.43324801802737,22296.2282941493,22300.2781028785,0.300187463239126,50,25_50.jpg,22300.6113958855,22307.1387090258,3.36654194321454,22307.1610663531,0,0,5,25,same,25_50.jpg
4,5,1,low,100,3,22041.8072498748,22311.2107792173,0.900357967835589,22312.127426396,low,l013.png,22313.1346267991,3.59978542452882,22313.144076113,22317.2937599207,0.100213981379056,100,43_100.jpg,22317.4104283786,22323.9315702463,2.49990386500576,22323.9433864794,0,0,5,43,same,43_100.jpg
4,5,1,high,100,4,22041.8072498748,22327.9931730651,1.30036434083013,22329.3097588362,high,h042.png,22330.3172786991,3.33319093112368,22330.3263545448,22334.3761273583,0.1001961585971,100,47_100_R.jpg,22334.5094533645,22341.0439118194,NaN,22341.059103849,0,0,5,47,different,47_100_R.jpg
4,5,1,low,150,5,22041.8072498748,22345.0921972409,2.20037260411846,22347.308705942,low,l004.png,22348.3158066995,2.74989886922776,22348.3253075915,22352.3751082194,1.70018438475745,150,44_150_R.jpg,22354.0916198909,22361.0579629211,2.89991617892883,22361.0745724018,0,0,5,44,different,44_150_R.jpg
4,5,1,low,150,5,22041.8072498748,22365.1243835613,1.00035861593642,22366.1409487552,low,l030.png,22367.148128095,NaN,22367.1575590461,22371.1906681004,1.5002287256757,150,37_150.jpg,22372.7239248678,22379.2492156627,2.11655855080244,22379.2735845337,0,0,5,37,same,37_150.jpg
4,5,1,low,50,1,22041.8072498748,22383.3233354739,1.80037109188561,22385.1398712871,low,l041.png,22386.146973935,2.48328142223545,22386.1564699662,22390.2062619527,0.800188273366075,50,7_50.jpg,22391.0395379471,22397.5708925378,3.61643838205782,22397.5892289379,0,0,5,7,same,7_50.jpg
4,5,1,high,50,2,22041.8072498748,22401.7556507664,2.80039080495771,22404.5720982759,high,h016.png,22405.579971894,NaN,22405.6054598196,22409.6384586968,1.00020469192896,50,37_50_R.jpg,22410.6717573207,22417.2037475905,3.19984224139262,22417.2213948432,0,0,5,37,different,37_50_R.jpg
4,5,1,high,100,4,22041.8072498748,22421.2710971757,1.20034262944318,22422.4877427881,high,h031.png,22423.4949791068,2.41656184531894,22423.5043133828,22427.5540983483,0.100185896997573,100,19_100_R.jpg,22427.6874329958,22434.2196611727,2.01660002927019,22434.2370535056,0,0,5,19,different,19_100_R.jpg
4,5,1,low,100,3,22041.8072498748,22438.286844412,0.200387996519567,22438.5034676109,low,l043.png,22439.5108837777,2.19989435952084,22439.5200776317,22443.5698607069,4.6001788759022,100,14_100.jpg,22448.1862718147,22454.7091913697,2.99983743464327,22454.7192307256,0,0,5,14,same,14_100.jpg
4,5,1,high,100,4,22041.8072498748,22458.768977075,0.400361478383275,22459.1856407262,high,h018.png,22460.1928632728,2.19992595445365,22460.202192418,22464.2520114087,0.100186977164412,100,38_100_R.jpg,22464.385318512,22470.9127504708,3.03326864924384,22470.9349382117,0,0,5,38,different,38_100_R.jpg
4,5,1,low,50,1,22041.8072498748,22474.9847142657,1.30037001171513,22476.3012778933,low,l018.png,22477.3086362711,2.23321755727375,22477.3179149184,22481.3677101454,0.500345113832736,50,14_50_R.jpg,22481.900961782,22488.4220920379,2.08323778342674,22488.433933925,0,0,5,14,different,14_50_R.jpg
4,5,1,low,100,3,22041.8072498748,22492.4837164601,2.80036002015549,22495.3002417417,low,l010.png,22496.3075609634,2.29979779246059,22496.3169017203,22500.3665802892,0.100199939188315,100,26_100.jpg,22500.4832344349,22507.0134729415,3.41653754152503,22507.0328592654,0,0,5,26,same,26_100.jpg
4,5,1,high,50,2,22041.8072498748,22511.0826496317,2.40039226318186,22513.4991372154,high,h021.png,22514.5069922006,2.79989743800252,22514.5157664092,22518.5655854,0.900370659815962,50,45_50.jpg,22519.4822050343,22526.0017841683,2.58326613785175,22526.0150753715,0,0,5,45,same,45_50.jpg
4,5,1,high,150,6,22041.8072498748,22530.064911915,1.40034959652985,22531.4814640388,high,h003.png,22532.4894046273,2.54974580935232,22532.5148974137,22536.5645173834,4.30038540411624,150,30_150_R.jpg,22540.8809765047,22547.3809929773,3.51651604617291,22547.3972065763,0,0,5,30,different,30_150_R.jpg
4,5,1,high,100,4,22041.8072498748,22551.4636885161,0.900351486823638,22552.3803138214,high,h022.png,22553.3876762497,2.04991809622152,22553.396864703,22557.4466974659,0.500898970221897,100,44_100.jpg,22557.9632996555,22564.4927026518,2.54990162365357,22564.5129012623,0,0,5,44,same,44_100.jpg
4,5,1,high,50,2,22041.8072498748,22568.5626711054,2.10034063113198,22570.6792455887,high,h012.png,22571.6865712914,2.98320932098795,22571.695813753,22575.7456038493,0.700185734971456,50,38_50.jpg,22576.4789005289,22583.0092521832,2.28321585600861,22583.0285404817,0,0,5,38,same,38_50.jpg
