param_fmriSession,param_counterbalanceVer,param_counterbalanceBlockNum,param_cue_type,param_administer_type,param_cond_type,param_triggerOnset,p1_fixation_onset,p1_fixation_duration,p2_cue_onset,p2_cue_type,p2_cue_filename,p3_expect_onset,p3_expect_responseonset,p3_expect_RT,p4_fixation_onset,p4_fixation_duration,p5_administer_type,p5_administer_filename,p5_administer_onset,p6_actual_onset,p6_actual_responseonset,p6_actual_RT,param_end_instruct_onset,param_experimentDuration,param_runNum,param_cogStimNum,param_cogStimMatch,param_cogStimFilename
2,1,1,low,100,3,3275.25697849412,3278.01865315448,1.60160912655692,3279.63678156326,low,l019.png,3280.64470729737,2.30330852817087,3280.66819771507,3284.68816759458,0.300237339956311,100,7_100_R.jpg,3285.02953638911,3291.53587711143,2.88774919142679,3291.54978346678,3948.11836240021,672.861383906088,6,7,different,7_100_R.jpg
2,1,1,low,100,3,3275.25697849412,3295.57902848052,1.90036123524806,3297.49047791232,low,l013.png,3298.49875065046,1.79634562897763,3298.50748192001,3302.5272808629,0.500224269921091,100,43_100.jpg,3303.04713772982,3309.55099487541,2.85447326003168,3309.56513346693,3948.11836240021,672.861383906088,6,43,same,43_100.jpg
2,1,1,high,100,4,3275.25697849412,3313.59279090347,0.400415378678645,3314.00996428154,high,h042.png,3315.01765669932,1.60919865832329,3315.02689159729,3319.04662437988,5.40024093151533,100,47_100_R.jpg,3324.46642877762,3330.96952467469,2.8390738421881,3330.97941361449,3948.11836240021,672.861383906088,6,47,different,47_100_R.jpg
2,1,1,high,100,4,3275.25697849412,3335.00783499999,1.60038016519547,3336.62417600045,high,h050.png,3337.63208256158,2.14427131448656,3337.6406158903,3341.66036136487,0.100737835888594,100,25_100.jpg,3341.77960410215,3348.28295707925,1.95824447824771,3348.29303828899,3948.11836240021,672.861383906088,6,25,same,25_100.jpg
2,1,1,low,50,1,3275.25697849412,3352.32291250071,2.90081220546836,3355.24158852775,low,l031.png,3356.25051719803,1.35713222905906,3356.26004671187,3360.28178266638,4.80065604015181,50,30_50.jpg,3365.11175366116,3371.61545445241,2.62354869276669,3371.62589211766,3948.11836240021,672.861383906088,6,30,same,30_50.jpg
2,1,1,low,150,5,3275.25697849412,3375.65689213467,2.70085606029716,3378.37316543559,low,l029.png,3379.3807584779,1.15999613299755,3379.38916029615,3383.40862033627,4.60019923702293,150,14_150_R.jpg,3388.026774129,3394.52968315696,3.10952932481086,3394.53865017322,3948.11836240021,672.861383906088,6,14,different,14_150_R.jpg
2,1,1,low,100,3,3275.25697849412,3398.56691115374,0.700283571154614,3399.28382202393,low,l056.png,3400.29110883856,1.86425931381746,3400.30024679143,3404.31975354883,5.3006478038692,100,37_100_R.jpg,3409.6369565505,3416.14072080164,2.49674882876025,3416.15024707497,3948.11836240021,672.861383906088,6,37,different,37_100_R.jpg
2,1,1,high,100,4,3275.25697849412,3420.17757235979,1.60032858716431,3421.79363224648,high,h018.png,3422.80167112821,1.75299631905682,3422.81010508146,3426.82980383876,0.600203557696204,100,38_100_R.jpg,3427.44799678758,3433.95577953443,2.09741415835833,3433.96506736064,3948.11836240021,672.861383906088,6,38,different,38_100_R.jpg
2,1,1,high,50,2,3275.25697849412,3437.99511061867,2.90039418037759,3440.91196251168,high,h012.png,3441.9200462204,2.11626471357886,3441.92924007197,3445.94777062736,0.100175608344216,50,38_50.jpg,3446.06441907069,3452.56809933875,1.98394978082069,3452.57752542648,3948.11836240021,672.861383906088,6,38,same,38_50.jpg
2,1,1,low,150,5,3275.25697849412,3456.60497736102,3.60035883187402,3460.22156869046,low,l027.png,3461.22987140328,1.62298322471815,3461.23809985453,3465.25770247685,0.100212604104854,150,38_150_R.jpg,3465.37514295351,3471.87845893484,2.73914073160358,3471.88784775677,3948.11836240021,672.861383906088,6,38,different,38_150_R.jpg
2,1,1,high,100,4,3275.25697849412,3475.91582330285,0.900341252136514,3476.83267978657,high,h022.png,3477.83988153795,2.46088724475294,3477.84909024184,3481.86870636627,2.00019253998062,100,44_100.jpg,3483.88483111705,3490.39137491099,2.75809390280165,3490.40119931074,3948.11836240021,672.861383906088,6,44,same,44_100.jpg
2,1,1,high,150,6,3275.25697849412,3494.43043433293,0.000279493519883545,3494.44680806248,high,h048.png,3495.45432927361,1.89606486626008,3495.46295441663,3499.48132321684,0.30067561820033,150,19_150.jpg,3499.79945138257,3506.30261533023,2.73017020480256,3506.31160178951,3948.11836240021,672.861383906088,6,19,same,19_150.jpg
2,1,1,high,100,4,3275.25697849412,3510.34029699765,1.6003072538424,3511.95709490925,high,h031.png,3512.96453996852,1.95135597563876,3512.97355694255,3516.99325705006,0.400431041117372,100,19_100_R.jpg,3517.41039289228,3523.91292224112,2.11790494897969,3523.92286410917,3948.11836240021,672.861383906088,6,19,different,19_100_R.jpg
2,1,1,high,150,6,3275.25697849412,3527.95162466748,1.90030587662795,3529.86743473826,high,h039.png,3530.87628185585,1.92188250632489,3530.90176977457,3534.9217763798,0.100212064020525,150,45_150.jpg,3535.03888821528,3541.54181614619,2.05548040885424,3541.55094572776,3948.11836240021,672.861383906088,6,45,same,45_150.jpg
2,1,1,low,100,3,3275.25697849412,3545.57949106255,4.00032540066832,3549.59553939144,low,l048.png,3550.60313324388,1.57719678531157,3550.61220962716,3554.63135101767,0.100184249689391,100,45_100_R.jpg,3554.74765218692,3561.25131517229,NaN,3561.26098456791,3948.11836240021,672.861383906088,6,45,different,45_100_R.jpg
2,1,1,low,100,3,3275.25697849412,3565.28833955735,4.00045745122952,3569.30440165838,low,l010.png,3570.31243540932,1.28364838689004,3570.32116964933,3574.34052626334,0.100201802422362,100,26_100.jpg,3574.45794837714,3580.96072049379,2.15076096499024,3580.97007231996,3948.11836240021,672.861383906088,6,26,same,26_100.jpg
2,1,1,low,50,1,3275.25697849412,3584.99846103037,4.00030163696783,3589.01430439734,low,l040.png,3590.02215478972,1.48921411552965,3590.03106914778,3594.05055052122,2.00020010115759,50,44_50_R.jpg,3596.06712516206,3602.57019486504,3.88978314813403,3602.579776497,3948.11836240021,672.861383906088,6,44,different,44_50_R.jpg
2,1,1,low,50,1,3275.25697849412,3607.00251895223,1.30046687569711,3608.31820998848,low,l053.png,3609.32577467637,1.31810629233087,3609.33429855363,3613.35438995206,0.100182359395149,50,47_50.jpg,3613.47144399855,3619.975287372,1.88391621459368,3619.9844377468,3948.11836240021,672.861383906088,6,47,same,47_50.jpg
2,1,1,low,50,1,3275.25697849412,3624.01460009338,2.70087334298842,3626.7312214785,low,l018.png,3627.73840243664,2.07079341324243,3627.74731463436,3631.76660967879,0.800199399048324,50,14_50_R.jpg,3632.58370479867,3639.08629220656,1.82127807120833,3639.09611822657,3948.11836240021,672.861383906088,6,14,different,14_50_R.jpg
2,1,1,low,150,5,3275.25697849412,3643.12505998309,1.70032623779844,3644.8408971661,low,l006.png,3645.84826418322,1.32688670952939,3645.85673054151,3649.87516118135,0.100670595418251,150,43_150.jpg,3649.99290950594,3656.49569269431,2.67808530466255,3656.5049591872,3948.11836240021,672.861383906088,6,43,same,43_150.jpg
2,1,1,high,50,2,3275.25697849412,3660.53322556855,1.80034738209088,3662.34967636811,high,h016.png,3663.35715950331,1.41596439981686,3663.36685995376,3667.38620387581,0.100679776847755,50,37_50_R.jpg,3667.50362923011,3674.00664654493,2.46602992551971,3674.01607128246,3948.11836240021,672.861383906088,6,37,different,37_50_R.jpg
2,1,1,high,50,2,3275.25697849412,3678.04550100496,1.4003781128763,3679.46133686476,high,h023.png,3680.46921291114,2.05317235946814,3680.47856554744,3684.49790946948,0.100417566019132,50,26_50_R.jpg,3684.61527028374,3691.11842342971,3.1698912837719,3691.12762538255,3948.11836240021,672.861383906088,6,26,different,26_50_R.jpg
2,1,1,high,150,6,3275.25697849412,3695.15619286079,2.50030339224122,3697.67331852243,high,h056.png,3698.6806871598,2.32418412871084,3698.68983510422,3702.70919954946,0.100184519731556,150,25_150.jpg,3702.82536164706,3709.3281715696,2.29219548775927,3709.3378671593,3948.11836240021,672.861383906088,6,25,same,25_150.jpg
2,1,1,high,150,6,3275.25697849412,3713.36661448554,1.30032672387415,3714.68184266972,high,h032.png,3715.68942950107,1.83115539920709,3715.6985042641,3719.7173283552,0.100170747587072,150,47_150_R.jpg,3719.83497487394,3726.33782206227,1.63137289107271,3726.34778445352,3948.11836240021,672.861383906088,6,47,different,47_150_R.jpg
2,1,1,high,150,6,3275.25697849412,3730.37646318908,1.60034857027586,3731.9934949571,high,h003.png,3733.00108529899,1.95200623689107,3733.01003989331,3737.03020123263,0.100186950110128,150,30_150_R.jpg,3737.14727499219,3743.65007573329,2.11854008787714,3743.65961820915,3948.11836240021,672.861383906088,6,30,different,30_150_R.jpg
2,1,1,high,50,2,3275.25697849412,3747.68926828596,4.00032026986946,3751.70526800728,high,h021.png,3752.71344164,2.15550074302064,3752.72202627671,3756.74137343926,0.400182872475398,50,45_50.jpg,3757.15858165275,3763.66170293376,2.02227441834975,3763.67115224512,3948.11836240021,672.861383906088,6,45,same,45_50.jpg
2,1,1,low,50,1,3275.25697849412,3767.70015881173,1.60029321165575,3769.31662160115,low,l038.png,3770.32420357174,1.57666777293889,3770.33324863014,3774.35312048439,0.100271473270823,50,43_50_R.jpg,3774.46982455638,3780.97231744955,2.8272883970767,3780.98197118273,3948.11836240021,672.861383906088,6,43,different,43_50_R.jpg
2,1,1,low,150,5,3275.25697849412,3785.01110682944,0.100424047028355,3785.12762916314,low,l023.png,3786.1350728722,1.43122015529025,3786.14447924686,3790.16389797055,0.300497930532856,150,26_150.jpg,3790.48170856684,3796.98472156099,2.26423560412559,3796.9940061467,3948.11836240021,672.861383906088,6,26,same,26_150.jpg
2,1,1,high,50,2,3275.25697849412,3801.02321524485,2.70031192557008,3803.73933165133,high,h013.png,3804.74640540279,1.31953697510244,3804.75500894244,3808.77485298236,0.100183979647227,50,25_50.jpg,3808.8916267252,3815.39435995579,1.92000841451045,3815.40395211938,3948.11836240021,672.861383906088,6,25,same,25_50.jpg
2,1,1,high,100,4,3275.25697849412,3819.43216881301,0.900333150875213,3820.34815333096,high,h038.png,3821.35571558847,2.15950924718481,3821.36414495101,3825.38355908398,5.40018287247494,100,30_100.jpg,3830.80114832681,3837.30459770891,3.15890840362772,3837.3136908348,3948.11836240021,672.861383906088,6,30,same,30_100.jpg
2,1,1,low,150,5,3275.25697849412,3841.34281351949,3.10032629180705,3844.4589550939,low,l004.png,3845.46662266782,1.8801280647408,3845.47545277275,3849.49479777496,0.100187760236167,150,44_150_R.jpg,3849.61131038714,3856.11440979475,2.13086912763174,3856.123993317,3948.11836240021,672.861383906088,6,44,different,44_150_R.jpg
2,1,1,low,50,1,3275.25697849412,3860.15401605184,2.70032488758852,3862.86953215485,low,l041.png,3863.87702339131,1.5189317028553,3863.88537390157,3867.90601780603,0.100175338302051,50,7_50.jpg,3868.02304997911,3874.52592579191,1.85231238356118,3874.53495059716,3948.11836240021,672.861383906088,6,7,same,7_50.jpg
2,1,1,high,150,6,3275.25697849412,3878.56299284362,0.900300745829099,3879.48004456774,high,h037.png,3880.48731463976,1.77350655270538,3880.49666052501,3884.51542304652,0.20021241507493,150,7_150_R.jpg,3884.73173212801,3891.2343414093,2.04215734432,3891.24403105808,3948.11836240021,672.861383906088,6,7,different,7_150_R.jpg
2,1,1,low,150,5,3275.25697849412,3895.27304707616,0.700303554266156,3895.98830150843,low,l030.png,3896.99574953816,1.53124264979306,3897.00469927172,3901.02409882243,0.100683017352367,150,37_150.jpg,3901.14252333231,3907.6457915162,1.81392671652884,3907.65470722446,3948.11836240021,672.861383906088,6,37,same,37_150.jpg
2,1,1,low,100,3,3275.25697849412,3911.68269573255,3.10029874751808,3914.79900635328,low,l043.png,3915.80635959825,1.46954992361862,3915.81532931493,3919.834667026,0.600197076686982,100,14_100.jpg,3920.45174200075,3926.95446577987,3.13661022157748,3926.96412680418,3948.11836240021,672.861383906088,6,14,same,14_100.jpg
2,1,1,high,50,2,3275.25697849412,3930.99296324431,1.40030817198522,3932.40862897762,high,h007.png,3933.4163181549,1.97552905962993,3933.4249611207,3937.44437012287,0.100200722254158,50,19_50_R.jpg,3937.56150383176,3944.06432509606,2.62629259001915,3944.07354001092,3948.11836240021,672.861383906088,6,19,different,19_50_R.jpg
