param_fmriSession,param_counterbalanceVer,param_counterbalanceBlockNum,param_triggerOnset,param_videoSubject,param_videoFilename,param_cue_type,param_administer_type,param_cond_type,p1_fixation_onset,p1_fixation_duration,p2_cue_onset,p2_cue_type,p2_cue_filename,p3_expect_onset,p3_expect_responseonset,p3_expect_RT,p4_fixation_onset,p4_fixation_duration,p5_administer_type,p5_administer_filename,p5_administer_onset,p6_actual_onset,p6_actual_responseonset,p6_actual_RT,param_end_instruct_onset,param_experimentDuration,param_runNum
1,5,2,6373.49774569081,107-hs107,hs107t1afaff_H.mp4,high,high,6,6376.28835741656,2.41308811734962,6378.73373821605,high,h034.png,6379.81701452555,6383.25031581392,3.43328076519083,6383.85180347436,0.115059422704689,hs107t1afaff_H.mp4,hs107t1afaff_H.mp4,6384.13928838577,6390.63846178773,NaN,6390.66636548001,7050.16100460961,676.663258918807,2
1,5,2,6373.49774569081,096-bg096,bg096t2afunaff_L.mp4,low,low,1,6394.78119833762,3.30174933097169,6398.11589061146,low,l049.png,6399.1492407774,6402.39921525844,3.24995368782584,6403.18364950731,0.115398325200658,bg096t2afunaff_L.mp4,bg096t2afunaff_L.mp4,6403.32023423428,6409.80370659415,NaN,6409.81521685709,7050.16100460961,676.663258918807,2
1,5,2,6373.49774569081,047-jl047,jl047t1aiunaff_M.mp4,high,med,4,6413.86162435561,2.40341845951934,6416.28148566213,high,h036.png,6417.31478208975,6420.64792945427,3.33312468101303,6421.3491381615,0.415488519171959,jl047t1aiunaff_M.mp4,jl047t1aiunaff_M.mp4,6421.79003545649,6428.28635883698,1.88323472305819,6428.29745944647,7050.16100460961,676.663258918807,2
1,5,2,6373.49774569081,080-bn080,bn080t1aeaff_M.mp4,low,med,3,6432.34816115016,3.31582661154243,6435.68032124176,low,l012.png,6436.71368490979,6440.26361429385,3.54979598339833,6440.79766116771,0.115789615811082,bn080t1aeaff_M.mp4,bn080t1aeaff_M.mp4,6440.93906074051,6447.43515674578,NaN,6447.44634025811,7050.16100460961,676.663258918807,2
1,5,2,6373.49774569081,092-ch092,ch092t2aiaff_H.mp4,high,high,6,6451.47838396168,3.30131024295679,6454.81255019402,high,h022.png,6455.84585634315,6458.662543578,2.81668453443399,6459.88183590638,0.414118056887673,ch092t2aiaff_H.mp4,ch092t2aiaff_H.mp4,6460.32330055926,6466.8184241439,1.68332059636123,6466.82848239192,7050.16100460961,676.663258918807,2
1,5,2,6373.49774569081,043-jh043,jh043t2aaunaff_L.mp4,low,low,1,6470.89197813741,1.60354645934694,6472.51150027139,low,l044.png,6473.54485610821,6476.66129274425,3.11643420565815,6477.57872772492,0.115854695892267,jh043t2aaunaff_L.mp4,jh043t2aaunaff_L.mp4,6477.71487417401,6484.19927493769,1.91657030674105,6484.21081841577,7050.16100460961,676.663258918807,2
1,5,2,6373.49774569081,096-bg096,bg096t2aaaff_M.mp4,high,med,4,6488.25270568411,1.50846986198121,6489.7771188157,high,h008.png,6490.81042604499,6493.12697690872,2.3165489734356,6494.84428199928,0.515946240072481,bg096t2aaaff_M.mp4,bg096t2aaaff_M.mp4,6495.38037308979,6501.86514948165,3.93312711138969,6501.87643696008,7050.16100460961,676.663258918807,2
1,5,2,6373.49774569081,107-hs107,hs107t2aaaff_M.mp4,low,med,3,6506.35151101906,0.80813798057352,6507.17612533181,low,l025.png,6508.20948143867,NaN,NaN,6512.22634960155,0.716187657468254,hs107t2aaaff_M.mp4,hs107t2aaaff_M.mp4,6512.96258219398,6519.44718305866,3.73317571891857,6519.45869062118,7050.16100460961,676.663258918807,2
1,5,2,6373.49774569081,080-bn080,bn080t1afunaff_L.mp4,high,low,2,6523.73455725292,0.20734054705099,6523.95844461307,high,h035.png,6524.99178937817,6528.02494403383,3.0331524953217,6529.02564533246,0.616412062228846,bn080t1afunaff_L.mp4,bn080t1afunaff_L.mp4,6529.66752774005,6536.16294080953,1.76658286368547,6536.17441866745,7050.16100460961,676.663258918807,2
1,5,2,6373.49774569081,109-ib109,ib109t1aiunaff_L.mp4,high,low,2,6540.21652520975,4.00780879958347,6544.24060727007,high,h011.png,6545.27398471023,6547.22376638141,1.94977978088809,6549.30794220025,3.41577962426436,ib109t1aiunaff_L.mp4,ib109t1aiunaff_L.mp4,6552.74898504778,6559.24488554277,2.6498670043984,6559.2563944555,7050.16100460961,676.663258918807,2
1,5,2,6373.49774569081,101-mg101,mg101t2afunaff_L.mp4,high,low,2,6563.298056779,0.50825193822493,6563.8227966612,high,h047.png,6564.85612738413,6566.78931498489,1.93318571046711,6568.89004058729,0.515842273967792,mg101t2afunaff_L.mp4,mg101t2afunaff_L.mp4,6569.43088495408,6575.92762635932,1.9665466780807,6575.93877530629,7050.16100460961,676.663258918807,2
1,5,2,6373.49774569081,123-jh123,jh123t2aaaff_M.mp4,low,med,3,6579.9815164469,2.6070729355979,6582.60502412824,low,l031.png,6583.63838320556,6586.88813112151,3.24974548557566,6587.67224915139,1.61585523597569,jh123t2aaaff_M.mp4,jh123t2aaaff_M.mp4,6589.31311188103,6595.81017841664,1.84991642205387,6595.82091527978,7050.16100460961,676.663258918807,2
1,5,2,6373.49774569081,092-ch092,ch092t2aaaff_M.mp4,high,med,4,6599.86266914745,1.30808154183069,6601.18725078515,high,h007.png,6602.22060311142,6604.75375128607,2.53314601431794,6606.25448552981,0.115863607273241,ch092t2aaaff_M.mp4,ch092t2aaaff_M.mp4,6606.39589725449,6612.8925403645,1.83320704377093,6612.90326048505,7050.16100460961,676.663258918807,2
1,5,2,6373.49774569081,066-mg066,mg066t2aeunaff_L.mp4,high,low,2,6616.9449670954,3.30811556710159,6620.26947906231,high,h037.png,6621.30274578532,6623.76930704566,2.46655910000482,6625.33662442312,0.215937328692235,mg066t2aeunaff_L.mp4,mg066t2aeunaff_L.mp4,6625.57788789483,6632.07443595013,2.41651791862569,6632.08549038246,7050.16100460961,676.663258918807,2
1,5,2,6373.49774569081,066-mg066,mg066t2aaunaff_M.mp4,high,med,4,6636.12811729537,3.30719013375256,6639.45169248717,high,h029.png,6640.48496407093,6644.10142177023,3.61645580900495,6644.63522155582,3.81619170809518,mg066t2aaunaff_M.mp4,mg066t2aaunaff_M.mp4,6648.47234204578,6654.95606176397,2.58317963452555,6654.96745158825,7050.16100460961,676.663258918807,2
1,5,2,6373.49774569081,092-ch092,ch092t2aeaff_L.mp4,low,low,1,6659.00927323642,3.1080118710388,6662.13368204735,low,l009.png,6663.1670419348,6666.03350814041,2.86646404528074,6667.20093677511,0.415843354136086,ch092t2aeaff_L.mp4,ch092t2aeaff_L.mp4,6667.63715937599,6674.12184449371,2.58325200573563,6674.13299884152,7050.16100460961,676.663258918807,2
1,5,2,6373.49774569081,123-jh123,jh123t1aeaff_H.mp4,low,high,5,6678.17478592434,1.1080361748036,6679.29935649032,low,l030.png,6680.33270449593,6682.91584092376,2.58313426749828,6684.36655477934,1.11586333723062,jh123t1aeaff_H.mp4,jh123t1aeaff_H.mp4,6685.50209201405,6691.98761966229,3.59985444745416,6691.99859119178,7050.16100460961,676.663258918807,2
1,5,2,6373.49774569081,043-jh043,jh043t2aeaff_H.mp4,low,high,5,6696.14117921866,3.30729950069235,6699.46484595464,low,l018.png,6700.49820314167,6703.24798184239,2.74977681042765,6704.53204694407,0.615869548193587,jh043t2aeaff_H.mp4,jh043t2aeaff_H.mp4,6705.16926059847,6711.65351148893,2.61653655151167,6711.66413952521,7050.16100460961,676.663258918807,2
