param_fmriSession,param_counterbalanceVer,param_counterbalanceBlockNum,param_triggerOnset,param_videoSubject,param_videoFilename,param_cue_type,param_administer_type,param_cond_type,p1_fixation_onset,p1_fixation_duration,p2_cue_onset,p2_cue_type,p2_cue_filename,p3_expect_onset,p3_expect_responseonset,p3_expect_RT,p4_fixation_onset,p4_fixation_duration,p5_administer_type,p5_administer_filename,p5_administer_onset,p6_actual_onset,p6_actual_responseonset,p6_actual_RT,param_end_instruct_onset,param_experimentDuration,param_runNum
1,5,1,4782.49666741018,052-dr052,dr052t1aeunaff_L.mp4,low,low,1,4785.2998769148,1.1021790778932,4786.45109645203,low,l056.png,4787.60102545795,NaN,NaN,4791.61892979067,0.415315060843568,dr052t1aeunaff_L.mp4,dr052t1aeunaff_L.mp4,4792.40758321483,4798.9089639402,3.01657275501839,4798.93368197571,0,0,1
1,5,1,4782.49666741018,103-jk103,jk103t1aaaff_H.mp4,high,high,6,4803.10520111927,0.711780533527417,4803.85007666496,high,h013.png,4804.88334369395,NaN,NaN,4808.90097663434,2.01560249367685,jk103t1aaaff_H.mp4,jk103t1aaaff_H.mp4,4810.95117854483,4817.44070037044,2.09997445401586,4817.46593607671,0,0,1
1,5,1,4782.49666741018,064-ak064,ak064t1aiaff_M.mp4,high,med,4,4821.52641038949,3.20611748020474,4824.74883571339,high,h010.png,4825.78212326559,4828.46537006842,2.68322168891882,4829.81644993986,3.91553001437114,ak064t1aiaff_M.mp4,ak064t1aiaff_M.mp4,4833.76572414765,4840.25634855525,2.7670368224035,4840.28124535865,0,0,1
1,5,1,4782.49666741018,042-ll042,ll042t1afunaff_M.mp4,low,med,3,4844.33396757226,1.01392472197858,4845.36428331091,low,l024.png,4846.39764026393,4848.99772786559,2.59995258060371,4850.43198827153,0.515432907224749,ll042t1afunaff_M.mp4,ll042t1afunaff_M.mp4,4850.98132793753,4857.47171713844,1.65014557970699,4857.49694717382,0,0,1
1,5,1,4782.49666741018,106-nm106,nm106t1afaff_H.mp4,low,high,5,4861.5455282915,0.501476050234487,4862.07996784338,low,l004.png,4863.11325836604,4865.86311564878,2.74985377219127,4867.14958686256,3.51424553201832,nm106t1afaff_H.mp4,nm106t1afaff_H.mp4,4870.70025108516,4877.20511211339,3.63323203153232,4877.22907781156,0,0,1
1,5,1,4782.49666741018,064-ak064,ak064t1aaaff_H.mp4,high,high,6,4881.42701544587,2.80195029820788,4884.24533677763,high,h032.png,4885.27871317368,4888.81178793268,3.53307043832774,4889.34561394886,0.616170230232456,ak064t1aaaff_H.mp4,ak064t1aaaff_H.mp4,4889.99522457513,4896.48629266193,2.59987885910505,4896.51129424168,0,0,1
1,5,1,4782.49666741018,049-bm049,bm049t2aeaff_M.mp4,low,med,3,4900.55441321737,0.706762610831902,4901.27768782375,low,l026.png,4902.29432025807,4904.96084443251,2.66652093393532,4906.32821405483,0.115934213418768,bm049t2aeaff_M.mp4,bm049t2aeaff_M.mp4,4906.47797428443,4912.96858627009,2.1665568495373,4912.99368290466,0,0,1
1,5,1,4782.49666741018,049-bm049,bm049t2aeunaff_H.mp4,low,high,5,4917.03669548376,1.40687408421945,4918.46001999392,low,l008.png,4919.49340530136,4921.97654171098,2.48313316911208,4923.52731800106,4.01583635015413,bm049t2aeunaff_H.mp4,bm049t2aeunaff_H.mp4,4927.57649969242,4934.06727370335,2.13328171928242,4934.09244513959,0,0,1
1,5,1,4782.49666741018,108-th108,th108t1aaunaff_L.mp4,high,low,2,4938.13590625866,3.20640507506414,4941.35869154871,high,h009.png,4942.37532938388,4945.42515404553,3.04982142114568,4946.40923668274,0.115922871648763,th108t1aaunaff_L.mp4,th108t1aaunaff_L.mp4,4946.55929503884,4953.04963320179,3.18316362986297,4953.07469338067,0,0,1
1,5,1,4782.49666741018,052-dr052,dr052t1aiaff_H.mp4,high,high,6,4957.1182876305,3.60625104303745,4960.74091672819,high,h017.png,4961.77426774028,4964.67404322726,2.89977224647464,4965.80818341045,4.0158377003645,dr052t1aiaff_H.mp4,dr052t1aiaff_H.mp4,4969.85714636769,4976.34832571184,3.51649930356143,4976.37333269243,0,0,1
1,5,1,4782.49666741018,115-jy115,jy115t1aaunaff_L.mp4,low,low,1,4980.43237605202,2.80749534312417,4983.25627078312,low,l046.png,4984.27293076174,4987.22273425209,2.94980024984307,4988.30688153738,0.31581156028642,jy115t1aaunaff_L.mp4,jy115t1aaunaff_L.mp4,4988.65631064133,4995.14688779156,1.91656130523188,4995.17227499145,0,0,1
1,5,1,4782.49666741018,108-th108,th108t1aeaff_H.mp4,high,high,6,4999.21582387421,0.506332757783639,4999.73864459378,high,h056.png,5000.77203611219,5004.50507787205,3.73303824930645,5005.03893440299,1.71613118214191,th108t1aeaff_H.mp4,th108t1aeaff_H.mp4,5006.78798831042,5013.27928620306,3.06651596515985,5013.30454810341,0,0,1
1,5,1,4782.49666741018,106-nm106,nm106t1aaunaff_L.mp4,high,low,2,5017.34721367839,4.00720067316161,5021.37074919946,high,h050.png,5022.4040985913,5025.67054969234,3.26644759049577,5026.43800832054,0.515834459859434,nm106t1aaunaff_L.mp4,nm106t1aaunaff_L.mp4,5026.98209917783,5033.47790650386,2.84989168610537,5033.48670015549,0,0,1
