,onset,duration,trial_type,sub,ses,run,runtype,eventtype,trialnum,cuetype,stimtype,expectrating,outcomerating,singletrial_fname
0,4.688460111618042,1.0,cue,sub-0090,ses-01,run-06,pain,cue,0,high_cue,low_stim,25.1278241807561,,sub-0090_ses-01_run-06_runtype-pain_event-cue_trial-000_cuetype-high.nii.gz
1,37.20058012008667,1.0,cue,sub-0090,ses-01,run-06,pain,cue,1,low_cue,low_stim,9.2726017772003,,sub-0090_ses-01_run-06_runtype-pain_event-cue_trial-001_cuetype-low.nii.gz
2,62.19323992729187,1.0,cue,sub-0090,ses-01,run-06,pain,cue,2,low_cue,med_stim,50.580153341195796,,sub-0090_ses-01_run-06_runtype-pain_event-cue_trial-002_cuetype-low.nii.gz
3,91.78761005401613,1.0,cue,sub-0090,ses-01,run-06,pain,cue,3,low_cue,high_stim,77.9694039034621,,sub-0090_ses-01_run-06_runtype-pain_event-cue_trial-003_cuetype-low.nii.gz
4,120.09816002845764,1.0,cue,sub-0090,ses-01,run-06,pain,cue,4,high_cue,med_stim,75.1735200296443,,sub-0090_ses-01_run-06_runtype-pain_event-cue_trial-004_cuetype-high.nii.gz
5,149.29239010810855,1.0,cue,sub-0090,ses-01,run-06,pain,cue,5,high_cue,high_stim,85.9981734198902,,sub-0090_ses-01_run-06_runtype-pain_event-cue_trial-005_cuetype-high.nii.gz
6,178.5866401195526,1.0,cue,sub-0090,ses-01,run-06,pain,cue,6,high_cue,low_stim,79.8592068538872,,sub-0090_ses-01_run-06_runtype-pain_event-cue_trial-006_cuetype-high.nii.gz
7,219.0017099380493,1.0,cue,sub-0090,ses-01,run-06,pain,cue,7,high_cue,high_stim,56.633633998940404,,sub-0090_ses-01_run-06_runtype-pain_event-cue_trial-007_cuetype-high.nii.gz
8,245.4949300289154,1.0,cue,sub-0090,ses-01,run-06,pain,cue,8,low_cue,low_stim,54.782407031807296,,sub-0090_ses-01_run-06_runtype-pain_event-cue_trial-008_cuetype-low.nii.gz
9,276.3897800445557,1.0,cue,sub-0090,ses-01,run-06,pain,cue,9,low_cue,med_stim,63.639941792646894,,sub-0090_ses-01_run-06_runtype-pain_event-cue_trial-009_cuetype-low.nii.gz
10,322.9904899597168,1.0,cue,sub-0090,ses-01,run-06,pain,cue,10,low_cue,high_stim,34.5203830122378,,sub-0090_ses-01_run-06_runtype-pain_event-cue_trial-010_cuetype-low.nii.gz
11,362.28848004341125,1.0,cue,sub-0090,ses-01,run-06,pain,cue,11,high_cue,med_stim,77.2466997454243,,sub-0090_ses-01_run-06_runtype-pain_event-cue_trial-011_cuetype-high.nii.gz
12,7.106029987335205,1.23397207260132,expectrating,sub-0090,ses-01,run-06,pain,expectrating,0,high_cue,low_stim,25.1278241807561,,sub-0090_ses-01_run-06_runtype-pain_event-expectrating_trial-000_cuetype-high.nii.gz
13,39.00125002861022,1.03672313690186,expectrating,sub-0090,ses-01,run-06,pain,expectrating,1,low_cue,low_stim,9.2726017772003,,sub-0090_ses-01_run-06_runtype-pain_event-expectrating_trial-001_cuetype-low.nii.gz
14,64.29401993751526,1.43408107757568,expectrating,sub-0090,ses-01,run-06,pain,expectrating,2,low_cue,med_stim,50.580153341195796,,sub-0090_ses-01_run-06_runtype-pain_event-expectrating_trial-002_cuetype-low.nii.gz
15,94.90544009208679,1.16724109649658,expectrating,sub-0090,ses-01,run-06,pain,expectrating,3,low_cue,high_stim,77.9694039034621,,sub-0090_ses-01_run-06_runtype-pain_event-expectrating_trial-003_cuetype-low.nii.gz
16,122.4990599155426,1.3553779125213603,expectrating,sub-0090,ses-01,run-06,pain,expectrating,4,high_cue,med_stim,75.1735200296443,,sub-0090_ses-01_run-06_runtype-pain_event-expectrating_trial-004_cuetype-high.nii.gz
17,151.3931701183319,1.26138663291931,expectrating,sub-0090,ses-01,run-06,pain,expectrating,5,high_cue,high_stim,85.9981734198902,,sub-0090_ses-01_run-06_runtype-pain_event-expectrating_trial-005_cuetype-high.nii.gz
18,180.70409989356997,1.66744494438171,expectrating,sub-0090,ses-01,run-06,pain,expectrating,6,high_cue,low_stim,79.8592068538872,,sub-0090_ses-01_run-06_runtype-pain_event-expectrating_trial-006_cuetype-high.nii.gz
19,221.10249996185303,2.05191421508789,expectrating,sub-0090,ses-01,run-06,pain,expectrating,7,high_cue,high_stim,56.633633998940404,,sub-0090_ses-01_run-06_runtype-pain_event-expectrating_trial-007_cuetype-high.nii.gz
20,248.5960800647736,1.39162611961365,expectrating,sub-0090,ses-01,run-06,pain,expectrating,8,low_cue,low_stim,54.782407031807296,,sub-0090_ses-01_run-06_runtype-pain_event-expectrating_trial-008_cuetype-low.nii.gz
21,279.49094009399414,1.65079140663147,expectrating,sub-0090,ses-01,run-06,pain,expectrating,9,low_cue,med_stim,63.639941792646894,,sub-0090_ses-01_run-06_runtype-pain_event-expectrating_trial-009_cuetype-low.nii.gz
22,325.3913900852204,1.5340600013732901,expectrating,sub-0090,ses-01,run-06,pain,expectrating,10,low_cue,high_stim,34.5203830122378,,sub-0090_ses-01_run-06_runtype-pain_event-expectrating_trial-010_cuetype-low.nii.gz
23,365.3896400928497,1.3006668090820301,expectrating,sub-0090,ses-01,run-06,pain,expectrating,11,high_cue,med_stim,77.2466997454243,,sub-0090_ses-01_run-06_runtype-pain_event-expectrating_trial-011_cuetype-high.nii.gz
24,19.9342200756073,8.5,stimulus,sub-0090,ses-01,run-06,pain,stimulus,0,high_cue,low_stim,25.1278241807561,110.394876082048,sub-0090_ses-01_run-06_runtype-pain_event-stimulus_trial-000_cuetype-high_stimintensity-low.nii.gz
25,44.11685991287232,8.5,stimulus,sub-0090,ses-01,run-06,pain,stimulus,1,low_cue,low_stim,9.2726017772003,93.90569913707209,sub-0090_ses-01_run-06_runtype-pain_event-stimulus_trial-001_cuetype-low_stimintensity-low.nii.gz
26,75.11346006393433,8.7,stimulus,sub-0090,ses-01,run-06,pain,stimulus,2,low_cue,med_stim,50.580153341195796,122.881239665275,sub-0090_ses-01_run-06_runtype-pain_event-stimulus_trial-002_cuetype-low_stimintensity-med.nii.gz
27,104.11105990409851,9.0,stimulus,sub-0090,ses-01,run-06,pain,stimulus,3,low_cue,high_stim,77.9694039034621,100.984127328826,sub-0090_ses-01_run-06_runtype-pain_event-stimulus_trial-003_cuetype-low_stimintensity-high.nii.gz
28,132.11922001838684,8.7,stimulus,sub-0090,ses-01,run-06,pain,stimulus,4,high_cue,med_stim,75.1735200296443,103.701510492347,sub-0090_ses-01_run-06_runtype-pain_event-stimulus_trial-004_cuetype-high_stimintensity-med.nii.gz
29,160.92876005172732,9.0,stimulus,sub-0090,ses-01,run-06,pain,stimulus,5,high_cue,high_stim,85.9981734198902,103.20108717570601,sub-0090_ses-01_run-06_runtype-pain_event-stimulus_trial-005_cuetype-high_stimintensity-high.nii.gz
30,187.31939005851746,8.5,stimulus,sub-0090,ses-01,run-06,pain,stimulus,6,high_cue,low_stim,79.8592068538872,111.715829595531,sub-0090_ses-01_run-06_runtype-pain_event-stimulus_trial-006_cuetype-high_stimintensity-low.nii.gz
31,226.00554990768435,9.0,stimulus,sub-0090,ses-01,run-06,pain,stimulus,7,high_cue,high_stim,56.633633998940404,102.85563397290899,sub-0090_ses-01_run-06_runtype-pain_event-stimulus_trial-007_cuetype-high_stimintensity-high.nii.gz
32,257.23703002929693,8.5,stimulus,sub-0090,ses-01,run-06,pain,stimulus,8,low_cue,low_stim,54.782407031807296,87.2072976342867,sub-0090_ses-01_run-06_runtype-pain_event-stimulus_trial-008_cuetype-low_stimintensity-low.nii.gz
33,288.8179700374603,8.7,stimulus,sub-0090,ses-01,run-06,pain,stimulus,9,low_cue,med_stim,63.639941792646894,103.029194807944,sub-0090_ses-01_run-06_runtype-pain_event-stimulus_trial-009_cuetype-low_stimintensity-med.nii.gz
34,330.82082009315485,9.0,stimulus,sub-0090,ses-01,run-06,pain,stimulus,10,low_cue,high_stim,34.5203830122378,115.127824180756,sub-0090_ses-01_run-06_runtype-pain_event-stimulus_trial-010_cuetype-low_stimintensity-high.nii.gz
35,375.5408399105072,8.7,stimulus,sub-0090,ses-01,run-06,pain,stimulus,11,high_cue,med_stim,77.2466997454243,110.905569336916,sub-0090_ses-01_run-06_runtype-pain_event-stimulus_trial-011_cuetype-high_stimintensity-med.nii.gz
36,31.29837989807129,1.80597376823425,outcomerating,sub-0090,ses-01,run-06,pain,outcomerating,0,high_cue,low_stim,25.1278241807561,110.394876082048,sub-0090_ses-01_run-06_runtype-pain_event-outcomerating_trial-000_cuetype-high_stimintensity-low.nii.gz
37,57.29140996932984,1.88419246673584,outcomerating,sub-0090,ses-01,run-06,pain,outcomerating,1,low_cue,low_stim,9.2726017772003,93.90569913707209,sub-0090_ses-01_run-06_runtype-pain_event-outcomerating_trial-001_cuetype-low_stimintensity-low.nii.gz
38,86.70237994194031,2.16867256164551,outcomerating,sub-0090,ses-01,run-06,pain,outcomerating,2,low_cue,med_stim,50.580153341195796,122.881239665275,sub-0090_ses-01_run-06_runtype-pain_event-outcomerating_trial-002_cuetype-low_stimintensity-med.nii.gz
