onset	duration	trial_type	trial_index	cue	stimulusintensity	rating_value	rating_glmslabel	rating_value_fillna	rating_glmslabel_fillna	rating_mouseonset	rating_mousedur	stim_file
3.91	0.98	cue	1	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h017.png
36.21	0.99	cue	2	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l041.png
63.6	0.99	cue	3	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h053.png
103.5	0.99	cue	4	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l037.png
139.01	0.98	cue	5	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h001.png
190.6	1.0	cue	6	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l004.png
219.21	0.98	cue	7	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l009.png
252.61	0.99	cue	8	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h011.png
281.7	0.99	cue	9	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h033.png
312.21	0.98	cue	10	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l029.png
348.81	0.99	cue	11	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h021.png
375.6	0.99	cue	12	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l010.png
5.75	2.91	expectrating	1	high_cue	n/a	93.94	Very Strong	93.94	Very Strong	0.73	2.17	h017.png
38.71	2.35	expectrating	2	low_cue	n/a	4.88	Weak	4.88	Weak	0.52	1.83	l041.png
66.12	1.85	expectrating	3	high_cue	n/a	48.25	Strong	48.25	Strong	0.28	1.57	h053.png
106.02	2.47	expectrating	4	low_cue	n/a	11.78	Moderate	11.78	Moderate	0.75	1.72	l037.png
142.91	2.02	expectrating	5	high_cue	n/a	58.64	Strong	58.64	Strong	0.68	1.34	h001.png
193.02	1.69	expectrating	6	low_cue	n/a	7.77	Weak	7.77	Weak	0.6	1.09	l004.png
221.01	2.13	expectrating	7	low_cue	n/a	21.63	Moderate	21.63	Moderate	0.5	1.63	l009.png
254.21	2.12	expectrating	8	high_cue	n/a	69.33	Very Strong	69.33	Very Strong	0.7	1.42	h011.png
283.32	1.44	expectrating	9	high_cue	n/a	65.22	Very Strong	65.22	Very Strong	0.75	0.69	h033.png
316.11	1.95	expectrating	10	low_cue	n/a	6.91	Weak	6.91	Weak	0.7	1.25	l029.png
350.51	2.0	expectrating	11	high_cue	n/a	69.61	Very Strong	69.61	Very Strong	0.67	1.33	h021.png
379.5	1.77	expectrating	12	low_cue	n/a	8.87	Weak	8.87	Weak	0.6	1.17	l010.png
19.6	7.01	stimulus	1	high_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	jl047t1aiunaff_M.mp4
45.6	7.02	stimulus	2	low_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	tv095t2afaff_M.mp4
77.8	7.01	stimulus	3	high_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	jy115t1aaunaff_L.mp4
118.9	7.01	stimulus	4	low_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	ak064t1aiaff_M.mp4
157.5	7.0	stimulus	5	high_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	jk103t1aaaff_H.mp4
