onset	duration	trial_type	trial_index	cue	stimulusintensity	rating_value	rating_glmslabel	rating_value_fillna	rating_glmslabel_fillna	rating_mouseonset	rating_mousedur	stim_file	correct_response	participant_response	response_accuracy
3.4	0.98	cue	1	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l019.png	n/a	n/a	n/a
41.6	0.99	cue	2	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h046.png	n/a	n/a	n/a
78.39	0.99	cue	3	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l022.png	n/a	n/a	n/a
105.89	0.99	cue	4	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l030.png	n/a	n/a	n/a
137.1	0.98	cue	5	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h055.png	n/a	n/a	n/a
168.99	0.99	cue	6	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h033.png	n/a	n/a	n/a
194.39	0.99	cue	7	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h018.png	n/a	n/a	n/a
234.78	1.0	cue	8	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l013.png	n/a	n/a	n/a
271.8	0.98	cue	9	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l029.png	n/a	n/a	n/a
299.89	0.99	cue	10	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l044.png	n/a	n/a	n/a
337.89	0.99	cue	11	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h039.png	n/a	n/a	n/a
362.6	0.98	cue	12	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h042.png	n/a	n/a	n/a
6.12	1.32	expectrating	1	low_cue	n/a	3.48	Weak	3.48	Weak	0.45	0.87	l019.png	n/a	n/a	n/a
44.7	1.84	expectrating	2	high_cue	n/a	65.11	Very Strong	65.11	Very Strong	0.42	1.42	h046.png	n/a	n/a	n/a
81.49	2.08	expectrating	3	low_cue	n/a	26.26	Moderate	26.26	Moderate	0.43	1.64	l022.png	n/a	n/a	n/a
107.4	1.77	expectrating	4	low_cue	n/a	0.0		0.0		0.95	0.82	l030.png	n/a	n/a	n/a
140.2	1.22	expectrating	5	high_cue	n/a	10.9	Moderate	10.9	Moderate	0.53	0.69	h055.png	n/a	n/a	n/a
170.99	1.48	expectrating	6	high_cue	n/a	28.59	Moderate	28.59	Moderate	0.57	0.91	h033.png	n/a	n/a	n/a
196.4	1.73	expectrating	7	high_cue	n/a	27.69	Moderate	27.69	Moderate	0.05	1.68	h018.png	n/a	n/a	n/a
237.3	1.6	expectrating	8	low_cue	n/a	0.0		0.0		0.47	1.13	l013.png	n/a	n/a	n/a
274.9	1.24	expectrating	9	low_cue	n/a	0.0		0.0		0.3	0.94	l029.png	n/a	n/a	n/a
301.79	1.44	expectrating	10	low_cue	n/a	6.49	Weak	6.49	Weak	0.6	0.84	l044.png	n/a	n/a	n/a
340.59	1.85	expectrating	11	high_cue	n/a	9.95	Weak	9.95	Weak	0.13	1.72	h039.png	n/a	n/a	n/a
364.8	1.24	expectrating	12	high_cue	n/a	1.9	Barely detectable	1.9	Barely detectable	0.05	1.19	h042.png	n/a	n/a	n/a
18.5	6.99	stimulus	1	low_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	47_150.jpg	same	diff	False
55.2	6.99	stimulus	2	high_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	44_100.jpg	same	same	True
88.0	7.0	stimulus	3	low_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	10_50.jpg	same	same	True
114.19	7.0	stimulus	4	low_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	5_50_R.jpg	diff	diff	True
149.9	6.99	stimulus	5	high_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	11_50_R.jpg	diff	diff	True
177.5	7.0	stimulus	6	high_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	10_100_R.jpg	diff	diff	True
209.39	7.0	stimulus	7	high_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	43_50_R.jpg	diff	diff	True
251.29	7.0	stimulus	8	low_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	35_150_R.jpg	diff	diff	True
286.6	6.99	stimulus	9	low_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	18_100.jpg	same	same	True
315.5	7.0	stimulus	10	low_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	29_100_R.jpg	diff	same	False
347.99	7.0	stimulus	11	high_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	18_150_R.jpg	diff	diff	True
378.49	7.0	stimulus	12	high_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	29_150.jpg	same	diff	False
32.59	3.7	outcomerating	1	low_cue	high_stim	34.71	Strong	34.71	Strong	0.63	3.07	task-cognitive_scale.png	n/a	n/a	n/a
69.29	3.5	outcomerating	2	high_cue	med_stim	0.0		0.0		0.83	2.67	task-cognitive_scale.png	n/a	n/a	n/a
97.8	1.3	outcomerating	3	low_cue	low_stim	1.61	Barely detectable	1.61	Barely detectable	0.43	0.87	task-cognitive_scale.png	n/a	n/a	n/a
127.99	2.26	outcomerating	4	low_cue	low_stim	28.65	Moderate	28.65	Moderate	0.75	1.51	task-cognitive_scale.png	n/a	n/a	n/a
159.89	1.67	outcomerating	5	high_cue	low_stim	15.13	Moderate	15.13	Moderate	0.72	0.95	task-cognitive_scale.png	n/a	n/a	n/a
187.3	1.34	outcomerating	6	high_cue	med_stim	2.78	Barely detectable	2.78	Barely detectable	0.25	1.09	task-cognitive_scale.png	n/a	n/a	n/a
222.3	1.49	outcomerating	7	high_cue	low_stim	0.0		0.0		0.45	1.04	task-cognitive_scale.png	n/a	n/a	n/a
262.69	2.27	outcomerating	8	low_cue	high_stim	15.09	Moderate	15.09	Moderate	1.25	1.02	task-cognitive_scale.png	n/a	n/a	n/a
294.39	2.38	outcomerating	9	low_cue	med_stim	30.57	Strong	30.57	Strong	0.55	1.83	task-cognitive_scale.png	n/a	n/a	n/a
326.1	2.47	outcomerating	10	low_cue	med_stim	52.17	Strong	52.17	Strong	0.33	2.13	task-cognitive_scale.png	n/a	n/a	n/a
355.5	1.11	outcomerating	11	high_cue	high_stim	0.23	No sensation	0.23	No sensation	0.47	0.64	task-cognitive_scale.png	n/a	n/a	n/a
394.59	2.28	outcomerating	12	high_cue	high_stim	7.87	Weak	7.87	Weak	0.72	1.56	task-cognitive_scale.png	n/a	n/a	n/a
