onset	duration	trial_type	trial_index	cue	stimulusintensity	rating_value	rating_glmslabel	rating_value_fillna	rating_glmslabel_fillna	rating_mouseonset	rating_mousedur	stim_file	correct_response	participant_response	response_accuracy
4.69	0.99	cue	1	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h049.png	n/a	n/a	n/a
37.2	0.98	cue	2	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l004.png	n/a	n/a	n/a
62.19	0.99	cue	3	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l035.png	n/a	n/a	n/a
91.79	0.99	cue	4	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l001.png	n/a	n/a	n/a
120.1	0.98	cue	5	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h053.png	n/a	n/a	n/a
149.29	0.99	cue	6	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h002.png	n/a	n/a	n/a
178.59	0.99	cue	7	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h020.png	n/a	n/a	n/a
218.98	1.0	cue	8	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h034.png	n/a	n/a	n/a
245.49	0.99	cue	9	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l003.png	n/a	n/a	n/a
276.39	0.99	cue	10	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l056.png	n/a	n/a	n/a
322.99	0.99	cue	11	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l006.png	n/a	n/a	n/a
362.29	0.99	cue	12	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h019.png	n/a	n/a	n/a
7.11	2.76	expectrating	1	high_cue	n/a	63.86	Strong	63.86	Strong	0.05	2.71	h049.png	n/a	n/a	n/a
39.0	3.28	expectrating	2	low_cue	n/a	10.9	Moderate	10.9	Moderate	1.1	2.18	l004.png	n/a	n/a	n/a
64.29	2.93	expectrating	3	low_cue	n/a	5.78	Weak	5.78	Weak	1.18	1.75	l035.png	n/a	n/a	n/a
94.9	2.47	expectrating	4	low_cue	n/a	3.68	Weak	3.68	Weak	0.38	2.09	l001.png	n/a	n/a	n/a
122.5	3.07	expectrating	5	high_cue	n/a	30.88	Strong	30.88	Strong	1.02	2.05	h053.png	n/a	n/a	n/a
151.39	3.7	expectrating	6	high_cue	n/a	41.1	Strong	41.1	Strong	1.18	2.52	h002.png	n/a	n/a	n/a
180.7	3.85	expectrating	7	high_cue	n/a	31.64	Strong	31.64	Strong	0.05	3.8	h020.png	n/a	n/a	n/a
221.1	3.47	expectrating	8	high_cue	n/a	32.86	Strong	32.86	Strong	0.05	3.42	h034.png	n/a	n/a	n/a
248.6	3.75	expectrating	9	low_cue	n/a	1.39	Barely detectable	1.39	Barely detectable	0.05	3.7	l003.png	n/a	n/a	n/a
279.49	3.05	expectrating	10	low_cue	n/a	4.88	Weak	4.88	Weak	0.05	3.0	l056.png	n/a	n/a	n/a
325.39		expectrating	11	low_cue	n/a			2.54	Barely detectable	0.05	2.7	l006.png	n/a	n/a	n/a
365.39	2.47	expectrating	12	high_cue	n/a	39.63	Strong	39.63	Strong	0.05	2.42	h019.png	n/a	n/a	n/a
