onset	duration	trial_type	trial_index	cue	stimulusintensity	rating_value	rating_glmslabel	rating_value_fillna	rating_glmslabel_fillna	rating_mouseonset	rating_mousedur	stim_file
11.29	0.99	cue	1	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h042.png
44.31	0.98	cue	2	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l003.png
80.7	0.98	cue	3	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h018.png
105.6	0.99	cue	4	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l014.png
133.81	0.98	cue	5	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h003.png
169.5	0.98	cue	6	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h049.png
204.4	0.99	cue	7	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l013.png
234.29	0.99	cue	8	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h028.png
266.71	0.98	cue	9	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l010.png
294.8	0.99	cue	10	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h038.png
327.1	0.99	cue	11	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l016.png
366.49	0.99	cue	12	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l034.png
14.23		expectrating	1	high_cue	n/a			78.69	Very Strong	0.17	3.88	h042.png
47.21	2.65	expectrating	2	low_cue	n/a	5.07	Weak	5.07	Weak	0.57	2.08	l003.png
83.72		expectrating	3	high_cue	n/a			48.92	Strong	0.43	3.77	h018.png
107.4	2.64	expectrating	4	low_cue	n/a	13.7	Moderate	13.7	Moderate	0.58	2.06	l014.png
135.61	3.59	expectrating	5	high_cue	n/a	39.6	Strong	39.6	Strong	0.65	2.94	h003.png
172.4	3.5	expectrating	6	high_cue	n/a	37.43	Strong	37.43	Strong	0.57	2.93	h049.png
207.3	2.75	expectrating	7	low_cue	n/a	7.61	Weak	7.61	Weak	0.47	2.29	l013.png
236.21	2.76	expectrating	8	high_cue	n/a	34.33	Strong	34.33	Strong	0.98	1.78	h028.png
268.51	2.08	expectrating	9	low_cue	n/a	5.55	Weak	5.55	Weak	0.65	1.43	l010.png
297.3		expectrating	10	high_cue	n/a			24.61	Moderate	0.47	3.25	h038.png
330.0	2.49	expectrating	11	low_cue	n/a	0.0		0.0		0.3	2.19	l016.png
369.41	2.59	expectrating	12	low_cue	n/a	6.67	Weak	6.67	Weak	0.48	2.11	l034.png
21.29	7.01	stimulus	1	high_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	bn080t1afaff_H.mp4
61.39	7.01	stimulus	2	low_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	vw121t1aaaff_H.mp4
91.99	7.0	stimulus	3	high_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	mg101t2aeaff_H.mp4
114.49	7.01	stimulus	4	low_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	mg101t2aeunaff_M.mp4
147.9	7.0	stimulus	5	high_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	bg096t2afunaff_L.mp4
186.89	7.01	stimulus	6	high_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	ib109t1afaff_M.mp4
218.39	7.02	stimulus	7	low_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	ch092t2aiaff_H.mp4
244.89	7.01	stimulus	8	high_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	mg101t2afunaff_L.mp4
280.79	7.01	stimulus	9	low_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	ib109t1aiunaff_L.mp4
307.89	7.02	stimulus	10	high_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	jk103t2aaunaff_M.mp4
342.89	7.01	stimulus	11	low_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	bm049t2aeaff_M.mp4
376.19	7.01	stimulus	12	low_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	bn080t1afunaff_L.mp4
32.72	3.88	outcomerating	1	high_cue	high_stim	44.84	Strong	44.84	Strong	0.4	3.48	task-vicarious_scale.png
70.72	3.55	outcomerating	2	low_cue	high_stim	29.86	Strong	29.86	Strong	0.4	3.15	task-vicarious_scale.png
100.61	3.76	outcomerating	3	high_cue	high_stim	49.55	Strong	49.55	Strong	0.08	3.68	task-vicarious_scale.png
126.1		outcomerating	4	low_cue	med_stim			13.92	Moderate	0.48	3.02	task-vicarious_scale.png
159.52		outcomerating	5	high_cue	low_stim			12.58	Moderate	0.1	3.65	task-vicarious_scale.png
196.71		outcomerating	6	high_cue	med_stim			12.35	Moderate	0.33	3.63	task-vicarious_scale.png
228.41	1.93	outcomerating	7	low_cue	high_stim	14.15	Moderate	14.15	Moderate	0.4	1.53	task-vicarious_scale.png
255.7	2.48	outcomerating	8	high_cue	low_stim	4.82	Weak	4.82	Weak	0.42	2.07	task-vicarious_scale.png
289.01	2.62	outcomerating	9	low_cue	low_stim	0.92	No sensation	0.92	No sensation	0.1	2.52	task-vicarious_scale.png
317.21		outcomerating	10	high_cue	med_stim			24.27	Moderate	0.38	3.45	task-vicarious_scale.png
361.51	2.2	outcomerating	11	low_cue	med_stim	0.92	No sensation	0.92	No sensation	0.45	1.75	task-vicarious_scale.png
394.8	3.98	outcomerating	12	low_cue	low_stim	0.0		0.0		0.55	3.43	task-vicarious_scale.png
