ISI01_biopac,ISI01_duration,ISI01_onset,ISI02_biopac,ISI02_duration,ISI02_onset,ISI03_biopac,ISI03_duration,ISI03_onset,ITI_biopac,ITI_duration,ITI_onset,delay_between_medoc,event01_cue_biopac,event01_cue_filename,event01_cue_onset,event01_cue_type,event02_expect_RT,event02_expect_angle,event02_expect_angle_label,event02_expect_biopac,event02_expect_displayonset,event02_expect_responseonset,event03_stimulusC_RT,event03_stimulusC_reseponseonset,event03_stimulusC_response,event03_stimulusC_responsekeyname,event03_stimulus_C_stim_filename,event03_stimulus_C_stim_match,event03_stimulus_C_stim_num,event03_stimulus_P_delay_between_medoc,event03_stimulus_P_trigger,event03_stimulus_V_filename,event03_stimulus_V_patientid,event03_stimulus_biopac,event03_stimulus_displayonset,event03_stimulus_type,event04_actual_RT,event04_actual_angle,event04_actual_angle_label,event04_actual_biopac,event04_actual_displayonset,event04_actual_responseonset,param_cond_type,param_counterbalance_block_num,param_counterbalance_ver,param_cue_type,param_end_biopac,param_end_instruct_onset,param_experiment_duration,param_run_num,param_start_biopac,param_stimulus_type,param_task_name,param_trigger_onset,session_id,src_subject_id,trial_no
1616681073.9218302,1.68731832504272,1616681073.91158,1616681079.66977,6.33514928817749,1616681079.66375,1616681095.02162,7.0793559551239005,1616681095.01954,1616681072.32395,0.589434385299683,1616681072.31098,0.0823500156402588,1616681072.92207,l022.png,1616681072.9112,low_cue,1.78983807563782,42.854475645103,FIX,1616681075.6528,1616681075.64557,1616681077.43541,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1616681086.10785,1616681086.1066,high_stim,,,FIX,1616681102.12395,1616681102.12222,,3,1,3,low_cue,1616681468.14555,1616681468.1436,398.633279800415,0,1616681069.51584,high_stim,pain,1616681069.51032,4,2,1
1616681116.52137,2.08791589736938,1616681116.5109801,1616681122.63232,4.46894264221191,1616681122.62996,1616681136.12044,9.38052105903625,1616681136.11838,1616681106.28726,9.22622442245483,1616681106.2737901,0.0528068542480469,1616681115.52105,h047.png,1616681115.5106099,high_cue,1.7907030582427998,120.57024775024401,FIX,1616681118.61954,1616681118.6117802,1616681120.4024801,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1616681127.15427,1616681127.15258,med_stim,3.3682615756988503,112.83365417791799,FIX,1616681145.5231302,1616681145.52193,1616681148.8901901,5,1,3,high_cue,1616681468.14555,1616681468.1436,398.633279800415,0,1616681069.51584,med_stim,pain,1616681069.51032,4,2,2
1616681151.22117,2.0914952754974396,1616681151.2074,1616681157.34539,0.455848455429077,1616681157.34305,1616681166.82067,0.48560929298400896,1616681166.81329,1616681149.5705,0.643252611160278,1616681149.55678,0.0456311702728271,1616681150.22124,l014.png,1616681150.20703,low_cue,3.2680926322937,84.9993554024416,FIX,1616681153.3270302,1616681153.3248699,1616681156.59296,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1616681157.84743,1616681157.84542,low_stim,3.1056675910949703,71.9601882195855,FIX,1616681167.31995,1616681167.3134801,1616681170.41915,1,1,3,low_cue,1616681468.14555,1616681468.1436,398.633279800415,0,1616681069.51584,low_stim,pain,1616681069.51032,4,2,3
1616681180.82121,0.48032736778259294,1616681180.81857,1616681185.3390698,0.761956691741943,1616681185.33694,1616681195.12091,9.09160566329956,1616681195.10729,1616681171.3543801,8.45178174972534,1616681171.34833,0.0444200038909912,1616681179.82089,l042.png,1616681179.81819,low_cue,3.46876430511475,36.3158864239452,FIX,1616681181.31967,1616681181.31876,1616681184.78752,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1616681186.1452599,1616681186.14419,low_stim,2.2417051792144798,38.6963722437105,FIX,1616681204.22838,1616681204.2274,1616681206.46911,1,1,3,low_cue,1616681468.14555,1616681468.1436,398.633279800415,0,1616681069.51584,low_stim,pain,1616681069.51032,4,2,4
1616681214.32154,2.08436012268066,1616681214.3145401,1616681220.58765,3.51532912254333,1616681220.58357,1616681233.1245801,2.9772663116455096,1616681233.1216302,1616681208.2720098,5.03822374343872,1616681208.26226,0.0555012226104736,1616681213.32142,h031.png,1616681213.3141599,high_cue,3.6206247806549103,129.12737171893298,FIX,1616681216.41963,1616681216.4153302,1616681220.03596,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1616681224.15763,1616681224.15569,low_stim,,,FIX,1616681236.1234698,1616681236.12276,,4,1,3,high_cue,1616681468.14555,1616681468.1436,398.633279800415,0,1616681069.51584,low_stim,pain,1616681069.51032,4,2,5
1616681241.8210099,0.9906868934631351,1616681241.80824,1616681246.96161,0.338746547698975,1616681246.96019,1616681256.31588,2.78518652915955,1616681256.31371,1616681240.18771,0.6256422996520999,1616681240.17429,0.0969948768615723,1616681240.82105,h003.png,1616681240.80786,high_cue,3.60164570808411,100.859503235322,FIX,1616681242.82019,1616681242.80862,1616681246.41026,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1616681247.39721,1616681247.39646,med_stim,,,FIX,1616681259.12013,1616681259.11477,,5,1,3,high_cue,1616681468.14555,1616681468.1436,398.633279800415,0,1616681069.51584,med_stim,pain,1616681069.51032,4,2,6
1616681271.60414,0.9960887432098392,1616681271.60281,1616681276.88974,6.71076130867004,1616681276.88814,1616681292.62587,3.58816623687744,1616681292.6107302,1616681263.15404,7.450240850448611,1616681263.1496198,0.0244548320770264,1616681270.62079,h030.png,1616681270.6191099,high_cue,3.71821141242981,58.5150226234111,FIX,1616681272.62094,1616681272.61986,1616681276.33807,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1616681283.6252599,1616681283.6240802,low_stim,2.34083318710327,54.02454062622271,FIX,1616681296.22054,1616681296.21209,1616681298.55293,4,1,3,high_cue,1616681468.14555,1616681468.1436,398.633279800415,0,1616681069.51584,low_stim,pain,1616681069.51032,4,2,7
1616681305.32137,1.48337459564209,1616681305.31553,1616681310.83801,7.96462416648865,1616681310.83427,1616681327.8213198,2.0915563106536896,1616681327.8073401,1616681300.23776,4.06956481933594,1616681300.23027,0.0668990612030029,1616681304.3209,l047.png,1616681304.31515,low_cue,2.80358123779297,19.5582515369974,FIX,1616681306.82048,1616681306.81609,1616681309.61967,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1616681318.8694,1616681318.8673,high_stim,3.36813926696777,50.13452743503451,FIX,1616681329.92022,1616681329.9081302,1616681333.27627,3,1,3,low_cue,1616681468.14555,1616681468.1436,398.633279800415,0,1616681069.51584,high_stim,pain,1616681069.51032,4,2,8
1616681335.61251,2.08861398696899,1616681335.61029,1616681341.9875698,5.419547319412231,1616681341.97935,1616681356.42162,3.08076620101929,1616681356.4181302,1616681333.93762,0.67345929145813,1616681333.9263198,0.0704090595245361,1616681334.6212099,l051.png,1616681334.60991,low_cue,3.72526574134827,24.2702732593095,FIX,1616681337.7207599,1616681337.71108,1616681341.43634,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1616681347.4705,1616681347.46979,med_stim,1.91748189926147,25.423438552905502,FIX,1616681359.5204198,1616681359.5193,1616681361.43678,2,1,3,low_cue,1616681468.14555,1616681468.1436,398.633279800415,0,1616681069.51584,med_stim,pain,1616681069.51032,4,2,9
1616681366.00724,0.893818616867065,1616681366.00508,1616681370.94171,7.65862441062927,1616681370.94027,1616681387.62149,3.5856702327728303,1616681387.61323,1616681363.55449,1.46221947669983,1616681363.53748,0.0392820835113525,1616681365.02133,l033.png,1616681365.0047,low_cue,2.96808648109436,13.924773220409401,FIX,1616681366.92313,1616681366.92209,1616681369.89018,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1616681378.64026,1616681378.63917,med_stim,,,FIX,1616681391.22066,1616681391.21459,,2,1,3,low_cue,1616681468.14555,1616681468.1436,398.633279800415,0,1616681069.51584,med_stim,pain,1616681069.51032,4,2,10
