src_subject_id,session_id,param_task_name,param_run_num,param_counterbalance_ver,param_counterbalance_block_num,param_cue_type,param_stimulus_type,param_cond_type,param_trigger_onset,param_start_biopac,ITI_onset,ITI_biopac,ITI_duration,event01_cue_onset,event01_cue_biopac,event01_cue_type,event01_cue_filename,ISI01_onset,ISI01_biopac,ISI01_duration,event02_expect_displayonset,event02_expect_biopac,event02_expect_responseonset,event02_expect_RT,event02_expect_angle,event02_expect_angle_label,ISI02_onset,ISI02_biopac,ISI02_duration,event03_stimulus_type,event03_stimulus_displayonset,event03_stimulus_biopac,event03_stimulus_C_stim_match,event03_stimulusC_response,event03_stimulusC_responsekeyname,event03_stimulusC_reseponseonset,event03_stimulusC_RT,ISI03_onset,ISI03_biopac,ISI03_duration,event04_actual_displayonset,event04_actual_biopac,event04_actual_responseonset,event04_actual_RT,event04_actual_angle,event04_actual_angle_label,param_end_instruct_onset,param_end_biopac,param_experiment_duration,event03_stimulus_P_trigger,event03_stimulus_P_delay_between_medoc,event03_stimulus_V_patientid,event03_stimulus_V_filename,event03_stimulus_C_stim_num,event03_stimulus_C_stim_filename,param_C_stim_num,event03_C_stim_match,event03_C_stim_filename
24,3,cognitive,5,4,1,low_cue,med_stim,2,1621266725.44607,1621266725.45036,1621266728.24377,1621266728.24831,2.87848258018494,1621266731.14485,1621266731.14849,low_cue,l015.png,1621266732.12361,1621266732.12516,0.998632907867432,1621266733.17894,1621266733.1805,1621266735.5302,2.35126280784607,40.7573426827113,FIX,1621266737.1971,1621266737.19915,1.92514324188232,med_stim,1621266741.14858,1621266741.14947,,1,left,1621266744.78975,3.64117407798767,1621266748.13452,1621266748.14419,5.18773102760315,1621266753.33646,1621266753.34334,1621266755.80947,2.4730110168457,26.7808534692659,FIX,0,0,0,,0,,,0,,35,diff,35_100_R.jpg
24,3,cognitive,5,4,1,low_cue,low_stim,1,1621266725.44607,1621266725.45036,1621266757.50468,1621266757.50678,1.31756925582886,1621266758.83851,1621266758.84416,low_cue,l017.png,1621266759.82374,1621266759.82528,1.29850697517395,1621266761.13937,1621266761.14334,1621266763.39236,2.25299406051636,62.813319187748,FIX,1621266765.15753,1621266765.16097,4.76471543312073,low_stim,1621266771.94339,1621266771.94462,,2,right,1621266775.02775,3.08435368537903,1621266778.92933,1621266778.94339,1.89291405677795,1621266780.84671,1621266780.84785,1621266784.51513,3.66841053962708,19.781077107035,FIX,0,0,0,,0,,,0,,27,same,27_50.jpg
24,3,cognitive,5,4,1,low_cue,high_stim,3,1621266725.44607,1621266725.45036,1621266785.0983,1621266785.1,11.4239451885223,1621266796.5359,1621266796.5445,low_cue,l041.png,1621266797.52337,1621266797.52479,1.29887914657593,1621266798.85343,1621266798.85982,1621266800.92597,2.07254314422607,55.6697828044967,FIX,1621266802.8716,1621266802.8783,4.75065088272095,high_stim,1621266809.64079,1621266809.64603,,2,right,1621266812.98642,3.34562921524048,1621266816.6434,1621266816.64562,2.07884836196899,1621266818.74418,1621266818.74568,1621266821.71268,2.96849632263184,67.6448195542644,FIX,0,0,0,,0,,,0,,27,same,27_150.jpg
24,3,cognitive,5,4,1,high_cue,low_stim,4,1621266725.44607,1621266725.45036,1621266822.77902,1621266822.78032,3.34322834014893,1621266826.13027,1621266826.14431,high_cue,h051.png,1621266827.12348,1621266827.12532,1.79877090454102,1621266828.93131,1621266828.94286,1621266831.29906,2.36774969100952,110.089525009321,FIX,1621266832.94948,1621266832.95168,5.27276635169983,low_stim,1621266840.23553,1621266840.24339,,1,left,1621266841.91337,1.67784404754639,1621266847.23814,1621266847.24432,2.88410592079163,1621266850.13922,1621266850.14314,1621266852.0756,1.93638062477112,16.6543063769233,FIX,0,0,0,,0,,,0,,18,diff,18_50_R.jpg
24,3,cognitive,5,4,1,high_cue,med_stim,5,1621266725.44607,1621266725.45036,1621266854.17406,1621266854.17862,7.04818606376648,1621266861.24336,1621266861.24498,high_cue,h027.png,1621266862.22406,1621266862.22642,0.698185920715332,1621266862.944,1621266862.94472,NaN,NaN,NaN,FIX,1621266866.96216,1621266866.9637,6.26008319854736,med_stim,1621266875.24859,1621266875.25057,,1,left,1621266878.68109,3.43250560760498,1621266882.23452,1621266882.24501,2.88772249221802,1621266885.13561,1621266885.14299,1621266888.64246,3.50685620307922,67.5035284997674,FIX,0,0,0,,0,,,0,,43,diff,43_100_R.jpg
24,3,cognitive,5,4,1,high_cue,high_stim,6,1621266725.44607,1621266725.45036,1621266889.23714,1621266889.23873,6.78511118888855,1621266896.03967,1621266896.04366,high_cue,h052.png,1621266897.02325,1621266897.02492,0.798992156982422,1621266897.84034,1621266897.84293,1621266900.37566,2.53531646728516,75.1317186415018,FIX,1621266901.85851,1621266901.86065,2.56373691558838,high_stim,1621266906.44355,1621266906.44461,,NaN,NaN,NaN,NaN,1621266913.42949,1621266913.44401,2.89292740821838,1621266916.34725,1621266916.34833,1621266918.26473,1.91748404502869,54.1623470457217,FIX,0,0,0,,0,,,0,,44,same,44_150.jpg
24,3,cognitive,5,4,1,high_cue,low_stim,4,1621266725.44607,1621266725.45036,1621266920.38208,1621266920.38376,1.94016313552856,1621266922.33281,1621266922.34762,high_cue,h030.png,1621266923.32312,1621266923.32439,1.99913001060486,1621266925.33393,1621266925.34336,1621266927.04233,1.7084014415741,81.9348588192708,FIX,1621266929.3521,1621266929.35395,6.27015089988708,low_stim,1621266937.63852,1621266937.64306,,1,left,1621266942.6286,4.99007892608643,1621266944.64113,1621266944.64366,11.7811152935028,1621266956.44553,1621266956.44643,NaN,NaN,NaN,FIX,0,0,0,,0,,,0,,10,diff,10_50_R.jpg
24,3,cognitive,5,4,1,low_cue,high_stim,3,1621266725.44607,1621266725.45036,1621266960.48037,1621266960.48233,1.94187617301941,1621266962.4311,1621266962.44362,low_cue,l026.png,1621266963.42308,1621266963.42431,1.69916987419128,1621266965.13211,1621266965.14304,1621266966.56616,1.43405675888062,24.1022345011611,FIX,1621266969.15027,1621266969.15188,5.57197499275208,high_stim,1621266976.73643,1621266976.74314,,1,left,1621266980.7881,4.05167007446289,1621266983.73904,1621266983.74358,0.983200550079346,1621266984.73942,1621266984.743,1621266987.49234,2.75292539596558,60.4276092391856,FIX,0,0,0,,0,,,0,,38,diff,38_150_R.jpg
24,3,cognitive,5,4,1,high_cue,high_stim,6,1621266725.44607,1621266725.45036,1621266988.75758,1621266988.75974,4.96466302871704,1621266993.74278,1621266993.74565,high_cue,h029.png,1621266994.72309,1621266994.72439,1.99915194511414,1621266996.74389,1621266996.74481,1621266998.22807,1.48417639732361,72.3392713420061,FIX,1621267000.76206,1621267000.76379,1.86018753051758,high_stim,1621267004.63017,1621267004.64335,,2,right,1621267008.00059,3.37041783332825,1621267011.63278,1621267011.64411,9.48946642875671,1621267021.13633,1621267021.14343,1621267024.29237,3.15604090690613,32.029785156997,FIX,0,0,0,,0,,,0,,42,same,42_150.jpg
24,3,cognitive,5,4,1,low_cue,med_stim,2,1621266725.44607,1621266725.45036,1621267025.17116,1621267025.17266,2.15108561515808,1621267027.33864,1621267027.34492,low_cue,l024.png,1621267028.32312,1621267028.32452,1.29912304878235,1621267029.63949,1621267029.64335,1621267031.67565,2.03615117073059,19.2357271422572,FIX,1621267033.65766,1621267033.66075,6.26458549499512,med_stim,1621267041.94408,1621267041.94509,,2,right,1621267046.65254,4.70846080780029,1621267048.93002,1621267048.94391,4.19222545623779,1621267053.13159,1621267053.14335,1621267056.4924,3.3608078956604,49.6000956662633,FIX,0,0,0,,0,,,0,,47,same,47_100.jpg
