ISI01_biopac,ISI01_duration,ISI01_onset,ISI02_biopac,ISI02_duration,ISI02_onset,ISI03_biopac,ISI03_duration,ISI03_onset,ITI_biopac,ITI_duration,ITI_onset,delay_between_medoc,event01_cue_biopac,event01_cue_filename,event01_cue_onset,event01_cue_type,event02_expect_RT,event02_expect_angle,event02_expect_angle_label,event02_expect_biopac,event02_expect_displayonset,event02_expect_responseonset,event03_stimulusC_RT,event03_stimulusC_reseponseonset,event03_stimulusC_response,event03_stimulusC_responsekeyname,event03_stimulus_C_stim_filename,event03_stimulus_C_stim_match,event03_stimulus_C_stim_num,event03_stimulus_P_delay_between_medoc,event03_stimulus_P_trigger,event03_stimulus_V_filename,event03_stimulus_V_patientid,event03_stimulus_biopac,event03_stimulus_displayonset,event03_stimulus_type,event04_actual_RT,event04_actual_angle,event04_actual_angle_label,event04_actual_biopac,event04_actual_displayonset,event04_actual_responseonset,param_cond_type,param_counterbalance_block_num,param_counterbalance_ver,param_cue_type,param_end_biopac,param_end_instruct_onset,param_experiment_duration,param_run_num,param_start_biopac,param_stimulus_type,param_task_name,param_trigger_onset,session_id,src_subject_id,trial_no
1614182763.5034802,0.783005237579346,1614182763.50198,1614182768.3388698,4.64783310890198,1614182768.33715,1614182781.99794,3.99264001846313,1614182781.99234,1614182751.8995302,10.5877482891083,1614182751.89756,0.0562021732330322,1614182762.50305,l049.png,1614182762.5016,low_cue,3.30144548416138,4.15128526642169,FIX,1614182764.31926,1614182764.31895,1614182767.6204,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1614182773.0481,1614182773.0476198,low_stim,3.2029769420623797,26.8725389916558,FIX,1614182785.99677,1614182785.99387,1614182789.19684,1,2,5,low_cue,1614183147.61715,1614183147.61477,398.49287724494906,-1,1614182749.12314,low_stim,pain,1614182749.12189,4,3,1
1614182793.0981,1.9884147644043002,1614182793.09657,1614182799.1173801,4.66945886611938,1614182799.11553,1614182812.8056,6.48091793060303,1614182812.80406,1614182790.01397,2.07328915596008,1614182790.01206,0.0473439693450928,1614182792.09798,l032.png,1614182792.09619,low_cue,1.45075011253357,0.0,FIX,1614182795.0976698,1614182795.09733,1614182796.54808,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1614182803.8332,1614182803.83285,med_stim,2.3238508701324503,27.6943915931417,FIX,1614182819.30674,1614182819.30654,1614182821.63039,2,2,5,low_cue,1614183147.61715,1614183147.61477,398.49287724494906,-1,1614182749.12314,med_stim,pain,1614182749.12189,4,3,2
1614182828.79821,1.99150276184082,1614182828.7934802,1614182834.8148599,0.7725453376770021,1614182834.8124402,1614182844.60103,4.485490560531621,1614182844.59949,1614182823.3427699,4.4438986778259295,1614182823.34141,0.0454349517822266,1614182827.7983902,h030.png,1614182827.7931,high_cue,2.10284352302551,36.2663177589231,FIX,1614182830.7971098,1614182830.79424,1614182832.89709,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1614182835.6312802,1614182835.63091,med_stim,2.5011401176452597,31.484977376588898,FIX,1614182849.1015599,1614182849.1012099,1614182851.60235,5,2,5,high_cue,1614183147.61715,1614183147.61477,398.49287724494906,-1,1614182749.12314,med_stim,pain,1614182749.12189,4,3,3
1614182863.9985,0.8947796821594242,1614182863.9902,1614182868.92656,3.35956883430481,1614182868.92541,1614182881.29862,4.8881947994232195,1614182881.2967901,1614182853.13209,9.86590099334717,1614182853.1194,0.063683032989502,1614182862.9987,l004.png,1614182862.98982,low_cue,1.24010396003723,0.0,FIX,1614182864.90734,1614182864.90722,1614182866.14732,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1614182872.3496,1614182872.3492,high_stim,3.3014280796051003,32.1522951412823,FIX,1614182886.19902,1614182886.19865,1614182889.50008,3,2,5,low_cue,1614183147.61715,1614183147.61477,398.49287724494906,-1,1614182749.12314,high_stim,pain,1614182749.12189,4,3,4
1614182901.80637,0.6803934574127201,1614182901.80459,1614182906.53341,2.46193146705627,1614182906.52305,1614182917.99922,4.19090151786804,1614182917.99408,1614182890.23605,10.552303552627599,1614182890.23352,0.0458581447601318,1614182900.8055,h049.png,1614182900.80421,high_cue,2.0760955810546897,47.78870767984421,FIX,1614182902.51444,1614182902.50486,1614182904.58095,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1614182909.03255,1614182909.03172,med_stim,1.83545446395874,19.3885677146773,FIX,1614182922.1977198,1614182922.1956801,1614182924.03113,5,2,5,high_cue,1614183147.61715,1614183147.61477,398.49287724494906,-1,1614182749.12314,med_stim,pain,1614182749.12189,4,3,5
1614182928.89923,2.08675456047058,1614182928.89823,1614182935.01826,2.16775965690613,1614182935.01722,1614182946.20614,4.78016924858093,1614182946.20481,1614182926.23214,1.65453886985779,1614182926.23055,0.0656960010528564,1614182927.89885,l024.png,1614182927.89785,low_cue,1.45074844360352,0.0,FIX,1614182930.99924,1614182930.99903,1614182932.44978,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1614182937.25148,1614182937.25119,high_stim,2.48441219329834,34.8409440041532,FIX,1614182951.0079598,1614182951.00664,1614182953.49105,3,2,5,low_cue,1614183147.61715,1614183147.61477,398.49287724494906,-1,1614182749.12314,high_stim,pain,1614182749.12189,4,3,6
1614182957.29907,1.9926183223724399,1614182957.29236,1614182963.31565,5.27366423606873,1614182963.3113198,1614182977.60125,4.18489480018616,1614182977.60009,1614182955.03201,1.26027178764343,1614182955.02484,0.0602869987487793,1614182956.29924,l050.png,1614182956.29198,low_cue,2.12163472175598,0.0,FIX,1614182959.29842,1614182959.2931302,1614182961.4147599,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1614182968.64601,1614182968.64578,low_stim,1.73415207862854,9.9546069435557,FIX,1614182981.80196,1614182981.80169,1614182983.53584,1,2,5,low_cue,1614183147.61715,1614183147.61477,398.49287724494906,-1,1614182749.12314,low_stim,pain,1614182749.12189,4,3,7
1614182987.70507,0.6810510158538822,1614182987.7039301,1614182992.42314,4.86258745193481,1614182992.4224,1614183006.29917,3.1906452178955096,1614183006.2943401,1614182985.83258,0.865209579467773,1614182985.81988,0.0602531433105469,1614182986.70462,h047.png,1614182986.70355,high_cue,2.13427352905273,45.1632353974189,FIX,1614182988.40438,1614182988.4042,1614182990.53847,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1614182997.34606,1614182997.34574,high_stim,2.5029051303863503,35.1621490339668,FIX,1614183009.4985301,1614183009.49556,1614183011.99846,6,2,5,high_cue,1614183147.61715,1614183147.61477,398.49287724494906,-1,1614182749.12314,high_stim,pain,1614182749.12189,4,3,8
1614183018.39992,1.98603868484497,1614183018.39894,1614183024.41885,2.16708278656006,1614183024.4179,1614183035.60659,5.67949438095093,1614183035.60549,1614183013.51549,3.87132620811462,1614183013.51375,0.0628848075866699,1614183017.39983,h054.png,1614183017.39856,high_cue,3.05134272575378,72.84477033136541,FIX,1614183020.40006,1614183020.3997,1614183023.45105,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1614183026.6489599,1614183026.64859,high_stim,3.5577425956726096,22.867056299772702,FIX,1614183041.30791,1614183041.3076599,1614183044.8654,6,2,5,high_cue,1614183147.61715,1614183147.61477,398.49287724494906,-1,1614182749.12314,high_stim,pain,1614182749.12189,4,3,9
1614183050.20013,1.79061055183411,1614183050.19437,1614183056.01683,10.571730852127098,1614183056.01325,1614183075.6054199,2.18094301223755,1614183075.6040401,1614183045.43293,3.7591936588287402,1614183045.42589,0.0498008728027344,1614183049.19984,h027.png,1614183049.19399,high_cue,2.6204776763916002,61.371129094465104,FIX,1614183051.99894,1614183051.99506,1614183054.61554,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1614183066.63545,1614183066.6352198,low_stim,3.2347464561462402,0.46205272143076503,FIX,1614183077.8053,1614183077.8048801,1614183081.03962,4,2,5,high_cue,1614183147.61715,1614183147.61477,398.49287724494906,-1,1614182749.12314,low_stim,pain,1614182749.12189,4,3,10
