ISI01_biopac,ISI01_duration,ISI01_onset,ISI02_biopac,ISI02_duration,ISI02_onset,ISI03_biopac,ISI03_duration,ISI03_onset,ITI_biopac,ITI_duration,ITI_onset,delay_between_medoc,event01_cue_biopac,event01_cue_filename,event01_cue_onset,event01_cue_type,event02_expect_RT,event02_expect_angle,event02_expect_angle_label,event02_expect_biopac,event02_expect_displayonset,event02_expect_responseonset,event03_stimulusC_RT,event03_stimulusC_reseponseonset,event03_stimulusC_response,event03_stimulusC_responsekeyname,event03_stimulus_C_stim_filename,event03_stimulus_C_stim_match,event03_stimulus_C_stim_num,event03_stimulus_P_delay_between_medoc,event03_stimulus_P_trigger,event03_stimulus_V_filename,event03_stimulus_V_patientid,event03_stimulus_biopac,event03_stimulus_displayonset,event03_stimulus_type,event04_actual_RT,event04_actual_angle,event04_actual_angle_label,event04_actual_biopac,event04_actual_displayonset,event04_actual_responseonset,param_cond_type,param_counterbalance_block_num,param_counterbalance_ver,param_cue_type,param_end_biopac,param_end_instruct_onset,param_experiment_duration,param_run_num,param_start_biopac,param_stimulus_type,param_task_name,param_trigger_onset,session_id,src_subject_id,trial_no
1613680682.1097698,2.0945250988006596,1613680682.10817,1613680688.2449,1.2588894367218002,1613680688.24381,1613680698.52489,2.18836784362793,1613680698.5143301,1613680679.82517,1.2790389060974099,1613680679.82398,0.0560300350189209,1613680681.12504,h010.png,1613680681.1078,high_cue,1.91756176948547,67.4161474793436,FIX,1613680684.2258198,1613680684.22563,1613680686.1431901,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1613680689.5643198,1613680689.56392,med_stim,3.2753818035125697,53.695502877424794,FIX,1613680700.72406,1613680700.71515,1613680703.99054,5,1,2,high_cue,1613681075.45698,1613681075.4558,398.415405035019,3,1613680677.04149,med_stim,pain,1613680677.0404,4,5,1
1613680711.5254,2.08348774909973,1613680711.5192099,1613680717.64215,6.86452341079712,1613680717.63817,1613680733.51224,5.89189910888672,1613680733.5108,1613680704.75141,5.753016710281369,1613680704.75,0.042003870010376,1613680710.5250099,l047.png,1613680710.51883,low_cue,2.0373156070709197,20.0423167448936,FIX,1613680713.62399,1613680713.62,1613680715.65731,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1613680724.54567,1613680724.5453,low_stim,3.31102609634399,18.0700124871914,FIX,1613680739.4240901,1613680739.41301,1613680742.72404,1,1,2,low_cue,1613681075.45698,1613681075.4558,398.415405035019,3,1613680677.04149,low_stim,pain,1613680677.0404,4,5,2
1613680749.61819,0.985854148864746,1613680749.6168401,1613680754.6417198,6.867303848266599,1613680754.63539,1613680770.50915,3.59468150138855,1613680770.50801,1613680743.4416199,5.1718254089355495,1613680743.43119,0.0395059585571289,1613680748.61796,h036.png,1613680748.6164699,high_cue,1.65691924095154,93.4612538779541,FIX,1613680750.62422,1613680750.61722,1613680752.2741401,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1613680761.54372,1613680761.5431,low_stim,2.3843352794647203,42.0559536500124,FIX,1613680774.12422,1613680774.10937,1613680776.4937,4,1,2,high_cue,1613681075.45698,1613681075.4558,398.415405035019,3,1613680677.04149,low_stim,pain,1613680677.0404,4,5,3
1613680783.61456,2.08976101875305,1613680783.61293,1613680789.7334301,5.17079830169678,1613680789.7319,1613680803.92528,0.582139253616333,1613680803.92056,1613680778.1419199,4.47548127174377,1613680778.12754,0.0347220897674561,1613680782.6137,h026.png,1613680782.61256,high_cue,2.01040601730347,57.1524567347606,FIX,1613680785.72411,1613680785.7137198,1613680787.7241302,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1613680794.93888,1613680794.93828,high_stim,3.8367073535919203,59.1591077102931,FIX,1613680804.5242,1613680804.52078,1613680808.35749,6,1,2,high_cue,1613681075.45698,1613681075.4558,398.415405035019,3,1613680677.04149,high_stim,pain,1613680677.0404,4,5,4
1613680810.82534,2.07954978942871,1613680810.82315,1613680816.94392,1.26058578491211,1613680816.94211,1613680827.2263699,2.19006514549255,1613680827.21263,1613680808.9267302,0.881072282791138,1613680808.92243,0.0940470695495605,1613680809.82652,h038.png,1613680809.8227699,high_cue,2.1676428318023704,70.1148348861446,FIX,1613680812.92417,1613680812.92394,1613680815.0915802,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1613680818.2996302,1613680818.29834,low_stim,1.96076059341431,27.28636280995,FIX,1613680829.4242802,1613680829.41346,1613680831.37422,4,1,2,high_cue,1613681075.45698,1613681075.4558,398.415405035019,3,1613680677.04149,low_stim,pain,1613680677.0404,4,5,5
1613680841.31918,0.984769582748413,1613680841.31793,1613680846.3419302,5.166221618652339,1613680846.33647,1613680860.5094302,0.994233846664429,1613680860.50846,1613680833.44941,6.8544921875,1613680833.4483,0.0467739105224609,1613680840.31905,h037.png,1613680840.31755,high_cue,2.47264194488525,51.1213674266183,FIX,1613680842.32425,1613680842.3183,1613680844.79094,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1613680851.55032,1613680851.54995,med_stim,3.8017005920410196,37.1910075397043,FIX,1613680861.5257099,1613680861.52551,1613680865.32721,5,1,2,high_cue,1613681075.45698,1613681075.4558,398.415405035019,3,1613680677.04149,med_stim,pain,1613680677.0404,4,5,6
1613680874.91488,1.3888270854949998,1613680874.9138699,1613680880.3336198,2.5701284408569305,1613680880.3325698,1613680891.9212801,9.48244476318359,1613680891.92025,1613680865.89499,8.0089647769928,1613680865.8938198,0.0610401630401611,1613680873.91454,l030.png,1613680873.91349,low_cue,1.5266044139862098,12.7619266829967,FIX,1613680876.3245301,1613680876.31439,1613680877.841,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1613680882.96576,1613680882.96478,high_stim,2.43454360961914,35.8583597764751,FIX,1613680901.42497,1613680901.42382,1613680903.85836,3,1,2,low_cue,1613681075.45698,1613681075.4558,398.415405035019,3,1613680677.04149,high_stim,pain,1613680677.0404,4,5,7
1613680909.4114199,1.8925468921661397,1613680909.41015,1613680915.3301198,2.57365870475769,1613680915.32904,1613680926.91799,7.085976839065549,1613680926.91672,1613680905.4424698,2.96080589294434,1613680905.4419901,0.0419590473175049,1613680908.4107301,l045.png,1613680908.40977,low_cue,3.0514073371887203,45.6700955222245,FIX,1613680911.3244698,1613680911.31086,1613680914.3622699,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1613680917.9454699,1613680917.94516,med_stim,2.9385097026825,38.3375228934037,FIX,1613680934.02445,1613680934.01938,1613680936.95789,2,1,2,low_cue,1613681075.45698,1613681075.4558,398.415405035019,3,1613680677.04149,med_stim,pain,1613680677.0404,4,5,8
1613680948.40921,0.794575691223145,1613680948.40812,1613680953.24432,2.5594286918640097,1613680953.24327,1613680964.81549,4.58841896057129,1613680964.81428,1613680938.0414698,9.36522841453552,1613680938.03756,0.035006046295166,1613680947.40855,h004.png,1613680947.40774,high_cue,2.25101184844971,33.0527658954005,FIX,1613680949.2253401,1613680949.22509,1613680951.4761,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1613680955.83855,1613680955.83826,high_stim,1.7085440158844,34.071609807394196,FIX,1613680969.4247198,1613680969.4160001,1613680971.12455,6,1,2,high_cue,1613681075.45698,1613681075.4558,398.415405035019,3,1613680677.04149,high_stim,pain,1613680677.0404,4,5,9
1613680975.71966,1.4843285083770799,1613680975.71837,1613680981.24225,2.0655882358551003,1613680981.23711,1613680992.30894,2.6947689056396498,1613680992.30793,1613680973.4419198,1.26862049102783,1613680973.43418,0.0311949253082275,1613680974.71931,l009.png,1613680974.71799,low_cue,2.30573415756226,6.66961984231233,FIX,1613680977.22466,1613680977.21893,1613680979.52467,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1613680983.3348,1613680983.33448,med_stim,2.8179128170013397,14.427144280549701,FIX,1613680995.02588,1613680995.02562,1613680997.8435302,2,1,2,low_cue,1613681075.45698,1613681075.4558,398.415405035019,3,1613680677.04149,med_stim,pain,1613680677.0404,4,5,10
