"","sub","ses","run","task","trialindex","IV_cuelevel","IV_stimintensity","RATING_expectation","RATING_outcome"
"1",6,1,2,"pain",1,"low_cue","med_stim",30.5702477502442,117.859650695242
"2",6,1,2,"pain",2,"low_cue","low_stim",75.8523946129983,66.4368601352252
"3",6,1,2,"pain",3,"low_cue","high_stim",80.7823557900613,135
"4",6,1,2,"pain",4,"high_cue","low_stim",102.425942865427,49.0972836052083
"5",6,1,2,"pain",5,"high_cue","med_stim",90.2387310330989,84.7831109681655
"6",6,1,2,"pain",6,"high_cue","high_stim",73.0338518914638,100.140793146113
"7",6,1,2,"pain",7,"high_cue","low_stim",113.04677375312,57.970214843003
"8",6,1,2,"pain",8,"low_cue","high_stim",54.0578881286177,113.168387153497
"9",6,1,2,"pain",9,"high_cue","high_stim",92.5396804503407,97.6404067610268
"10",6,1,2,"pain",10,"low_cue","med_stim",82.0672416858279,61.1690316876096
"11",6,1,2,"pain",11,"high_cue","med_stim",53.1761970984455,67.1329437002273
"12",6,1,2,"pain",12,"low_cue","low_stim",63.2170951978248,45.4869212478131
"13",6,1,4,"pain",1,"low_cue","med_stim",91.6299278853842,159.390307062468
"14",6,1,4,"pain",2,"high_cue","low_stim",91.6233325250905,86.4677054161091
"15",6,1,4,"pain",3,"low_cue","high_stim",94.4525716313657,129.139723018529
"16",6,1,4,"pain",4,"high_cue","med_stim",115.717855557001,86.4087409627945
"17",6,1,4,"pain",5,"low_cue","med_stim",113.629377730657,46.9525090493996
"18",6,1,4,"pain",6,"low_cue","high_stim",91.1503630613297,150.140983835077
"19",6,1,4,"pain",7,"high_cue","high_stim",107.700427788667,109.637833051069
"20",6,1,4,"pain",8,"low_cue","low_stim",81.7704834376051,52.4873881971436
"21",6,1,4,"pain",9,"low_cue","low_stim",90.9240453527727,49.7231117897903
"22",6,1,4,"pain",10,"high_cue","low_stim",79.7778313663639,60.5615103253285
"23",6,1,4,"pain",11,"high_cue","med_stim",89.0289780689208,99.2355590931659
"24",6,1,4,"pain",12,"high_cue","high_stim",98.764100827878,119.345216173295
"25",6,3,2,"pain",1,"low_cue","low_stim",54.6496501050374,77.5971168782348
"26",6,3,2,"pain",2,"low_cue","med_stim",30.8849453307286,59.4297522497558
"27",6,3,2,"pain",3,"low_cue","low_stim",84.7014349301001,22.5309792304654
"28",6,3,2,"pain",4,"low_cue","high_stim",74.8459319496874,41.0995062576181
"29",6,3,2,"pain",5,"high_cue","med_stim",143.834523165536,99.1178627537958
"30",6,3,2,"pain",6,"high_cue","high_stim",109.246031801488,80.6144817399569
"31",6,3,2,"pain",7,"high_cue","med_stim",100.784297867563,80.9914962579748
"32",6,3,2,"pain",8,"high_cue","low_stim",76.7462843735046,60.0498634620727
"33",6,3,2,"pain",9,"high_cue","low_stim",58.5594518705341,23.1683871534975
"34",6,3,2,"pain",10,"high_cue","high_stim",75.3890939617746,96.4722703029031
"35",6,3,2,"pain",11,"low_cue","med_stim",29.2328174575243,49.7231117897903
"36",6,3,2,"pain",12,"low_cue","high_stim",27.0812154068428,61.574007756909
"37",6,3,5,"pain",1,"high_cue","low_stim",86.4531463425004,78.2317110679794
"38",6,3,5,"pain",2,"high_cue","low_stim",79.2807247406265,53.4985588794937
"39",6,3,5,"pain",3,"high_cue","med_stim",95.4515510987127,50.0472149986114
"40",6,3,5,"pain",4,"low_cue","med_stim",NA,57.1402479602782
"41",6,3,5,"pain",5,"high_cue","high_stim",87.6909372109743,24.1022345011611
"42",6,3,5,"pain",6,"low_cue","high_stim",56.2454828054629,60.1972149536823
"43",6,3,5,"pain",7,"high_cue","high_stim",80.7644409068341,35.8583597764751
"44",6,3,5,"pain",8,"high_cue","med_stim",70.9065079995144,58.2985703304943
"45",6,3,5,"pain",9,"low_cue","low_stim",33.5608777121928,36.6388675289486
"46",6,3,5,"pain",10,"low_cue","high_stim",42.0726520082591,52.4873881971436
"47",6,3,5,"pain",11,"low_cue","low_stim",53.8203795520211,9.04466653441065
"48",6,3,5,"pain",12,"low_cue","med_stim",32.4184499496431,27.4991387310472
"49",6,4,1,"pain",1,"low_cue","high_stim",48.4085744224852,63.5406604732907
"50",6,4,1,"pain",2,"high_cue","med_stim",78.318625212609,30.4418052151987
"51",6,4,1,"pain",3,"low_cue","low_stim",43.8639719603119,17.7097245238628
"52",6,4,1,"pain",4,"low_cue","low_stim",41.1413196632279,8.58793559647603
"53",6,4,1,"pain",5,"high_cue","low_stim",96.546290783294,57.796960725595
"54",6,4,1,"pain",6,"high_cue","med_stim",60.8085431846313,71.4893632693038
"55",6,4,1,"pain",7,"high_cue","low_stim",46.8052865215132,46.3169124057933
"56",6,4,1,"pain",8,"low_cue","high_stim",23.8925023080266,56.5877280160973
"57",6,4,1,"pain",9,"low_cue","med_stim",49.9554489400522,51.1964134291043
"58",6,4,1,"pain",10,"low_cue","med_stim",31.5169399725947,19.6851075818423
"59",6,4,1,"pain",11,"high_cue","high_stim",63.7497576303111,47.1090897372578
"60",6,4,1,"pain",12,"high_cue","high_stim",75.4917113567546,60.3722279513457
"61",6,4,6,"pain",1,"high_cue","high_stim",41.1413196632279,79.5922886875099
"62",6,4,6,"pain",2,"low_cue","high_stim",52.8089924602957,66.8335800497948
"63",6,4,6,"pain",3,"low_cue","high_stim",16.297488437888,41.9190641134269
"64",6,4,6,"pain",4,"high_cue","high_stim",68.6293777306568,39.8055710922652
"65",6,4,6,"pain",5,"low_cue","low_stim",8.29714496983688,16.260204708312
"66",6,4,6,"pain",6,"high_cue","low_stim",55.6096855912874,5.1731688792066
"67",6,4,6,"pain",7,"low_cue","med_stim",49.3987053549955,52.9921513056854
"68",6,4,6,"pain",8,"high_cue","med_stim",84.6742593752323,31.9081069356532
"69",6,4,6,"pain",9,"high_cue","med_stim",39.3055692822446,24.2277453179542
"70",6,4,6,"pain",10,"low_cue","med_stim",12.6055773543846,12.6572733672233
"71",6,4,6,"pain",11,"high_cue","low_stim",53.4985588794937,20.9055693369155
