bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	spikes_num	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-0001_ses-03_task-alignvideo_acq-mb8_run-01_bold	0.000962908	0.020538669	3	37.7301141	1.232284699	1.000761333	0.465043682	6031.667969	0.07553855	0	0	2.640037777	2.503981981	2.901923764	2.514207585	0.00318409	-0.01374647	0.022649366	1152	82	82	56	5.25957767	0.460000008	2.682926655	2.682927132	2.699999809	5	39.34773437	33.86819458	145.0670624	41.3828125	258097	15.25347233	672.2329956	276.5656128	5.346602103	408.402832	3230.298584	3306.897949	62516	2054.151306	4024.770752	628.7332764	39.29689789
sub-0001_ses-03_task-alignvideo_acq-mb8_run-02_bold	0.000817696	0.021306482	2	37.76962333	1.231937768	0.998781345	0.466860569	5839.622559	0.079887707	0	0	2.644862114	2.502218981	2.904104218	2.528263142	0.00380911	-0.013996859	0.023551488	1328	82	82	56	5.262353771	0.460000008	2.682926655	2.682927132	2.699999809	34	39.93210371	35.04322052	146.7464447	41.85541916	257926	15.02654314	678.6626129	276.0289917	5.149905792	408.4243469	3215.766113	3290.845459	62723	2038.442346	4006.923828	625.3511963	38.35771942
sub-0001_ses-03_task-alignvideo_acq-mb8_run-03_bold	0.000317628	0.016676364	3	37.62455567	1.24081646	1.003835588	0.466088725	5975.534668	0.072395641	0	0	2.620046947	2.48129407	2.878591039	2.500255732	0.00616437	-0.013797556	0.022646934	1058	82	82	56	5.280586061	0.460000008	2.682926655	2.682927132	2.699999809	2	40.11188018	33.81678391	146.6785278	41.44234467	258060	15.31285477	689.021756	280.1716003	5.226025727	410.7720337	3226.016602	3300.516113	62549	2062.381836	4022.158789	625.0233765	43.88331223
sub-0001_ses-03_task-learnining_acq-mb8_run-01_bold	0.004711275	0.019941496	1	37.8630609	1.266614159	1.169984384	0.466157645	6006.243652	0.08212598	0	0	2.658768263	2.506494163	2.93203267	2.537777957	0.00525479	-0.016339473	0.022769615	886	82	82	56	5.255077457	0.460000008	2.682926655	2.682927132	2.699999809	17	44.03694176	35.0151825	142.6160889	41.05530548	257437	13.93792343	654.0421997	272.3172302	5.103932393	416.5844421	3199.536865	3269.723633	63069	2061.008838	4004.156982	622.1978149	39.19401169
sub-0001_ses-03_task-learnining_acq-mb8_run-02_bold	0.00266491	0.018967014	1	36.63924397	1.231597756	1.061834179	0.469823028	5471.086914	0.082563476	0	0	2.664632646	2.519614164	2.937157669	2.537126105	0.00577137	-0.018407667	0.019094717	886	82	82	56	5.256285363	0.460000008	2.682926655	2.682927132	2.699999809	29	43.4908795	37.11525726	150.1282501	42.8837471	257023	13.95711136	705.3000366	285.3300781	5.067546089	413.8117981	3195.199951	3267.504639	63259	2046.220239	3990.13418	621.6326904	40.10840225
sub-0001_ses-03_task-learnining_acq-mb8_run-03_bold	0.000649661	0.015788727	1	36.55170012	1.213483959	1.015381198	0.471117254	5239.70459	0.076763459	0	0	2.632977885	2.494160617	2.905002491	2.499770547	0.00936508	-0.019102773	0.017964456	886	82	82	56	5.201505145	0.460000008	2.682926655	2.682927132	2.699999809	3	41.27658573	36.66679764	154.8614197	43.79909897	257179	15.66027164	735.3860413	294.8175354	5.142630997	414.2834473	3199.234375	3275.024902	63089	2023.468042	4000.237646	629.6252441	44.53494644
sub-0001_ses-03_task-learnining_acq-mb8_run-04_bold	0.000345729	0.015459106	2	36.08263701	1.199271195	1.002136077	0.470972938	5259.560059	0.068794505	0	0	2.633532875	2.496385799	2.902508946	2.50170388	0.0037614	-0.01923327	0.017689886	885	82	82	56	5.224353841	0.460000008	2.682926655	2.682927132	2.699999809	2	40.00598685	36.74759293	156.4233093	43.86836243	257426	15.72768402	742.4090729	298.4401245	5.127145375	415.1478271	3207.352783	3283.739746	62926	2028.456543	4006.050964	628.5396729	45.4529686
sub-0001_ses-03_task-shortvideo_acq-mb8_run-01_bold	0.001331035	0.019238741	2	37.9683226	1.246266752	1.016255324	0.464384731	6216.111328	0.080802209	0	0	2.639901488	2.502453799	2.898535673	2.518714993	0.00311251	-0.014174518	0.02264902	1614	82	82	56	5.305976913	0.460000008	2.682926655	2.682927132	2.699999809	23	39.24328646	34.2146759	143.8191071	40.79677963	258004	14.096035	668.5244141	275.2235107	5.209870132	408.8637695	3231.185791	3305.487793	62543	2061.310718	4027.247437	622.9694214	40.51934814
sub-0002_ses-02_task-alignvideo_acq-mb8_run-01_bold	0.003861134	0.047158333	1	41.68896865	1.126751188	0.987731707	0.440592495	7813.455078	0.42213328	90	10.7398568	2.777299884	2.537858939	3.176981269	2.617059444	0.0187504	-0.012234595	0.022763966	838	82	82	56	5.043579082	0.460000008	2.682926893	2.68292737	2.699999809	25	30.19444984	28.9089756	114.8473816	36.46420288	262541	12.31622982	466.5990601	234.3032837	5.171981237	408.6210938	3187.837158	3264.939453	59140	1913.444073	3984.879846	647.340271	24.81433487
sub-0002_ses-02_task-alignvideo_acq-mb8_run-02_bold	0.001701433	0.026765261	3	36.89800337	1.256938299	1.022837008	0.443845848	6944.147461	0.101728475	0	0	2.711072486	2.493500668	3.089438832	2.550277958	0.00784752	-0.013387376	0.022280732	1856	82	82	56	5.034930759	0.460000008	2.682926893	2.68292737	2.699999809	17	29.3961941	29.83576965	120.9935532	38.44073105	262554	14.46228409	496.5338547	245.1649628	5.14808	415.9725342	3197.291504	3274.451172	59078	1927.881323	4004.945215	650.3413086	33.45343399
sub-0002_ses-02_task-alignvideo_acq-mb8_run-03_bold	0.000654359	0.028168929	4	36.66893853	1.19249705	0.98045405	0.444361319	7063.833496	0.090606472	0	0	2.706071588	2.479657577	3.087627378	2.55092981	0.00461213	-0.012879897	0.020717474	1154	82	82	56	5.087530778	0.460000008	2.682926893	2.68292737	2.699999809	3	28.75209977	29.33984947	121.8856049	38.15164566	262605	14.45667267	503.8225342	248.3306732	5.149640237	415.3125	3194.8125	3269.550293	58997	1956.382886	3994.93042	642.6541138	33.10955048
sub-0002_ses-02_task-alignvideo_acq-mb8_run-04_bold	0.0004875	0.025088682	2	37.258057	1.199343201	0.96348226	0.446473749	6734.766602	0.094899376	1	0.109649123	2.713217425	2.492490577	3.087168923	2.559992773	0.00673946	-0.01397502	0.021357823	912	82	82	56	5.052275764	0.460000008	2.682926893	2.68292737	2.699999809	2	27.60296462	30.14136887	124.2965546	38.9375	262353	14.91184235	514.339917	249.2065582	5.031355241	417.8256226	3189.758301	3267.686523	59261	1938.025269	3994.78833	646.7697144	34.81473923
sub-0002_ses-02_task-faces_acq-mb8_run-01_bold	0.010531204	0.043887586	0	40.4723229	1.248229539	1.105152246	0.443061019	6710.238281	0.292545125	68	7.439824945	2.758886889	2.526252212	3.168305024	2.58210343	0.0125668	-0.015553292	0.020986602	914	82	82	56	5.003581539	0.460000008	2.682926893	2.682926655	2.700000286	94	32.90169543	30.09487915	119.0776215	39.16137695	262632	15.08096313	468.4154785	238.4262848	4.994323609	419.7315369	3188.273193	3258.498291	59056	1928.292419	4016.175659	651.2276611	26.08072281
sub-0002_ses-02_task-faces_acq-mb8_run-02_bold	0.001405033	0.032783307	0	38.16889143	1.172673584	0.990646444	0.441870699	7163.20166	0.229665338	20	2.188183807	2.727994954	2.506598304	3.115642384	2.561744173	0.0129681	-0.015294491	0.019501615	914	82	82	56	5.102991277	0.460000008	2.682926893	2.682926655	2.700000286	12	37.20730585	29.44766045	120.3092117	38.06674194	262852	14.34633527	474.8162506	256.5728149	5.213941811	413.85849	3206.479248	3275.995605	58874	1979.250684	4018.644678	641.9700928	30.36465073
sub-0002_ses-02_task-faces_acq-mb8_run-03_bold	0.00042756	0.017615772	0	38.2039516	1.25465108	0.995234622	0.442386016	7101.064941	0.112909942	0	0	2.613447594	2.417468033	2.970860193	2.452014555	0.0384034	-0.016254798	0.020157756	914	82	82	56	5.300984723	0.460000008	2.682926893	2.682926655	2.700000286	0	39.50198061	27.49383736	121.8303604	37.78555679	263092	15.65098476	484.7270844	264.3433838	5.1645197	413.712616	3209.468994	3268.408203	58577	2092.021631	4013.201074	616.5609741	41.16401672
sub-0002_ses-02_task-narratives_acq-mb8_run-01_bold	0.001816674	0.015650444	2	38.25620787	1.296123122	1.032959075	0.438130478	7826.498047	0.114518416	7	0.725388601	2.62100747	2.412767942	2.994595467	2.455658999	0.00688441	-0.015803462	0.020143492	965	82	82	56	5.306598891	0.460000008	2.682926893	2.682926655	2.700000286	8	39.33546954	26.31657791	114.005127	36.05285263	263318	14.90777302	441.7836502	247.8812866	5.038464575	417.5912476	3216.180908	3269.931641	58368	2112.165527	4022.439307	616.1957397	43.80127716
sub-0002_ses-02_task-narratives_acq-mb8_run-02_bold	0.001719534	0.023321148	3	38.23768959	1.214807683	0.980689546	0.439048931	7382.856934	0.138473291	18	1.643835616	2.668443901	2.459970123	3.041406289	2.50395529	0.00735858	-0.015766397	0.020397989	1095	82	82	56	5.229220365	0.460000008	2.682926893	2.682926655	2.700000286	12	37.77654721	27.94129753	116.2843628	37.1648407	263222	14.76255703	451.4499969	253.2539215	5.199697395	410.6536865	3202.946289	3259.355225	58463	2058.789819	4007.612915	623.2912598	36.76689148
sub-0002_ses-02_task-narratives_acq-mb8_run-03_bold	0.001715448	0.041767103	2	39.52046903	1.159401143	0.968285645	0.438056135	7984.280762	0.210629764	47	3.62654321	2.770248812	2.534795121	3.168640479	2.607310835	0.0091356	-0.013849678	0.020674894	1296	82	82	56	5.112753693	0.460000008	2.682926893	2.682926655	2.700000286	29	36.38905381	27.07464981	112.2246933	36.22993851	262697	14.16898155	435.2310242	236.8288727	5.143923629	413.1928406	3201.414795	3272.834229	58911	1986.7099	4006.964111	640.1259766	26.93973541
sub-0002_ses-02_task-narratives_acq-mb8_run-04_bold	0.004814488	0.036035316	4	41.33988798	1.216948696	1.024241971	0.441146579	7210.535156	0.324095419	82	7.118055556	2.738166354	2.506121213	3.132422567	2.575955283	0.0130462	-0.014327532	0.022832979	1152	82	82	56	5.173497424	0.460000008	2.682926893	2.682926655	2.700000286	35	31.21825581	28.46802521	115.1476974	37.71180725	262750	14.93489552	453.1042191	234.3377075	5.229259585	411.6885376	3198.139648	3269.473145	59007	1994.071289	3991.678931	631.9603882	28.6731739
sub-0002_ses-03_task-alignvideo_acq-mb8_run-01_bold	0.001561134	0.019400436	2	34.6660366	1.207833425	1.069356673	0.443515659	7091.587891	0.111429599	3	0.25974026	2.601851384	2.382043822	2.951425405	2.472084923	0.0256742	-0.013376265	0.031088114	1155	82	82	56	5.40185673	0.460000008	2.682927132	2.68292737	2.700000286	6	39.54037579	33.20643997	134.6496735	43.52121353	262243	17.13255386	533.6671204	276.1819153	4.90303736	478.769043	3682.55127	3749.250244	59247	2414.753638	4589.826367	694.0610962	38.63116074
sub-0002_ses-03_task-alignvideo_acq-mb8_run-02_bold	0.001913685	0.032028312	0	34.90936366	1.112678937	0.962080218	0.444560796	7047.114746	0.150999283	23	1.722846442	2.641107602	2.411847092	2.987538943	2.52393677	0.0192352	-0.013933667	0.03187314	1335	82	82	56	5.350809205	0.460000008	2.682927132	2.68292737	2.700000286	18	39.30501179	33.09090424	136.4254456	43.67752838	262334	17.58876419	535.7343475	279.4597473	5.227220755	472.6998291	3690.965576	3763.869141	59254	2405.026306	4586.221265	703.4146118	30.54672813
sub-0002_ses-03_task-alignvideo_acq-mb8_run-03_bold	0.002048233	0.033156172	1	35.14715018	1.131421929	0.974863091	0.446245143	6515.240234	0.157797035	15	1.409774436	2.697040496	2.466250358	3.059445474	2.565425654	0.016377	-0.014724044	0.0292939	1064	82	82	56	5.114580398	0.460000008	2.682927132	2.68292737	2.700000286	21	37.05841433	35.76848221	141.57341	45.9102478	261938	17.95676804	563.6762146	285.2516479	5.001216905	484.7593689	3680.646484	3767.566895	59582	2277.191504	4606.568799	736.6264648	29.69026184
sub-0002_ses-03_task-shortvideo_acq-mb8_run-01_bold	0.00262349	0.048224894	3	36.75236069	1.08176327	0.996265633	0.439847611	7810.427246	0.309905037	95	5.889646621	2.79933873	2.546781804	3.206512445	2.644721942	0.00841902	-0.00982186	0.034892395	1613	82	82	56	4.877152485	0.460000008	2.682927132	2.68292737	2.700000286	48	41.11628923	31.48025513	123.0306778	41.5220108	261697	14.91940498	472.2904053	248.048584	4.679306974	495.3954468	3629.425781	3726.406738	60212	2073.499548	4575.000659	764.0474243	23.46250153
sub-0002_ses-03_task-social_acq-mb8_run-01_bold	0.001601814	0.033180056	1	34.30667734	1.101489723	0.963113292	0.434537361	8917.467773	0.135307461	7	0.803673938	2.701090804	2.457949941	3.088544287	2.556778184	0.00638506	-0.009035778	0.030919638	871	82	82	56	5.1341271	0.460000008	2.682926893	2.68292737	2.699999571	5	44.28318002	27.71325493	114.5760498	39.16417694	262097	15.68197441	434.1212341	239.2811584	5.099546193	473.2939758	3663.51001	3749.469971	59654	2268.285327	4588.145581	730.2971802	30.6548481
sub-0002_ses-03_task-social_acq-mb8_run-02_bold	0.007462328	0.067257314	0	42.30928907	1.049729333	0.957891794	0.431380321	9798.155273	0.536704965	111	12.7293578	2.841119888	2.582023393	3.262343251	2.678993018	0.0105416	-0.004783377	0.032206681	872	82	82	56	4.886188098	0.460000008	2.682926893	2.68292737	2.699999571	82	43.91931999	30.83880806	105.7010498	37.27637482	261319	5.399082184	419.6023865	221.2991638	4.68231532	495.2224426	3616.820313	3719.07666	60342	2079.436145	4562.748364	761.1343994	20.5273571
sub-0002_ses-03_task-social_acq-mb8_run-03_bold	0.001327038	0.026535031	1	33.97823894	1.124189254	0.993531389	0.437648722	8017.545898	0.147998099	4	0.45924225	2.677995075	2.452359032	3.025873936	2.555752258	0.00777492	-0.008681239	0.034814559	871	82	82	56	5.205562921	0.460000008	2.682926893	2.68292737	2.699999571	51	36.62811276	30.7056942	122.0154419	40.80367279	262681	15.52009106	478.3891907	245.1958923	4.744671604	491.5753174	3663.57251	3742.905762	59683	2329.888281	4592.766553	719.0143433	33.11717606
sub-0002_ses-03_task-social_acq-mb8_run-04_bold	0.002490769	0.063810035	1	46.38391412	1.047222766	0.968735234	0.435024353	7743.833984	0.69141532	149	26.65474061	2.922591144	2.6598563	3.348931507	2.758985624	0.0151201	-0.006977381	0.03166724	559	82	82	56	4.749810179	0.460000008	2.682926893	2.68292737	2.699999571	96	38.2680575	33.82136536	115.2569885	41.92486572	261119	9.184257507	440.4407776	229.3108978	4.501919517	502.0476379	3598.112549	3709.436523	60317	1976.961328	4556.191992	780.9587402	20.43033218
sub-0002_ses-03_task-social_acq-mb8_run-05_bold	0.00321344	0.030637006	0	34.20397194	1.131015753	1.028138996	0.434837892	8710.40918	0.163135755	6	0.688073394	2.699760785	2.46874785	3.064674837	2.565859667	0.0142208	-0.00809923	0.031795129	872	82	82	56	5.143483678	0.460000008	2.682926893	2.68292737	2.699999571	21	47.39940607	29.10286713	116.8385162	39.60665131	262370	14.09862328	449.1826584	248.0504456	5.044873002	484.0066528	3663.495605	3743.435547	59571	2297.526855	4598.697754	727.7954712	30.91077042
sub-0002_ses-03_task-social_acq-mb8_run-06_bold	0.001091514	0.016938471	0	34.17316054	1.192984366	1.017325607	0.437871471	7996.369141	0.100586596	0	0	2.590688186	2.375718852	2.928215682	2.468130022	0.0358832	-0.010096924	0.031075234	872	82	82	56	5.385403476	0.460000008	2.682926893	2.68292737	2.699999571	3	47.16394541	28.1354351	124.1287842	40.91743088	262679	17.92431068	476.9787689	265.9269714	5.146765432	479.2171631	3687.264404	3757.955078	59136	2441.25824	4594.802124	697.7979126	41.68462372
sub-0003_ses-01_task-alignvideo_acq-mb8_run-02_bold	0.000515656	0.017194203	4	36.81153317	1.207872682	1.01296835	0.500028693	5237.308105	0.10198482	1	0.072516316	2.514210578	2.334730243	2.794701321	2.41320017	0.00821501	0.004272395	0.036853172	1379	82	82	56	5.072332991	0.460000008	2.682926655	2.682927132	2.699999809	2	14.90925029	43.25510788	190.6592255	49.23458862	244438	15.25670719	1028.394403	371.3230286	4.559961188	485.6322327	3592.115234	3657.788818	74131	2271.201538	4550.281982	721.1206665	39.72132492
sub-0003_ses-01_task-alignvideo_acq-mb8_run-03_bold	0.000548724	0.017968397	5	37.16235239	1.194331031	1.003634351	0.500432543	5101.043945	0.106844532	5	0.494559842	2.521619857	2.351283062	2.794850412	2.418726097	0.00715189	0.00422559	0.036352459	1011	82	82	56	5.053973357	0.460000008	2.682926655	2.682927132	2.699999809	1	14.84873991	43.72063446	190.2776794	49.65331268	244100	15.52126503	1027.013312	369.6752014	4.49788008	483.9849243	3583.847412	3652.407471	74355	2234.305493	4541.691211	722.6755371	39.00498581
sub-0003_ses-01_task-alignvideo_acq-mb8_run-04_bold	0.000673706	0.017929615	5	36.93935221	1.209816225	1.01370129	0.500808811	5122.251953	0.102266351	1	0.083472454	2.507515832	2.329448697	2.791346776	2.401752022	0.0103135	0.00403186	0.036440276	1198	82	82	56	5.095967753	0.460000008	2.682926655	2.682927132	2.699999809	4	14.99611059	43.14335251	192.0010681	49.66485596	244302	15.91489959	1034.051862	372.350708	4.545586427	483.2950439	3589.027344	3653.923096	74149	2270.367432	4540.717871	717.0175781	39.3323288
sub-0003_ses-01_task-social_acq-mb8_run-01_bold	0.001203026	0.022627145	3	36.29479991	1.182945016	0.988176197	0.496461917	5748.113281	0.113615629	1	0.115074799	2.535633711	2.341607061	2.807545751	2.457748322	0.00640843	0.004369404	0.03815804	869	82	82	56	5.117851213	0.460000008	2.682926655	2.682926893	2.699999809	7	15.72230876	41.69541168	186.0474854	47.86075974	245274	15.17376328	995.8454742	365.3812561	4.654113296	482.258728	3634.934814	3702.365967	73683	2297.524316	4580.936621	723.4170532	36.7698822
sub-0003_ses-01_task-social_acq-mb8_run-02_bold	0.000836644	0.016648797	5	36.64933883	1.221242508	1.00675459	0.494669759	6127.95459	0.096281159	0	0	2.485761662	2.303581423	2.744618207	2.409085355	0.00581991	0.00651544	0.039301194	867	82	82	56	5.143571063	0.460000008	2.682926655	2.682926893	2.699999809	0	15.34192467	38.8007431	182.545517	45.8973465	245786	15.28633165	996.3226318	364.2738647	4.739507666	482.4918213	3628.092041	3694.602051	73163	2325.825854	4574.990576	718.2902222	41.3019371
sub-0003_ses-01_task-social_acq-mb8_run-03_bold	0.000743245	0.023628221	3	36.06879599	1.13786008	0.963083307	0.494859908	5883.507324	0.11088134	3	0.345224396	2.532168834	2.343008516	2.787664479	2.465833508	0.00476925	0.007252091	0.038721103	869	82	82	56	5.078852588	0.460000008	2.682926655	2.682926893	2.699999809	2	15.44628368	41.497509	185.6226654	47.41542053	245954	14.53394699	1001.229871	368.3518066	4.710315207	485.4385681	3638.770752	3707.159912	73243	2303.653516	4602.844922	729.9157715	36.31809235
sub-0003_ses-01_task-social_acq-mb8_run-04_bold	0.000338743	0.015182732	5	35.48798362	1.186803778	0.999287678	0.494095346	6097.242676	0.093004866	0	0	2.492614559	2.317726423	2.751468934	2.408648318	0.00691243	0.007244883	0.038607772	867	82	82	56	5.064163806	0.460000008	2.682926655	2.682926893	2.699999809	0	15.60086699	39.66003418	183.8804169	46.19203949	246180	14.58587031	1002.581638	368.3226624	4.782552565	482.1584778	3628.274414	3699.039063	73015	2277.726294	4588.519141	730.4293213	42.73834991
sub-0003_ses-01_task-social_acq-mb8_run-05_bold	0.00042128	0.014738706	5	35.53620327	1.199648212	1.006768841	0.494337092	6200.327148	0.091081317	0	0	2.491593532	2.309317696	2.751659025	2.413803874	0.00834973	0.006828148	0.039032768	867	82	82	56	5.055729964	0.460000008	2.682926655	2.682926893	2.699999809	1	15.49376752	38.33390808	183.8013763	45.78892517	245958	15.57208729	1004.118564	366.9535522	4.729788919	486.2872009	3632.560791	3703.73877	73212	2285.046191	4596.783203	732.5773926	43.45676422
sub-0003_ses-01_task-social_acq-mb8_run-06_bold	0.000638364	0.015016152	4	36.55663806	1.220026596	1.008167298	0.497052351	5814.498047	0.097811433	0	0	2.506106556	2.313950696	2.774876207	2.429492764	0.0069804	0.00527021	0.038603716	868	82	82	56	5.074726188	0.460000008	2.682926655	2.682926893	2.699999809	0	15.53040314	40.64858246	186.6757355	46.9850235	245184	15.21428585	1014.544568	368.3142395	4.615751408	486.66745	3608.071045	3679.668213	73731	2277.385986	4565.79126	725.09198	43.13765335
sub-0003_ses-02_task-alignvideo_acq-mb8_run-01_bold	0.000683134	0.019118276	3	37.52486576	1.200945088	1.011975799	0.494704529	5710.367676	0.105860253	0	0	2.495658812	2.317204811	2.751934843	2.417836781	0.00865166	0.002690665	0.03892095	836	82	82	56	5.197971265	0.460000008	2.682926416	2.682926893	2.700000286	1	15.15267955	37.0685997	171.5982361	44.40071487	246431	14.94617176	922.3576355	338.8296509	5.17870739	431.9063721	3384.157715	3446.044189	72716	2175.713074	4243.816162	662.954895	39.95368958
sub-0003_ses-02_task-alignvideo_acq-mb8_run-02_bold	0.000619267	0.022465885	4	37.33010706	1.182155982	1.014898645	0.494873822	5706.547363	0.1191148	2	0.107816712	2.506133461	2.313976992	2.766564389	2.437859001	0.0112034	0.002856832	0.038545832	1855	82	82	56	5.222999647	0.460000008	2.682926416	2.682926893	2.700000286	2	14.86616261	37.32880783	170.8390045	44.27655029	246431	14.9789753	918.8981018	335.3895569	5.044316385	432.8822021	3380.537354	3442.362305	72837	2180.417188	4237.262793	659.0731201	36.96533203
sub-0003_ses-02_task-alignvideo_acq-mb8_run-03_bold	0.00068019	0.025334423	2	37.84236317	1.163805721	0.980100948	0.495940527	5482.971191	0.130062882	5	0.432525952	2.547791341	2.347235452	2.812309206	2.483829366	0.012221	0.003725916	0.037801292	1156	82	82	56	5.07489637	0.460000008	2.682926416	2.682926893	2.700000286	4	14.74038742	37.30873489	172.5231018	45.17993164	245905	15.6695509	924.3723389	336.3868713	5.000391768	440.6991577	3375.654541	3445.135986	73284	2119.684534	4250.904199	678.8537598	34.59866333
sub-0003_ses-02_task-alignvideo_acq-mb8_run-04_bold	0.001085226	0.022513409	5	37.29599871	1.202805374	1.008511128	0.496729786	5397.113281	0.108677334	2	0.220022002	2.536166903	2.33728736	2.797191388	2.47402196	0.00609776	0.004562633	0.037438817	909	82	82	56	5.080892959	0.460000008	2.682926416	2.682926893	2.700000286	16	14.65839106	38.42533112	174.6326141	45.75632477	245738	15.44317918	936.9161163	340.272522	4.951238452	436.8457031	3370.024414	3441.357422	73513	2107.158301	4240.081836	677.3088989	36.6812973
