sub-ID,SID,A#,Date,Session #,Staff,Time in Scanner,Audio Check (during scout),"ses-01
T1 
(Structural)",ses-01          T1 Quality Check,ses-01 T1 actions,"ses-01
DWI","ses-04
Fractional 
Run-01","ses-04
Fractional 
Run-02","ses-01,03,04
PVC 
Run-01","ses-01,03,04
PVC 
Run-02","ses-01,03,04
PVC 
Run-03","ses-01,03,04
PVC 
Run-04","ses-01,03,04
PVC 
Run-05","ses-01,03,04
PVC 
Run-06","ses-03
short-video","ses-02
Narratives 
Run-01","ses-02
Narratives 
Run-02","ses-02
Narratives 
Run-03","ses-02
Narratives 
Run-04","ses-02
Faces 
Run-01","ses-02
Faces
Run-02","ses-02
Faces 
Run-03","ses-01,02,03,04
Align Videos 
Run-01","ses-01,02,03,04
Align Videos 
Run-02","ses-01,02,03,04
Align Videos 
Run-03","ses-01,02,03,04
Align Videos 
Run-04",Scan comments?,T-Points for scan time?,# T-Points,BioPac?,EDA location,PPD location,BioPac Comments?,GitPush?,BioPac Saved?,Data on Rolando?,Data sent comments?,Post-scan: Debrief
sub-0001,SID001804,A003437,2020-11-24 00:00:00,ses-01,,13:00:00,complete,complete,Need quality check,Continue & make note,complete,,,complete_dontuse,complete_dontuse,complete_dontuse,complete_dontuse,complete_dontuse,complete_dontuse,,,,,,,,,complete,complete,complete,complete,,,,Yes,,,,Yes,Yes,Yes,,
sub-0001,SID001804,A003438,2020-12-01 00:00:00,ses-02,,14:00:00,complete,,,,,,,,,,,,,,complete,,,,complete,,,complete,complete,complete,complete,"- mouse trackball was finicky during narrative feel/expect ""delayed reponse""
- faces run 2 restart (scanner automattically triggered)
- narratives run 2 restart all over (trajectory didn't save) 
- checked in for trackball (in between faces runs - faces task did not have delayed response) 
- neutral vs strong intensity
- videos: cursor visible",,,Yes,,,,Yes,Yes,Yes,,
sub-0001,SID001804,A003439,2020-12-04 00:00:00,ses-03,,14:46:00,complete,,,,,,,,,,,,,,,,,,,,,complete,complete,complete,,,,,Yes,,,,Yes,Yes,Yes,,
sub-0001,SID001804,A003440,2020-12-08 00:00:00,ses-04,,13:25:00,complete,,,,,complete,,complete,,,,,,,,,,,,,,complete,complete,,,"- had to scan fractional run 1 because of projector message on screen (self test failed - Terry will look into it)
- had to scan PVC cognitive run because the trackball button was stuck
- previous PVC pain task timing was lingering - therefore the last runs were last. (",,,Yes,,,,Yes,Yes,,,Yes
sub-0002,SID001828,A003466,2021-01-27 00:00:00,ses-01,"EM*, LS",09:40:00,complete,complete,Need quality check,Continue & make note,complete,,,complete,,,,,,,,,,,,,,complete,,,,Trackball was not working during audio calibration. We re-calibrated the trackball and then it worked. 2nd run of pvc started scanner slightly before the stim pc hit S,,,No,,,,Yes,,,,
sub-0002,SID001828,A003473,2021-03-11 00:00:00,ses-02,"HJ, BH",09:35:00,complete,,,,,,,,,,,,,,complete,,,,complete,,,complete,,,,,,,,,,,Yes,,,,
sub-0002,SID001828,A003481,2021-03-23 00:00:00,ses-03,"HJ, EM",09:34:00,complete,,,,,,,complete,incomplete_use,complete,complete_dontuse,complete,complete,complete_dontuse,,,,,,,,complete,complete,complete,,"- PVC thermode failure (8002) 
- PVC questionable biopac for the PVC runs (EDA) 
- short-video: audio was off (for first 2 min)
- Also, behavioural RA (MA) noticed that she dozed off a couple of times ",,,,,,,Yes,,,,
sub-0002,SID001828,A003485,2021-03-25 00:00:00,ses-04,"LS, EM",,complete,,,,,complete,complete,complete,complete_dontuse,complete_dontuse,complete_dontuse,complete_dontuse,complete_dontuse,,,,,,,,,complete,,,,"- AUDIO: said left earbud was silent during audio scan. We played music for her and she said it was corrected before first functional run
- PVC: The first pain task froze when loading, so we had to restart matlab. Worked fine after that, but there will be 2 extra chunks in the biopac data that correspond to 2 failed attempts.
- PVC: (Note added 4/5) this subject may have fallen asleep - PVC data indicates so. during the videos. May need to consider looking if their brain is an outlier later on",,,Yes,Bottom left foot,Right big toe,,Yes,Yes,Yes,,Yes
sub-0003,SID001117,A003445,2021-01-27 00:00:00,ses-01,HJ,12:19:00,complete,complete,Need quality check,Continue & make note,complete,,,complete,complete,complete,complete,complete,complete,,,,,,,,,complete,complete,complete,complete,"- Plateau 3s; 
- S1: One of the SCR wires was disconnected when we pulled the P out of the scanner. Unclear if it happened during the scan or upon exit. Some low pain ratings during high pain stimulus were noticed; unclear if thermode gap occured. 
- Used v1 protocol for arm site measurements.",,,Yes,Base left palm,Top left index finger,Moved BioPac locations,Yes,Yes,Yes,,
sub-0003,SID001117,A003450,2021-02-10 00:00:00,ses-02,"HJ, BH",11:15:00,complete,,,,,,,,,,,,,,complete,complete,complete,complete,complete,complete,complete,complete,complete,complete,complete,"- biopac narratives: no skin conductance
- may have been the gel. We atttached a new EDA patch before the faces task
",,,Partial,Bottom left foot,Right big toe,"- biopac narratives: no skin conductance
- may have been the gel. We atttached a new EDA patch before the faces task
",Incomplete,,,,
sub-0003,SID001117,A003456,2021-02-17 00:00:00,ses-03,"HJ, LS",10:32:00,complete,,,,,,,complete_dontuse,complete_dontuse,complete_dontuse,complete_dontuse,complete_dontuse,complete_dontuse,complete,,,,,,,,complete,complete,complete,,- Used v2 protocol for arm site measurements,,,Yes,Bottom left foot,Right big toe,,Yes,Yes,,,
sub-0003,SID001117,A003460,2021-02-24 00:00:00,ses-04,"HJ, EM",10:00:00,complete,,,,,complete,complete,complete_dontuse,complete_dontuse,complete_dontuse,complete_dontuse,complete_dontuse,complete_dontuse,,,,,,,,,complete,complete,,,"-BioPac issues within MatLab, ran without",,,No,,,"-BioPac issues within MatLab, ran without",Yes,,,,Yes
sub-0004,SID001784,A003444,2021-01-28 00:00:00,ses-01,HJ*,09:10:00,complete,complete,Need quality check,Continue & make note,complete,,,complete_dontuse,complete_dontuse,complete_dontuse,complete_dontuse,complete_dontuse,complete_dontuse,,,,,,,,,complete,complete,complete,complete,"- VPCPVC
- Plateau 3s; Session 1: Some low pain ratings during high pain stimulus were noticed; unclear if thermode gap occured.
- Used v1 of arm site measurements.",,,Yes,,,,Yes,,,,
sub-0004,SID001784,A003447,2021-02-03 00:00:00,ses-02,HJ,08:30:00,complete,,,,,,,,,,,,,,repeat_use,no_data,no_data,no_data,complete,complete,complete,complete,complete,complete,complete,"- narratives crashed. no data; We had to restart the entire scanner because it shut off mid-run. 
- sequence: Afterwards we only ran the faces task and the align videos task. 
- biopac: We didn't switch between the faces and alignvideo biopac files before starting the videos. So the last 4 parts of the faces biopac file also includes the biopac data for the alignvideos task.",,,,,,,Yes,Yes,,,
sub-0004,SID001784,A003449,2021-02-10 00:00:00,ses-03,,09:25:00,complete,,,,,,,complete_dontuse,complete_dontuse,complete_dontuse,complete_dontuse,complete_dontuse,complete_dontuse,complete,,,,,,,,complete,complete,complete,,"- Used v2 protocol for arm site measurements
- PVC run 03 briefly stopped",,,,,,,Yes,Yes,,,
sub-0004,SID001784,A003455,2021-02-17 00:00:00,ses-04,,08:20:00,complete,,,,,complete,complete,complete_dontuse,complete_dontuse,complete_dontuse,complete_dontuse,complete_dontuse,complete_dontuse,,,,,,,,,repeat_use,complete,,,"- Used v2 protocol for arm site measurements
- No calibration for biopac before fractionals task
- Attached PPG to left toe (with EDA on base of left foot) because of participant sprain on right foot
- Paused and stopped biopac twice before beginning saxe task (due to audio)
- To Do: should probably add another fieldmap before PVC
- To Do: ""press s"" ""press e"" for narratives
- Ran biopac calibration before PVC (PPG was unhooked; EDA was hooked during calibration)
- Restarted PVC task because TSA was not in external control mode
- Restarted Align Videos because shutter was on
- Recalibrated biopac before Narratives task (PPG and EDA unhooked during calibration)
- Completed Narratives task during this session",,,,,,,Yes,Yes,,,Yes
sub-0005,SID001711,A003446,2021-03-03 00:00:00,ses-01,"HJ*,",,complete,complete,Need quality check,Continue & make note,complete,,,complete,complete,complete,complete,complete,complete,,,,,,,,,complete,complete,complete,complete,"Plateau 5s
- upper first, lower last
For the first run of PVC the biopac wasn't started for the first few seconds, but then was started around the time of the first stimulus. So you should be able to recover all functional information except maybe the first cue, but the first few seconds will be missing.
- video RUN 4 requires more time on the scanner.
- first participant to use v2 protocol for arm site measurements for all sessions",,,Yes,,,,Yes,,,,
sub-0005,SID001711,A003448,2021-02-04 00:00:00,ses-02,HJ,02:06:00,complete,,,,,,,,,,,,,,Incomplete,,,,complete,,,complete,,,,"- Behavioral: No responses for some of practice videos because participant was confused why he was rewatching the same ones. 
- Scan: biopac one of the skin conductance clamps came off at some point. Can't point out when - based on eyeballing the biopac data - seems like it came off around run 3
- Scan: alignvideo Participant noted after scan that it was hard to hear the photographer video; some (but not as significant) trouble hearing the second-to-last video (9/11) as well.",,,,,,,Yes,Yes,,,
sub-0005,SID001711,A003452,2021-02-11 00:00:00,ses-03,,14:32:00,complete,,,,,,,repeat_use,complete,complete,complete,complete,complete,complete,,,,,,,,repeat_use,complete,complete,,"-PVC run order: VCPPCV
-discontinued PVC task twice & restarted biopac each time because trackball was not connected
-EDA signal looks flat; after PCV task we swapped out the electrode (different type), but it did not improve signal
-Started align videos practice mistakenly during short videos task; paused and restarted biopac
-Participant noted a response delay (ie. he was moving the cursor but the mouse didn't move right away) during two align videos trials towards the end with happy/sad cue (@heejung please confirm this note)",,,,,,,Yes,,,,
