sub,ses,run,run_type,meta,experiment_dur
sub-0001,ses-04,4,run-04-pain,sub-0001_ses-04_run-04-pain,676.702772140503
sub-0001,ses-04,5,run-05-cognitive,sub-0001_ses-04_run-05-cognitive,673.077365875244
sub-0001,ses-04,6,run-06-vicarious,sub-0001_ses-04_run-06-vicarious,672.729038953781
sub-0002,ses-01,4,run-04-cognitive,sub-0002_ses-01_run-04-cognitive,399.1171178817749
sub-0002,ses-01,2,run-02-cognitive,sub-0002_ses-01_run-02-cognitive,398.516545534134
sub-0002,ses-01,5,run-05-pain,sub-0002_ses-01_run-05-pain,399.121822595596
sub-0002,ses-01,6,run-06-vicarious,sub-0002_ses-01_run-06-vicarious,398.812643051147
sub-0002,ses-01,3,run-03-vicarious,sub-0002_ses-01_run-03-vicarious,398.730535984039
sub-0002,ses-01,1,run-01-pain,sub-0002_ses-01_run-01-pain,398.70966386795
sub-0002,ses-03,3,run-03-cognitive,sub-0002_ses-03_run-03-cognitive,398.137408256531
sub-0002,ses-03,6,run-06-cognitive,sub-0002_ses-03_run-06-cognitive,398.827353954315
sub-0002,ses-03,1,run-01-vicarious,sub-0002_ses-03_run-01-vicarious,398.838853597641
sub-0002,ses-03,2,run-02-pain,sub-0002_ses-03_run-02-pain,398.824369668961
sub-0002,ses-03,5,run-05-vicarious,sub-0002_ses-03_run-05-vicarious,398.846158504486
sub-0002,ses-04,3,run-03-pain,sub-0002_ses-04_run-03-pain,398.6332798
sub-0002,ses-04,4,run-04-pain,sub-0002_ses-04_run-04-pain,399.0155303
sub-0002,ses-04,6,run-06-vicarious,sub-0002_ses-04_run-06-vicarious,399.2305298
sub-0002,ses-04,2,run-02-cognitive,sub-0002_ses-04_run-02-cognitive,398.8376596
sub-0002,ses-04,1,run-01-vicarious,sub-0002_ses-04_run-01-vicarious,398.8355601
sub-0002,ses-04,5,run-05-cognitive,sub-0002_ses-04_run-05-cognitive,398.8236618
sub-0003,ses-01,1,run-01-pain,sub-0003_ses-01_run-01-pain,398.11661553382896
sub-0003,ses-01,6,run-06-pain,sub-0003_ses-01_run-06-pain,398.79131913185097
sub-0003,ses-01,4,run-04-cognitive,sub-0003_ses-01_run-04-cognitive,399.0011856555941
sub-0003,ses-01,5,run-05-vicarious,sub-0003_ses-01_run-05-vicarious,398.811692237854
sub-0003,ses-01,3,run-03-cognitive,sub-0003_ses-01_run-03-cognitive,399.09556889534
sub-0003,ses-01,2,run-02-vicarious,sub-0003_ses-01_run-02-vicarious,398.8100578784941
sub-0003,ses-03,4,run-04-pain,sub-0003_ses-03_run-04-pain,398.794726133347
sub-0003,ses-03,3,run-03-pain,sub-0003_ses-03_run-03-pain,398.995878219604
sub-0003,ses-03,2,run-02-cognitive,sub-0003_ses-03_run-02-cognitive,398.699138879776
sub-0003,ses-03,6,run-06-vicarious,sub-0003_ses-03_run-06-vicarious,399.131814718246
sub-0003,ses-03,5,run-05-cognitive,sub-0003_ses-03_run-05-cognitive,399.195184707642
sub-0003,ses-03,1,run-01-vicarious,sub-0003_ses-03_run-01-vicarious,398.435258865356
sub-0003,ses-04,6,run-06-cognitive,sub-0003_ses-04_run-06-cognitive,398.589853525162
sub-0003,ses-04,3,run-03-vicarious,sub-0003_ses-04_run-03-vicarious,398.624890804291
sub-0003,ses-04,1,run-01-cognitive,sub-0003_ses-04_run-01-cognitive,398.815373420715
sub-0003,ses-04,4,run-04-vicarious,sub-0003_ses-04_run-04-vicarious,398.893429517746
sub-0003,ses-04,2,run-02-pain,sub-0003_ses-04_run-02-pain,398.492877244949
sub-0003,ses-04,5,run-05-pain,sub-0003_ses-04_run-05-pain,398.895173549652
sub-0004,ses-01,6,run-06-cognitive,sub-0004_ses-01_run-06-cognitive,398.181909561157
sub-0004,ses-01,3,run-03-cognitive,sub-0004_ses-01_run-03-cognitive,398.49698972702
sub-0004,ses-01,1,run-01-vicarious,sub-0004_ses-01_run-01-vicarious,399.015798330307
sub-0004,ses-01,2,run-02-pain,sub-0004_ses-01_run-02-pain,398.706807851791
sub-0004,ses-01,5,run-05-vicarious,sub-0004_ses-01_run-05-vicarious,399.00649142265297
sub-0004,ses-01,4,run-04-pain,sub-0004_ses-01_run-04-pain,398.104501962662
sub-0004,ses-03,6,run-06-pain,sub-0004_ses-03_run-06-pain,399.015243053436
sub-0004,ses-03,5,run-05-cognitive,sub-0004_ses-03_run-05-cognitive,398.691519975662
sub-0004,ses-03,4,run-04-vicarious,sub-0004_ses-03_run-04-vicarious,398.79731297493
sub-0004,ses-03,1,run-01-cognitive,sub-0004_ses-03_run-01-cognitive,398.997174263
sub-0004,ses-03,3,run-03-pain,sub-0004_ses-03_run-03-pain,398.801193475723
sub-0004,ses-03,2,run-02-vicarious,sub-0004_ses-03_run-02-vicarious,398.797038793564
sub-0004,ses-04,5,run-05-pain,sub-0004_ses-04_run-05-pain,398.591194629669
sub-0004,ses-04,1,run-01-pain,sub-0004_ses-04_run-01-pain,398.521630764008
sub-0004,ses-04,4,run-04-cognitive,sub-0004_ses-04_run-04-cognitive,398.816362857819
sub-0004,ses-04,2,run-02-cognitive,sub-0004_ses-04_run-02-cognitive,398.668400764465
sub-0004,ses-04,3,run-03-vicarious,sub-0004_ses-04_run-03-vicarious,398.80674719810486
sub-0004,ses-04,6,run-06-vicarious,sub-0004_ses-04_run-06-vicarious,398.810458660126
sub-0005,ses-01,1,run-01-pain,sub-0005_ses-01_run-01-pain,398.804508209229
sub-0005,ses-01,2,run-02-cognitive,sub-0005_ses-01_run-02-cognitive,398.492093086243
sub-0005,ses-01,6,run-06-vicarious,sub-0005_ses-01_run-06-vicarious,399.307519674301
sub-0005,ses-01,5,run-05-pain,sub-0005_ses-01_run-05-pain,399.3013651371
sub-0005,ses-01,3,run-03-vicarious,sub-0005_ses-01_run-03-vicarious,399.1037607192991
sub-0005,ses-01,4,run-04-cognitive,sub-0005_ses-01_run-04-cognitive,398.810656785965
sub-0005,ses-03,1,run-01-vicarious,sub-0005_ses-03_run-01-vicarious,398.131441354752
sub-0005,ses-03,4,run-04-pain,sub-0005_ses-03_run-04-pain,398.802427530289
sub-0005,ses-03,3,run-03-pain,sub-0005_ses-03_run-03-pain,398.810925245285
sub-0005,ses-03,5,run-05-cognitive,sub-0005_ses-03_run-05-cognitive,398.811787605286
sub-0005,ses-03,6,run-06-vicarious,sub-0005_ses-03_run-06-vicarious,398.10321855545
sub-0005,ses-03,2,run-02-cognitive,sub-0005_ses-03_run-02-cognitive,398.104682207108
sub-0005,ses-04,4,run-04-vicarious,sub-0005_ses-04_run-04-vicarious,398.12104845047
sub-0005,ses-04,1,run-01-cognitive,sub-0005_ses-04_run-01-cognitive,398.85674905777
sub-0005,ses-04,5,run-05-cognitive,sub-0005_ses-04_run-05-cognitive,398.978583097458
sub-0005,ses-04,2,run-02-vicarious,sub-0005_ses-04_run-02-vicarious,398.810879230499
sub-0005,ses-04,6,run-06-pain,sub-0005_ses-04_run-06-pain,398.415405035019
sub-0005,ses-04,3,run-03-pain,sub-0005_ses-04_run-03-pain,399.00347328186
sub-0006,ses-01,4,run-04-pain,sub-0006_ses-01_run-04-pain,399.106794595718
sub-0006,ses-01,1,run-01-vicarious,sub-0006_ses-01_run-01-vicarious,398.752377271652
sub-0006,ses-01,5,run-05-vicarious,sub-0006_ses-01_run-05-vicarious,398.717197656631
sub-0006,ses-01,2,run-02-pain,sub-0006_ses-01_run-02-pain,398.731167793274
sub-0006,ses-01,3,run-03-cognitive,sub-0006_ses-01_run-03-cognitive,398.522404432297
sub-0006,ses-01,6,run-06-cognitive,sub-0006_ses-01_run-06-cognitive,398.103652000427
sub-0006,ses-03,5,run-05-pain,sub-0006_ses-03_run-05-pain,399.252405405045
sub-0006,ses-03,2,run-02-pain,sub-0006_ses-03_run-02-pain,398.838037252426
sub-0006,ses-03,3,run-03-vicarious,sub-0006_ses-03_run-03-vicarious,398.810044527054
