ROI,contrast,cluster_p,n_clusters,t_start,t_end,cluster_mass
aIns_L,cue_epoch_cue,1,0,NA,NA,NA
aIns_L,stim_epoch_stim,0.0116,2,8.74,12.42,29.07136552
aIns_L,stim_epoch_stim,0.0116,2,15.18,18.86,-24.2005763
aIns_L,stim_epoch_cue,0.0102,2,10.12,13.34,-25.56900893
aIns_L,stim_epoch_cue,0.0102,2,15.18,18.86,-27.28430321
aIns_L,stim_epoch_interaction,0.0042,1,15.18,18.86,-31.34638047
aIns_R,cue_epoch_cue,1,0,NA,NA,NA
aIns_R,stim_epoch_stim,0.0138,2,8.74,11.5,19.06543822
aIns_R,stim_epoch_stim,0.0138,2,15.64,18.86,-26.17688399
aIns_R,stim_epoch_cue,0,1,9.66,18.86,-66.16073135
aIns_R,stim_epoch_interaction,0.0018,2,0.92,2.76,-12.96113261
aIns_R,stim_epoch_interaction,0.0018,2,14.26,18.86,-41.19849842
aMCC_MPFC,cue_epoch_cue,0.344,0,NA,NA,NA
aMCC_MPFC,stim_epoch_stim,8e-04,2,8.28,13.8,65.14280522
aMCC_MPFC,stim_epoch_stim,8e-04,2,16.56,18.86,-19.23484798
aMCC_MPFC,stim_epoch_cue,0.014,2,11.5,15.64,-30.25500018
aMCC_MPFC,stim_epoch_cue,0.014,2,16.56,18.86,-17.6547358
aMCC_MPFC,stim_epoch_interaction,0.006,2,8.74,12.88,37.29125129
aMCC_MPFC,stim_epoch_interaction,0.006,2,16.56,18.86,-22.85714154
Amy_L,cue_epoch_cue,0.0818,0,NA,NA,NA
Amy_L,stim_epoch_stim,0.0012,1,9.66,13.34,30.66624014
Amy_L,stim_epoch_cue,0,1,12.42,18.86,-51.88141837
Amy_L,stim_epoch_interaction,0.1108,0,NA,NA,NA
Amy_R,cue_epoch_cue,0.2024,0,NA,NA,NA
Amy_R,stim_epoch_stim,4e-04,2,10.12,13.8,30.97714504
Amy_R,stim_epoch_stim,4e-04,2,15.64,18.86,-22.25845408
Amy_R,stim_epoch_cue,0.0042,2,12.42,13.34,-8.459231383
Amy_R,stim_epoch_cue,0.0042,2,16.56,18.86,-19.75857374
Amy_R,stim_epoch_interaction,2e-04,1,15.64,18.86,-29.28696442
Bstem_PAG,cue_epoch_cue,0.427,0,NA,NA,NA
Bstem_PAG,stim_epoch_stim,0.0444,1,17.02,17.94,-8.277218741
Bstem_PAG,stim_epoch_cue,0.1154,0,NA,NA,NA
Bstem_PAG,stim_epoch_interaction,0.055,0,NA,NA,NA
dpIns_L,cue_epoch_cue,0.171,0,NA,NA,NA
dpIns_L,stim_epoch_stim,0,2,7.36,13.8,77.66617237
dpIns_L,stim_epoch_stim,0,2,16.56,18.86,-16.33357196
dpIns_L,stim_epoch_cue,0.041,1,11.5,13.34,-13.18750205
dpIns_L,stim_epoch_interaction,8e-04,1,8.74,13.8,42.8333202
dpIns_R,cue_epoch_cue,0.1636,0,NA,NA,NA
dpIns_R,stim_epoch_stim,0,1,6.44,14.26,114.8942007
dpIns_R,stim_epoch_cue,0.0096,2,10.58,14.26,-26.60562019
dpIns_R,stim_epoch_cue,0.0096,2,17.02,18.86,-12.25104895
dpIns_R,stim_epoch_interaction,0,2,7.36,13.8,68.7278825
dpIns_R,stim_epoch_interaction,0,2,17.02,18.86,-14.89896947
Hythal,cue_epoch_cue,0.062,0,NA,NA,NA
Hythal,stim_epoch_stim,0.0018,1,4.14,13.8,65.02279277
