",Unnamed: 0,Event1 onset,Event2 onset,Event3 onset,Event4 onset,trial_type,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue,stimulus_intensity,cue_image,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04"
"0,0,0.0,4.7751,13.3426,24.7781,4.0,1.4,4.6,2.4,2.0,1.0,4.0,9.0,4.0,high_cue,low_stim,h054.png,2.0,3.0,4.4,8.4,13.0,22.0,24.4,28.4"
"1,1,30.6699,32.4806,37.6043,49.5037,1.0,0.8,5.3,2.9,1.9,1.0,4.0,9.0,4.0,low_cue,low_stim,l028.png,30.299999999999997,31.299999999999997,32.1,36.1,41.4,50.4,53.3,57.3"
"2,2,55.4326,57.5708,64.1815,75.7618,2.0,1.1,2.6,2.6,1.0,1.0,4.0,9.0,4.0,low_cue,med_stim,l002.png,58.3,59.3,60.4,64.39999999999999,67.0,76.0,78.6,82.6"
"3,3,80.6363,87.2454,96.4051,107.7384,3.0,2.1,5.2,2.3,1.1,1.0,4.0,9.0,4.0,low_cue,high_stim,l042.png,83.69999999999999,84.69999999999999,86.8,90.8,96.0,105.0,107.3,111.3"
"4,4,112.715,117.4901,122.9117,134.245,5.0,1.4,1.4,2.3,0.7,1.0,4.0,9.0,4.0,high_cue,med_stim,h024.png,112.0,113.0,114.39999999999999,118.39999999999999,119.8,128.8,131.1,135.1"
"5,5,138.8906,141.0289,146.3595,156.792,6.0,1.1,1.3,2.7,0.6,1.0,4.0,9.0,4.0,high_cue,high_stim,h050.png,135.7,136.7,137.79999999999998,141.79999999999998,143.1,152.1,154.79999999999998,158.79999999999998"
"6,6,161.4375,165.2519,171.8362,191.7009,4.0,1.1,6.8,12.2,1.9,1.0,4.0,9.0,4.0,high_cue,low_stim,h025.png,160.7,161.7,162.79999999999998,166.79999999999998,173.6,182.6,194.79999999999998,198.79999999999998"
"7,7,197.6477,201.462,206.3882,219.6394,6.0,1.1,0.9,4.3,7.8,1.0,4.0,9.0,4.0,high_cue,high_stim,h023.png,206.6,207.6,208.7,212.7,213.6,222.6,226.89999999999998,230.89999999999998"
"8,8,231.351,237.9601,246.5277,259.7789,1.0,2.1,8.8,5.6,0.9,1.0,4.0,9.0,4.0,low_cue,low_stim,l014.png,231.79999999999998,232.79999999999998,234.89999999999998,238.89999999999998,247.7,256.7,262.29999999999995,266.29999999999995"
"9,9,264.6534,271.2626,276.3862,288.2856,2.0,2.1,5.3,4.2,1.9,1.0,4.0,9.0,4.0,low_cue,med_stim,l018.png,268.19999999999993,269.19999999999993,271.29999999999995,275.29999999999995,280.59999999999997,289.59999999999997,293.79999999999995,297.79999999999995"
"10,10,294.1774,298.9525,304.3742,314.8066,3.0,1.4,1.4,2.7,17.0,1.0,4.0,9.0,4.0,low_cue,high_stim,l001.png,314.79999999999995,315.79999999999995,317.19999999999993,321.19999999999993,322.59999999999997,331.59999999999997,334.29999999999995,338.29999999999995"
"11,11,335.8163,342.4254,352.5722,371.1622,5.0,2.1,10.3,9.6,17.0,1.0,4.0,9.0,4.0,high_cue,med_stim,h010.png,355.29999999999995,356.29999999999995,358.4,362.4,372.69999999999993,381.69999999999993,391.29999999999995,395.29999999999995"
