,sub,ses,run,runtype,event,trial,cuetype,stimintensity
0,2,3,2,pain,stimulus,4,high,med
1,2,3,2,pain,stimulus,5,high,high
2,2,3,2,pain,stimulus,6,high,med
3,2,3,2,pain,stimulus,7,high,low
4,2,3,2,pain,stimulus,8,high,low
5,2,3,2,pain,stimulus,9,high,high
6,3,3,3,pain,stimulus,,high,high
7,3,3,3,pain,stimulus,2,high,low
8,3,3,3,pain,stimulus,3,high,med
9,3,3,3,pain,stimulus,9,high,low
10,3,3,3,pain,stimulus,10,high,med
11,3,3,3,pain,stimulus,11,high,high
12,3,3,4,pain,stimulus,,high,low
13,3,3,4,pain,stimulus,2,high,low
14,3,3,4,pain,stimulus,4,high,high
15,3,3,4,pain,stimulus,8,high,high
16,3,3,4,pain,stimulus,10,high,med
17,3,3,4,pain,stimulus,11,high,med
18,3,4,2,pain,stimulus,2,high,med
19,3,4,2,pain,stimulus,4,high,med
20,3,4,2,pain,stimulus,7,high,high
21,3,4,2,pain,stimulus,8,high,high
22,3,4,2,pain,stimulus,9,high,low
23,3,4,2,pain,stimulus,10,high,low
24,3,4,5,pain,stimulus,1,high,med
25,3,4,5,pain,stimulus,3,high,low
26,3,4,5,pain,stimulus,5,high,high
27,3,4,5,pain,stimulus,8,high,high
28,3,4,5,pain,stimulus,9,high,med
29,3,4,5,pain,stimulus,10,high,low
30,4,3,3,pain,stimulus,,high,low
31,4,3,3,pain,stimulus,2,high,low
32,4,3,3,pain,stimulus,4,high,high
33,4,3,3,pain,stimulus,8,high,high
34,4,3,3,pain,stimulus,10,high,med
35,4,3,3,pain,stimulus,11,high,med
36,4,3,6,pain,stimulus,2,high,low
37,4,3,6,pain,stimulus,3,high,med
38,4,3,6,pain,stimulus,4,high,high
39,4,3,6,pain,stimulus,7,high,high
40,4,3,6,pain,stimulus,8,high,low
41,4,3,6,pain,stimulus,11,high,med
42,4,4,1,pain,stimulus,2,high,med
43,4,4,1,pain,stimulus,4,high,med
44,4,4,1,pain,stimulus,7,high,high
45,4,4,1,pain,stimulus,8,high,high
46,4,4,1,pain,stimulus,9,high,low
47,4,4,1,pain,stimulus,10,high,low
48,4,4,5,pain,stimulus,1,high,med
49,4,4,5,pain,stimulus,4,high,low
50,4,4,5,pain,stimulus,5,high,med
51,4,4,5,pain,stimulus,6,high,low
52,4,4,5,pain,stimulus,10,high,high
53,4,4,5,pain,stimulus,11,high,high
54,5,3,3,pain,stimulus,1,high,low
55,5,3,3,pain,stimulus,2,high,high
56,5,3,3,pain,stimulus,4,high,low
57,5,3,3,pain,stimulus,7,high,med
58,5,3,3,pain,stimulus,9,high,med
59,5,3,3,pain,stimulus,11,high,high
60,5,3,4,pain,stimulus,,high,med
61,5,3,4,pain,stimulus,1,high,high
62,5,3,4,pain,stimulus,3,high,low
63,5,3,4,pain,stimulus,4,high,med
64,5,3,4,pain,stimulus,8,high,high
65,5,3,4,pain,stimulus,10,high,low
66,5,4,3,pain,stimulus,,high,high
67,5,4,3,pain,stimulus,3,high,high
68,5,4,3,pain,stimulus,5,high,low
69,5,4,3,pain,stimulus,7,high,med
70,5,4,3,pain,stimulus,8,high,med
71,5,4,3,pain,stimulus,10,high,low
72,5,4,6,pain,stimulus,,high,med
73,5,4,6,pain,stimulus,2,high,low
74,5,4,6,pain,stimulus,3,high,high
75,5,4,6,pain,stimulus,4,high,low
76,5,4,6,pain,stimulus,5,high,med
77,5,4,6,pain,stimulus,8,high,high
78,6,3,2,pain,stimulus,4,high,med
79,6,3,2,pain,stimulus,5,high,high
80,6,3,2,pain,stimulus,6,high,med
81,6,3,2,pain,stimulus,7,high,low
82,6,3,2,pain,stimulus,8,high,low
83,6,3,2,pain,stimulus,9,high,high
84,6,3,5,pain,stimulus,,high,low
85,6,3,5,pain,stimulus,1,high,low
86,6,3,5,pain,stimulus,2,high,med
87,6,3,5,pain,stimulus,4,high,high
88,6,3,5,pain,stimulus,6,high,high
89,6,3,5,pain,stimulus,7,high,med
90,6,4,1,pain,stimulus,1,high,med
91,6,4,1,pain,stimulus,4,high,low
92,6,4,1,pain,stimulus,5,high,med
93,6,4,1,pain,stimulus,6,high,low
94,6,4,1,pain,stimulus,10,high,high
95,6,4,1,pain,stimulus,11,high,high
96,6,4,6,pain,stimulus,,high,high
97,6,4,6,pain,stimulus,3,high,high
98,6,4,6,pain,stimulus,5,high,low
99,6,4,6,pain,stimulus,7,high,med
100,6,4,6,pain,stimulus,8,high,med
101,6,4,6,pain,stimulus,10,high,low
102,7,3,3,pain,stimulus,,high,med
103,7,3,3,pain,stimulus,1,high,high
104,7,3,3,pain,stimulus,3,high,low
105,7,3,3,pain,stimulus,4,high,med
106,7,3,3,pain,stimulus,8,high,high
107,7,3,3,pain,stimulus,10,high,low
108,8,3,1,pain,stimulus,1,high,low
109,8,3,1,pain,stimulus,2,high,high
110,8,3,1,pain,stimulus,4,high,low
111,8,3,1,pain,stimulus,7,high,med
112,8,3,1,pain,stimulus,9,high,med
113,8,3,1,pain,stimulus,11,high,high
114,8,3,6,pain,stimulus,,high,med
115,8,3,6,pain,stimulus,1,high,high
116,8,3,6,pain,stimulus,3,high,low
117,8,3,6,pain,stimulus,4,high,med
118,8,3,6,pain,stimulus,8,high,high
119,8,3,6,pain,stimulus,10,high,low
120,8,4,2,pain,stimulus,,high,high
121,8,4,2,pain,stimulus,3,high,high
122,8,4,2,pain,stimulus,5,high,low
123,8,4,2,pain,stimulus,7,high,med
124,8,4,2,pain,stimulus,8,high,med
125,8,4,2,pain,stimulus,10,high,low
126,9,3,1,pain,stimulus,,high,high
127,9,3,1,pain,stimulus,2,high,low
128,9,3,1,pain,stimulus,3,high,med
129,9,3,1,pain,stimulus,9,high,low
130,9,3,1,pain,stimulus,10,high,med
131,9,3,1,pain,stimulus,11,high,high
132,9,3,6,pain,stimulus,,high,low
133,9,3,6,pain,stimulus,2,high,low
134,9,3,6,pain,stimulus,4,high,high
135,9,3,6,pain,stimulus,8,high,high
136,9,3,6,pain,stimulus,10,high,med
137,9,3,6,pain,stimulus,11,high,med
138,9,4,1,pain,stimulus,2,high,med
139,9,4,1,pain,stimulus,4,high,med
140,9,4,1,pain,stimulus,7,high,high
141,9,4,1,pain,stimulus,8,high,high
142,9,4,1,pain,stimulus,9,high,low
143,9,4,1,pain,stimulus,10,high,low
144,9,4,5,pain,stimulus,1,high,med
145,9,4,5,pain,stimulus,3,high,low
146,9,4,5,pain,stimulus,5,high,high
147,9,4,5,pain,stimulus,8,high,high
148,9,4,5,pain,stimulus,9,high,med
